st_cd	year	lhpi_real	lpci_real
1	1975	4.628499	1.864694
1	1976	4.659822	1.921818
1	1977	4.696801	1.946965
1	1978	4.71117	1.983719
1	1979	4.711843	1.979713
1	1980	4.60517	1.939461
1	1981	4.534422	1.92223
1	1982	4.474517	1.925556
1	1983	4.483244	1.951111
1	1984	4.49965	2.010376
1	1985	4.478674	2.026609
1	1986	4.505661	2.045588
1	1987	4.512012	2.055156
1	1988	4.504178	2.098679
1	1989	4.471966	2.127091
1	1990	4.446696	2.140221
1	1991	4.445951	2.157949
1	1992	4.466653	2.196642
1	1993	4.473806	2.189152
1	1994	4.486289	2.21207
1	1995	4.49819	2.228721
1	1996	4.505066	2.226619
1	1997	4.522999	2.246927
1	1998	4.558483	2.283387
1	1999	4.561781	2.293282
1	2000	4.552031	2.307734
1	2001	4.573765	2.32111
1	2002	4.591508	2.350672
1	2003	4.615843	2.37906
1	2004	4.640075	2.426147
1	2005	4.67736	2.436121
1	2006	4.728373	2.453074
1	2007	4.744216	2.460881
1	2008	4.727314	2.481192
1	2009	4.743457	2.478602
1	2010	4.696944	2.507051
1	2011	4.637874	2.50411
4	1975	4.54845	2.127881
4	1976	4.528265	2.153265
4	1977	4.540242	2.170092
4	1978	4.60343	2.195684
4	1979	4.65019	2.159541
4	1980	4.60517	2.130372
4	1981	4.560812	2.104775
4	1982	4.470544	2.071497
4	1983	4.512384	2.118392
4	1984	4.489109	2.159735
4	1985	4.483148	2.164998
4	1986	4.510178	2.188932
4	1987	4.489034	2.190925
4	1988	4.431419	2.192825
4	1989	4.36594	2.174851
4	1990	4.30559	2.147857
4	1991	4.292588	2.141408
4	1992	4.294823	2.147101
4	1993	4.296512	2.157335
4	1994	4.319923	2.183681
4	1995	4.360758	2.207284
4	1996	4.382024	2.219132
4	1997	4.403845	2.248261
4	1998	4.435806	2.290035
4	1999	4.4491	2.290044
4	2000	4.451687	2.300121
4	2001	4.471159	2.291494
4	2002	4.489753	2.293864
4	2003	4.50892	2.292657
4	2004	4.591103	2.318575
4	2005	4.813701	2.339009
4	2006	4.950523	2.364308
4	2007	4.918091	2.3741
4	2008	4.734901	2.37045
4	2009	4.568348	2.319046
4	2010	4.427402	2.311349
4	2011	4.283382	2.307669
5	1975	4.591192	1.928472
5	1976	4.630136	1.955636
5	1977	4.655696	1.980975
5	1978	4.668646	2.040917
5	1979	4.695296	1.994887
5	1980	4.60517	1.902257
5	1981	4.526133	1.918643
5	1982	4.478305	1.907286
5	1983	4.514261	1.937444
5	1984	4.497917	2.00241
5	1985	4.483516	2.022302
5	1986	4.506611	2.053169
5	1987	4.484585	2.055404
5	1988	4.447551	2.096466
5	1989	4.424555	2.130214
5	1990	4.384964	2.130885
5	1991	4.364302	2.137371
5	1992	4.3725	2.185627
5	1993	4.391965	2.189813
5	1994	4.419742	2.204596
5	1995	4.440389	2.219093
5	1996	4.448514	2.240872
5	1997	4.46091	2.253112
5	1998	4.482679	2.281641
5	1999	4.478957	2.29125
5	2000	4.460618	2.293759
5	2001	4.478691	2.320739
5	2002	4.498224	2.336948
5	2003	4.518186	2.373911
5	2004	4.56013	2.415199
5	2005	4.597757	2.412635
5	2006	4.629299	2.434978
5	2007	4.642729	2.477632
5	2008	4.597941	2.485325
5	2009	4.594373	2.471269
5	2010	4.565423	2.490149
5	2011	4.520398	2.491518
6	1975	4.185098	2.310565
6	1976	4.289917	2.329279
6	1977	4.449156	2.346612
6	1978	4.552945	2.378975
6	1979	4.610362	2.384141
6	1980	4.60517	2.343727
6	1981	4.603655	2.349406
6	1982	4.563184	2.343967
6	1983	4.556467	2.38313
6	1984	4.541296	2.430462
6	1985	4.548913	2.43184
6	1986	4.583776	2.444455
6	1987	4.641401	2.442718
6	1988	4.742416	2.462529
6	1989	4.883908	2.449985
6	1990	4.905159	2.439234
6	1991	4.861743	2.427374
6	1992	4.813792	2.431134
6	1993	4.749602	2.419099
6	1994	4.686077	2.435859
6	1995	4.652008	2.459091
6	1996	4.630997	2.480751
6	1997	4.641946	2.50339
6	1998	4.708047	2.559903
6	1999	4.761752	2.570319
6	2000	4.847018	2.602386
6	2001	4.934041	2.600212
6	2002	5.012486	2.61852
6	2003	5.103416	2.628115
6	2004	5.272758	2.649419
6	2005	5.436626	2.639801
6	2006	5.490948	2.662913
6	2007	5.403582	2.663974
6	2008	5.161587	2.662099
6	2009	5.034026	2.621017
6	2010	4.995575	2.623966
6	2011	4.920382	2.626471
8	1975	4.436317	2.203482
8	1976	4.463789	2.229089
8	1977	4.526484	2.232342
8	1978	4.625578	2.258333
8	1979	4.636292	2.221358
8	1980	4.60517	2.228723
8	1981	4.563172	2.23629
8	1982	4.575311	2.21429
8	1983	4.543567	2.232398
8	1984	4.509651	2.279656
8	1985	4.487412	2.29001
8	1986	4.503076	2.315094
8	1987	4.462685	2.315964
8	1988	4.415796	2.344742
8	1989	4.405037	2.394353
8	1990	4.384444	2.40025
8	1991	4.38283	2.402512
8	1992	4.41261	2.413155
8	1993	4.458443	2.418128
8	1994	4.530135	2.420635
8	1995	4.564098	2.434456
8	1996	4.587168	2.44731
8	1997	4.606956	2.460901
8	1998	4.641124	2.49204
8	1999	4.695746	2.518607
8	2000	4.767308	2.570007
8	2001	4.811238	2.577921
8	2002	4.840836	2.578277
8	2003	4.855771	2.584088
8	2004	4.889357	2.627435
8	2005	4.916757	2.647346
8	2006	4.912587	2.663967
8	2007	4.905396	2.670689
8	2008	4.860838	2.679868
8	2009	4.851505	2.636484
8	2010	4.80432	2.639585
8	2011	4.741893	2.636101
9	1975	4.454843	2.215701
9	1976	4.45686	2.22902
9	1977	4.45587	2.275661
9	1978	4.572667	2.317104
9	1979	4.674296	2.342777
9	1980	4.60517	2.356221
9	1981	4.58296	2.370786
9	1982	4.542312	2.38817
9	1983	4.58462	2.425081
9	1984	4.650576	2.487716
9	1985	4.758017	2.505036
9	1986	4.924365	2.532022
9	1987	5.102402	2.553618
9	1988	5.146785	2.607279
9	1989	5.078021	2.628703
9	1990	4.968009	2.604486
9	1991	4.874254	2.570077
9	1992	4.827811	2.591722
9	1993	4.781792	2.584016
9	1994	4.726072	2.589245
9	1995	4.695868	2.605268
9	1996	4.681263	2.605347
9	1997	4.669744	2.629624
9	1998	4.702391	2.668124
9	1999	4.735419	2.682823
9	2000	4.779528	2.722743
