# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1435443058
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# sampler_t=HMC
# int_time=6.28319
# sample_file=BOOSH-SAMP.TXT
# append_samples=0
#
lp__,accept_stat__,stepsize__,int_time__,energy__,rateA,rateB,rate_diff
-26.4267,5.92567e-10,1,6.28319,27.4011,0.336599,0.363688,0.0270887
-26.4267,2.70503e-180,2.33506,6.28319,27.2786,0.336599,0.363688,0.0270887
-26.5894,0.991177,0.230236,6.28319,26.7781,0.323116,0.358668,0.035552
-25.7712,1,0.234219,6.28319,26.9529,0.328837,0.40353,0.0746929
-24.8056,1,0.316258,6.28319,26.6603,0.32674,0.482944,0.156204
-24.6553,1,0.494037,6.28319,24.9005,0.34013,0.493112,0.152981
-24.272,1,0.840364,6.28319,24.3543,0.461515,0.634972,0.173457
-24.272,2.18313e-63,1.5031,6.28319,25.094,0.461515,0.634972,0.173457
-24.9828,0.985133,0.119443,6.28319,28.6657,0.47864,0.733036,0.254397
-24.8972,1,0.209779,6.28319,25.398,0.476497,0.726396,0.249899
-24.3377,1,0.39274,6.28319,26.287,0.475707,0.623402,0.147695
-24.3555,0.985132,0.741414,6.28319,24.5001,0.365495,0.523885,0.158389
-24.3555,1.38292e-48,1.33863,6.28319,25.8072,0.365495,0.523885,0.158389
-24.5058,0.997995,0.109956,6.28319,24.8221,0.393443,0.500009,0.106565
-24.9527,0.979191,0.208973,6.28319,26.042,0.444539,0.464171,0.0196319
-25.1119,0.975431,0.373083,6.28319,25.372,0.445948,0.450415,0.00446727
-25.6279,0.787974,0.654827,6.28319,25.6385,0.456431,0.414666,-0.041765
-25.6295,0.999773,0.644075,6.28319,25.6972,0.433031,0.408144,-0.0248872
-25.6295,8.56582e-21,1.20531,6.28319,26.9993,0.433031,0.408144,-0.0248872
-25.5788,1,0.110671,6.28319,26.7738,0.450439,0.416113,-0.0343266
-25.5051,1,0.208487,6.28319,27.4276,0.477859,0.432304,-0.0455546
-25.1564,1,0.388981,6.28319,26.2649,0.509682,0.485644,-0.0240375
-24.73,1,0.71858,6.28319,26.2357,0.521262,0.578975,0.0577133
-24.73,2.97679e-41,1.31422,6.28319,26.8227,0.521262,0.578975,0.0577133
-24.642,1,0.133342,6.28319,24.773,0.515057,0.596271,0.0812143
-24.6526,0.999235,0.24499,6.28319,25.2674,0.516994,0.605676,0.088682
-25.2791,0.852321,0.444622,6.28319,27.4605,0.562016,0.669659,0.107643
-28.1563,0.402249,0.528803,6.28319,30.214,0.553178,0.323484,-0.229695
-26.8657,1,0.179059,6.28319,29.0086,0.53509,0.37587,-0.159219
-26.6985,1,0.32176,6.28319,26.9704,0.525407,0.379692,-0.145714
-25.8113,1,0.572586,6.28319,26.7022,0.525261,0.438421,-0.0868403
-25.8113,6.98393e-13,1.00928,6.28319,27.293,0.525261,0.438421,-0.0868403
-25.8832,0.998834,0.119198,6.28319,27.2847,0.532823,0.438787,-0.0940364
-25.6889,1,0.210183,6.28319,26.9735,0.501414,0.431332,-0.070082
-26.1155,0.937893,0.368367,6.28319,26.1175,0.522314,0.413967,-0.108347
-25.4743,1,0.543423,6.28319,26.9825,0.480172,0.435843,-0.0443289
-25.6211,0.889314,0.936853,6.28319,25.6911,0.293649,0.773456,0.479807
-25.6211,2.40836e-12,1.20246,6.28319,30.3621,0.293649,0.773456,0.479807
-25.6337,1,0.156586,6.28319,26.1323,0.315012,0.782999,0.467987
-25.9116,0.980872,0.269078,6.28319,26.5364,0.289458,0.787756,0.498298
-26.2488,0.943151,0.436918,6.28319,26.4046,0.260355,0.789688,0.529334
-26.0186,1,0.640634,6.28319,26.9327,0.28087,0.789239,0.508369
-26.0186,2.5775e-37,1.07616,6.28319,28.2167,0.28087,0.789239,0.508369
-27.408,0.975496,0.151067,6.28319,28.4655,0.28835,0.846793,0.558443
-28.9315,0.949166,0.239593,6.28319,29.3063,0.278124,0.88302,0.604896
-27.5348,1,0.353986,6.28319,29.0212,0.275949,0.847071,0.571122
-27.5348,0.785198,0.588226,6.28319,27.9795,0.275949,0.847071,0.571122
-27.2348,1,0.578894,6.28319,27.3753,0.276055,0.837534,0.56148
-27.2348,0.0110941,0.951861,6.28319,27.6562,0.276055,0.837534,0.56148
-26.9184,1,0.148761,6.28319,27.8,0.267573,0.82302,0.555447
-28.0883,0.939077,0.24515,6.28319,29.6299,0.214572,0.837082,0.622511
-27.7692,1,0.347934,6.28319,28.0915,0.232534,0.83672,0.604186
-26.7751,1,0.566328,6.28319,27.9803,0.352179,0.838298,0.486119
-26.7751,0.0894002,0.915928,6.28319,27.3376,0.352179,0.838298,0.486119
-25.7034,1,0.181885,6.28319,27.7713,0.337104,0.792643,0.455538
-25.8377,0.990118,0.294429,6.28319,25.9277,0.324532,0.796347,0.471815
-25.8145,1,0.463198,6.28319,25.9612,0.339565,0.798571,0.459005
-24.42,1,0.740884,6.28319,25.3431,0.3348,0.689421,0.354621
-24.42,1.87361e-35,1.17816,6.28319,26.3891,0.3348,0.689421,0.354621
-24.4885,0.996208,0.201034,6.28319,25.4231,0.305208,0.671982,0.366774
-24.4157,1,0.317673,6.28319,25.4626,0.309088,0.66182,0.352731
-24.3554,1,0.503406,6.28319,25.4517,0.357385,0.691265,0.33388
-24.154,1,0.793373,6.28319,24.4105,0.439896,0.616292,0.176396
-24.154,4.17275e-22,1.2437,6.28319,24.7451,0.439896,0.616292,0.176396
-24.1869,0.998179,0.223192,6.28319,24.2746,0.440386,0.639942,0.199556
-24.3266,0.981825,0.349187,6.28319,25.1058,0.470464,0.637376,0.166912
-24.3507,1,0.524846,6.28319,25.5597,0.475561,0.588143,0.112582
-25.6916,0.312684,0.816183,6.28319,25.9092,0.541241,0.746509,0.205268
-25.5835,1,0.295298,6.28319,25.7156,0.529032,0.748136,0.219104
-25.5563,1,0.458372,6.28319,25.8297,0.52149,0.751665,0.230175
-25.4459,0.942022,0.708086,6.28319,26.2446,0.489152,0.762896,0.273744
-24.9814,0.91915,0.964995,6.28319,25.6896,0.399165,0.451669,0.0525046
-24.9814,1.53646e-111,1.25015,6.28319,29.3021,0.399165,0.451669,0.0525046
-25.3473,0.975864,0.243427,6.28319,25.9908,0.406878,0.423498,0.0166203
-25.1197,1,0.355736,6.28319,25.8841,0.414119,0.441778,0.0276592
-25.2179,0.968832,0.543907,6.28319,26.0049,0.471555,0.452455,-0.0191002
-26.1495,0.508891,0.77728,6.28319,26.3619,0.261543,0.785196,0.523653
-26.1695,1,0.437628,6.28319,26.5902,0.284131,0.798281,0.51415
-26.1695,0.630365,0.664043,6.28319,29.0424,0.284131,0.798281,0.51415
-25.7475,1,0.479558,6.28319,26.4369,0.25636,0.756715,0.500356
-25.8036,0.961649,0.724286,6.28319,26.4528,0.206938,0.681299,0.474361
-25.8036,3.75465e-30,1.0099,6.28319,26.9902,0.206938,0.681299,0.474361
-25.8237,1,0.211393,6.28319,26.2658,0.203218,0.670938,0.46772
-25.8884,0.993989,0.318569,6.28319,26.0484,0.202135,0.679001,0.476866
-25.3656,1,0.472629,6.28319,29.2849,0.220074,0.598013,0.377939
-25.1752,1,0.706771,6.28319,25.2471,0.231041,0.60676,0.375719
-25.1752,7.02466e-23,1.05293,6.28319,25.6841,0.231041,0.60676,0.375719
-25.36,0.99165,0.228397,6.28319,26.5171,0.221795,0.582215,0.360421
-25.4217,0.99385,0.33533,6.28319,25.6857,0.219806,0.571624,0.351818
-26.4648,0.760087,0.49266,6.28319,28.5169,0.211639,0.449114,0.237475
-26.585,0.96983,0.462894,6.28319,26.7137,0.213338,0.436686,0.223348
-26.0858,1,0.646694,6.28319,26.6459,0.21602,0.476775,0.260755
-26.0858,8.87726e-05,0.953373,6.28319,26.5015,0.21602,0.476775,0.260755
-25.9448,1,0.215365,6.28319,27.0011,0.20886,0.509336,0.300476
-26.228,0.979054,0.317905,6.28319,26.398,0.195299,0.509309,0.31401
-25.7308,1,0.449842,6.28319,26.2954,0.220891,0.508055,0.287164
-24.9633,1,0.659685,6.28319,25.517,0.254806,0.551936,0.29713
-24.9633,0.0834504,0.96426,6.28319,25.4416,0.254806,0.551936,0.29713
-24.6126,1,0.261778,6.28319,25.0849,0.285245,0.556652,0.271407
-24.8868,0.961976,0.382865,6.28319,25.2027,0.26166,0.550176,0.288516
-25.6626,0.437441,2.0836,6.28319,26.9823,0.486125,0.424704,-0.0614204
-25.6626,7.19163e-137,10.7777,6.28319,26.4594,0.486125,0.424704,-0.0614204
-24.7186,1,1.34515,6.28319,25.8584,0.264398,0.613953,0.349554
-25.0488,0.787572,1.60281,6.28319,25.1905,0.512077,0.500796,-0.0112813
-25.0488,0.616045,1.28531,6.28319,26.7327,0.512077,0.500796,-0.0112813
-25.325,1,0.657954,6.28319,26.3204,0.229366,0.553174,0.323807
-24.3843,1,1.10576,6.28319,26.1557,0.457546,0.546238,0.088692
-24.4687,0.948386,1.96277,6.28319,24.5227,0.319234,0.533991,0.214757
-24.4687,1.2827e-09,3.05838,6.28319,25.6144,0.319234,0.533991,0.214757
-24.141,1,0.242268,6.28319,25.6574,0.432094,0.630856,0.198762
-24.2825,0.993177,0.453194,6.28319,24.4087,0.352045,0.676936,0.324891
-24.1912,1,0.837857,6.28319,24.9833,0.423409,0.561754,0.138344
-24.1912,0.206063,1.5882,6.28319,26.5972,0.423409,0.561754,0.138344
-24.1678,1,0.249532,6.28319,24.322,0.352243,0.571323,0.21908
