"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-A","314","14184","BIOLOGICL&ENVRNMTL CHEM ANALYS","Robinson,Jill Kirsten","73","82","2.71","3.276","47.4","30.1","23.3","39.7","2.7","12","0","16","6","4","7","6","10","12","7","1","1","0","3","3","6","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-A","316","7153","BIOANALYTICAL CHEMISTRY LAB","Robinson,Jill Kirsten","58","60","3.212","3.261","57.6","41.4","41.4","15.5","0","3","0","19","5","8","8","8","6","3","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-A","800","7171","2ND YR ANALYTICAL CHEM REVIEW","Clemmer,David E.","11","11","3.782","3.573","100","72.7","27.3","0","0","0","2","5","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-B","486","11753","GENE EXPRESSION AND PHYSIOLOGY","Drummond,James T.","62","65","3.098","3.493","90.5","51.6","17.7","27.4","1.6","4","4","21","7","2","4","5","4","6","7","0","1","0","1","1","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-B","800","7172","BIOLOGICAL CHEM RESCH SEMINAR","Giedroc,David Peter","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","101","3840","ELEMENTARY CHEMISTRY 1","Edwards,Michael A","91","109","2.585","2.781","0","13.2","40.7","40.7","4.4","19","4","6","2","12","12","13","11","12","14","0","4","0","1","8","8","2","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","102","3845","ELEMENTARY CHEMISTRY 2","Brown,Laura Caroline","35","42","2.157","2.887","0","8.6","25.7","45.7","17.1","8","0","2","1","1","6","2","3","7","6","2","2","2","1","2","4","1","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","103","3847","INTRO TO CHEMICAL PRINCIPLES","Arnold,Kimberly Sue","268","308","2.548","2.968",".3","22","35.4","27.6","7.8","59","8","25","26","29","35","31","26","25","23","6","10","5","19","18","21","1","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","107","3862","FRONTIERS OF CHEMICAL RESEARCH","Peters,Dennis G.","23","24","3.913","3.636","56.5","95.7","0","4.3","0","1","0","22","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","117","3863","PRINC OF CHEM & BIOCHEM I","Jarrold,Martin F.","301","327","2.159","2.993","3.2","21.6","16.3","28.2","24.3","55","14","31","20","13","21","15","32","36","17","29","22","22","29","14","11","1","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","117","3864","PRINC OF CHEM & BIOCHEM I","Jarrold,Martin F.","316","352","2.314","3.181","3.9","20.6","26.6","27.5","16.8","63","29","21","15","23","30","31","28","34","25","17","13","23","27","20","16","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","118","12404","PRINC OF CHEM & BIOCHEM II","Robinson,Jill Kirsten","93","106","3.2","3.482","3.2","41.9","39.8","15.1","2.2","14","0","27","12","13","16","8","9","3","2","2","0","0","1","2","11","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","121","3876","ELEMENTARY CHEMISTRY LAB 1","Snaddon,Deborah Anne","65","84","2.457","2.86","0","10.8","44.6","29.2","10.8","22","0","3","4","8","11","10","8","7","4","2","4","1","3","13","6","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","122","3881","ELEMENTARY CHEMISTRY LAB 2","Cooley,Chad","33","39","3.03","2.877","0","21.2","60.6","18.2","0","6","1","2","4","7","8","5","3","2","1","0","0","0","0","5","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","127","13454","PRINC OF CHEM & BIOCHEM I LAB","Dean,Norman Scott","276","307","2.891","3.094","3.7","18.8","57.6","19.6","1.1","39","5","16","31","57","59","43","28","18","8","3","0","0","8","19","12","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","127","13455","PRINC OF CHEM & BIOCHEM I LAB","Dean,Norman Scott","281","312","2.961","3.167","3.7","29.9","43.8","21.4","2.8","37","5","30","49","51","43","29","28","25","7","4","3","1","6","20","11","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","CHEM","CHEM-C","243","13007","SUPPLEMENTAL GENERAL CHEMISTRY","Pasciak,Erick","22","27","2.1","2.643","7.7","13.6","31.8","22.7","9.1","10","1","1","1","3","2","2","3","2","0","1","1","0","5","4","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","317","8447","EQUILIBRIA & ELECTROCHEMISTRY","Peters,Dennis G.","49","56","3.357","3.352","68.5","51","40.8","6.1","0","8","5","12","8","7","9","4","0","3","0","0","0","0","1","5","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","341","10394","ORGANIC CHEMISTRY 1 LECTURES","Reck,Cathrine E.","232","311","2.454","3.295","12.6","18.1","36.2","25.9","11.6","98","6","13","23","24","41","19","29","19","12","14","8","5","19","68","10","1","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","341","7155","ORGANIC CHEMISTRY 1 LECTURES","Reck,Cathrine E.","239","326","2.302","3.249","12.5","15.9","36.4","23.8","12.6","114","3","13","22","25","37","25","17","24","16","7","14","9","27","61","22","4","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","342","3891","ORGANIC CHEMISTRY LECTURES 2","Van Nieuwenhze,Michael","239","268","2.476","3.367","11.4","24.3","32.6","24.3","7.1","57","4","31","23","13","44","21","18","21","19","8","9","0","28","22","5","2","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","CHEM","CHEM-C","343","3899","ORGANIC CHEMISTRY LABORATORY 1","Cooley,Chad","184","221","2.976","3.462","6.5","27.2","48.4","21.2","1.1","41","6","19","25","28","45","16","22","12","5","0","0","2","4","29","7","1","0","0","0","0","0","0","0","06-10-2016",
