"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHERCNT","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2016","4162","1","Regular Academic Session","PHIL","PHIL-G","901","6323","ADVANCED RESEARCH","Ebbs,Gary","1","15","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","PHIL","PHIL-OS","100","37647","UNDISTRIBUTED OVERSEAS STUDY","","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","PHIL","PHIL-P","100","30032","INTRODUCTION TO PHILOSOPHY","Lindquist,Daniel Mark","37","48","2.541","2.87","0","29.7","32.4","13.5","10.8","16","0","9","2","5","3","4","2","1","2","2","1","1","5","0","11","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W2","Eight Week - Second","PHIL","PHIL-P","100","35540","INTRODUCTION TO PHILOSOPHY","Schmitt,Frederick F.","37","65","3.468","2.625","0","51.4","43.2","5.4","0","28","0","12","7","8","8","0","0","2","0","0","0","0","0","6","22","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","PHIL","PHIL-P","100","6324","INTRODUCTION TO PHILOSOPHY","Black,Dylan Jacob","18","22","3.15","2.915","0","44.4","33.3","16.7","5.6","4","2","1","5","5","0","1","0","2","1","1","0","0","0","0","4","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","PHIL","PHIL-P","100","6325","INTRODUCTION TO PHILOSOPHY","Hasper,Pieter Sjoerd","85","101","2.855","2.915","0","29.4","45.9","12.9","4.7","22","7","7","11","16","14","9","5","3","3","2","1","1","6","3","13","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","PHIL","PHIL-P","105","15132","CRITICAL THINKING","McCarty,David Charles","41","59","2.478","2.803","0","24.4","22","34.1","14.6","20","1","8","1","1","7","1","4","9","1","0","6","0","2","8","10","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","PHIL","PHIL-P","140","12203","INTRODUCTION TO ETHICS","Montgomery,Nickolas Robert","36","51","3.442","3.275","0","63.9","25","8.3","2.8","15","4","10","9","3","4","2","2","0","1","0","1","0","0","2","13","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","PHIL","PHIL-P","140","16048","INTRODUCTION TO ETHICS","Hong,Hao","11","12","3.1","3.115","0","45.5","45.5","0","0","2","0","3","2","1","2","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","PHIL","PHIL-P","140","30010","INTRODUCTION TO ETHICS","O'Connor,Timothy William","83","96","2.292","2.957","0","21.7","28.9","20.5","16.9","23","0","7","11","7","8","9","6","5","6","9","3","2","10","7","6","0","0","0","0","0","0","0","0","06-10-2016",
