"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Joe Johnson",TRUE,"39:25",5,13,0.385,1,7,0.143,3,3,1,0,4,4,4,0,0,4,3,14,0,"2015-01-02_BRK_at_ORL","BRK"
"Sergey Karasev",TRUE,"33:32",3,5,0.6,1,2,0.5,0,2,0,0,4,4,5,1,0,2,2,7,-2,"2015-01-02_BRK_at_ORL","BRK"
"Jarrett Jack",TRUE,"32:49",3,8,0.375,0,1,0,0,0,NA,0,6,6,4,1,0,6,1,6,-7,"2015-01-02_BRK_at_ORL","BRK"
"Mason Plumlee",TRUE,"26:32",9,10,0.9,0,0,NA,0,3,0,2,7,9,2,1,2,5,3,18,4,"2015-01-02_BRK_at_ORL","BRK"
"Kevin Garnett",TRUE,"17:34",3,4,0.75,1,1,1,2,2,1,0,6,6,1,2,0,2,1,9,-2,"2015-01-02_BRK_at_ORL","BRK"
"Deron Williams",FALSE,"29:08",5,10,0.5,3,3,1,3,4,0.75,0,2,2,7,0,0,1,1,16,-2,"2015-01-02_BRK_at_ORL","BRK"
"Alan Anderson",FALSE,"23:51",2,5,0.4,1,3,0.333,0,0,NA,0,2,2,1,1,0,1,4,5,1,"2015-01-02_BRK_at_ORL","BRK"
"Mirza Teletovic",FALSE,"19:30",4,9,0.444,0,3,0,1,1,1,0,4,4,2,1,0,0,1,9,9,"2015-01-02_BRK_at_ORL","BRK"
"Brook Lopez",FALSE,"17:40",7,8,0.875,0,0,NA,2,3,0.667,2,6,8,0,0,3,1,0,16,9,"2015-01-02_BRK_at_ORL","BRK"
"Brandon Davies",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_BRK_at_ORL","BRK"
"Darius Morris",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_BRK_at_ORL","BRK"
"Bojan Bogdanovic",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_BRK_at_ORL","BRK"
"Jerome Jordan",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_BRK_at_ORL","BRK"
"Joe Johnson",TRUE,"40:30",8,22,0.364,2,6,0.333,1,2,0.5,0,3,3,4,0,0,0,3,19,-5,"2015-01-04_BRK_at_MIA","BRK"
"Jarrett Jack",TRUE,"24:39",2,9,0.222,0,1,0,0,0,NA,0,2,2,3,2,3,2,0,4,-5,"2015-01-04_BRK_at_MIA","BRK"
"Mason Plumlee",TRUE,"22:34",5,6,0.833,0,0,NA,2,3,0.667,2,3,5,0,1,1,3,1,12,-9,"2015-01-04_BRK_at_MIA","BRK"
"Sergey Karasev",TRUE,"21:43",1,3,0.333,0,1,0,0,0,NA,0,2,2,1,1,0,2,3,2,-13,"2015-01-04_BRK_at_MIA","BRK"
"Kevin Garnett",TRUE,"18:10",2,7,0.286,0,0,NA,0,0,NA,4,3,7,1,1,0,0,3,4,-8,"2015-01-04_BRK_at_MIA","BRK"
"Mirza Teletovic",FALSE,"29:50",5,15,0.333,4,11,0.364,0,2,0,1,3,4,1,1,1,2,2,14,4,"2015-01-04_BRK_at_MIA","BRK"
"Deron Williams",FALSE,"26:04",5,10,0.5,1,2,0.5,2,2,1,0,6,6,8,1,0,0,2,13,1,"2015-01-04_BRK_at_MIA","BRK"
"Brook Lopez",FALSE,"25:26",6,11,0.545,0,0,NA,4,4,1,3,4,7,0,1,1,1,3,16,5,"2015-01-04_BRK_at_MIA","BRK"
"Alan Anderson",FALSE,"23:32",0,2,0,0,2,0,0,0,NA,0,1,1,0,1,0,1,5,0,11,"2015-01-04_BRK_at_MIA","BRK"
"Bojan Bogdanovic",FALSE,"7:32",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,0,-1,"2015-01-04_BRK_at_MIA","BRK"
"Jerome Jordan",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-04_BRK_at_MIA","BRK"
"Brandon Davies",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-04_BRK_at_MIA","BRK"
"Darius Morris",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-04_BRK_at_MIA","BRK"
"Joe Johnson",TRUE,"45:27",8,19,0.421,2,6,0.333,0,0,NA,0,7,7,4,1,1,4,1,18,-7,"2015-01-05_DAL_at_BRK","BRK"
"Jarrett Jack",TRUE,"43:45",6,16,0.375,0,3,0,8,8,1,0,4,4,10,0,0,3,4,20,3,"2015-01-05_DAL_at_BRK","BRK"
