"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Jimmy Butler",TRUE,"39:49",8,14,0.571,1,2,0.5,9,9,1,1,7,8,8,2,1,3,1,26,-3,"2015-01-01_DEN_at_CHI","CHI"
"Pau Gasol",TRUE,"35:16",7,17,0.412,0,0,NA,3,4,0.75,5,4,9,4,0,9,1,1,17,1,"2015-01-01_DEN_at_CHI","CHI"
"Derrick Rose",TRUE,"31:34",7,25,0.28,1,3,0.333,2,2,1,0,3,3,8,2,2,1,1,17,1,"2015-01-01_DEN_at_CHI","CHI"
"Joakim Noah",TRUE,"30:31",3,6,0.5,0,0,NA,0,0,NA,4,7,11,1,0,3,0,3,6,-6,"2015-01-01_DEN_at_CHI","CHI"
"Mike Dunleavy",TRUE,"17:25",2,6,0.333,2,3,0.667,0,0,NA,0,1,1,0,0,0,0,3,6,-9,"2015-01-01_DEN_at_CHI","CHI"
"Kirk Hinrich",FALSE,"26:53",4,4,1,2,2,1,0,0,NA,0,2,2,0,0,0,0,1,10,14,"2015-01-01_DEN_at_CHI","CHI"
"Aaron Brooks",FALSE,"23:07",3,9,0.333,2,4,0.5,4,4,1,0,4,4,0,2,1,1,2,12,14,"2015-01-01_DEN_at_CHI","CHI"
"Taj Gibson",FALSE,"19:21",3,8,0.375,0,0,NA,3,4,0.75,3,4,7,0,0,2,1,6,9,8,"2015-01-01_DEN_at_CHI","CHI"
"Nikola Mirotic",FALSE,"10:48",1,2,0.5,0,1,0,1,2,0.5,0,0,0,1,1,0,0,1,3,5,"2015-01-01_DEN_at_CHI","CHI"
"Tony Snell",FALSE,"5:16",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,"2015-01-01_DEN_at_CHI","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-01_DEN_at_CHI","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-01_DEN_at_CHI","CHI"
"E'Twaun Moore",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-01_DEN_at_CHI","CHI"
"Pau Gasol",TRUE,"38:19",9,16,0.563,1,1,1,10,11,0.909,5,11,16,2,1,5,5,1,29,1,"2015-01-03_BOS_at_CHI","CHI"
"Nikola Mirotic",TRUE,"37:43",2,10,0.2,1,6,0.167,5,7,0.714,0,8,8,4,2,0,0,2,10,1,"2015-01-03_BOS_at_CHI","CHI"
"Kirk Hinrich",TRUE,"36:36",4,10,0.4,0,6,0,0,0,NA,3,2,5,0,0,1,1,4,8,-7,"2015-01-03_BOS_at_CHI","CHI"
"Joakim Noah",TRUE,"36:14",3,10,0.3,0,0,NA,2,4,0.5,6,6,12,6,3,2,4,4,8,-5,"2015-01-03_BOS_at_CHI","CHI"
"Derrick Rose",TRUE,"34:41",5,18,0.278,1,4,0.25,1,2,0.5,0,2,2,1,1,0,4,1,12,-5,"2015-01-03_BOS_at_CHI","CHI"
"Taj Gibson",FALSE,"31:17",4,10,0.4,0,0,NA,4,5,0.8,5,1,6,2,0,1,0,0,12,13,"2015-01-03_BOS_at_CHI","CHI"
"Aaron Brooks",FALSE,"20:22",6,15,0.4,3,8,0.375,4,5,0.8,2,2,4,1,1,0,2,1,19,7,"2015-01-03_BOS_at_CHI","CHI"
"E'Twaun Moore",FALSE,"16:24",3,7,0.429,0,1,0,2,4,0.5,2,1,3,1,1,0,0,0,8,12,"2015-01-03_BOS_at_CHI","CHI"
"Tony Snell",FALSE,"13:24",1,4,0.25,0,2,0,1,2,0.5,1,2,3,2,1,0,0,1,3,8,"2015-01-03_BOS_at_CHI","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-03_BOS_at_CHI","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-03_BOS_at_CHI","CHI"
"Jimmy Butler",TRUE,"41:24",7,17,0.412,2,4,0.5,6,7,0.857,1,4,5,1,3,1,1,0,22,9,"2015-01-05_HOU_at_CHI","CHI"
"Joakim Noah",TRUE,"34:28",3,7,0.429,0,0,NA,2,3,0.667,5,5,10,3,2,6,3,4,8,13,"2015-01-05_HOU_at_CHI","CHI"
"Pau Gasol",TRUE,"34:21",10,16,0.625,0,0,NA,7,7,1,5,9,14,3,0,2,2,1,27,2,"2015-01-05_HOU_at_CHI","CHI"
"Derrick Rose",TRUE,"34:05",6,17,0.353,1,4,0.25,6,6,1,1,2,3,9,2,0,3,1,19,12,"2015-01-05_HOU_at_CHI","CHI"
"Kirk Hinrich",TRUE,"23:53",4,6,0.667,1,3,0.333,1,1,1,0,1,1,2,1,1,2,1,10,-3,"2015-01-05_HOU_at_CHI","CHI"
"Taj Gibson",FALSE,"27:11",3,6,0.5,0,0,NA,3,4,0.75,3,3,6,4,1,0,3,1,9,3,"2015-01-05_HOU_at_CHI","CHI"
"Nikola Mirotic",FALSE,"27:06",7,12,0.583,1,4,0.25,2,2,1,2,6,8,1,0,2,1,3,17,15,"2015-01-05_HOU_at_CHI","CHI"
"Aaron Brooks",FALSE,"15:19",1,3,0.333,0,1,0,0,0,NA,0,0,0,4,1,0,2,2,2,0,"2015-01-05_HOU_at_CHI","CHI"
"E'Twaun Moore",FALSE,"2:13",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-6,"2015-01-05_HOU_at_CHI","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-05_HOU_at_CHI","CHI"
"Tony Snell",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-05_HOU_at_CHI","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-05_HOU_at_CHI","CHI"
"Jimmy Butler",TRUE,"33:41",5,13,0.385,2,4,0.5,4,5,0.8,3,8,11,3,2,0,2,2,16,-19,"2015-01-07_UTA_at_CHI","CHI"
"Derrick Rose",TRUE,"30:12",3,15,0.2,0,1,0,1,2,0.5,2,2,4,2,0,0,3,2,7,-18,"2015-01-07_UTA_at_CHI","CHI"
"Joakim Noah",TRUE,"27:08",0,3,0,0,0,NA,1,2,0.5,2,5,7,3,0,3,3,3,1,-10,"2015-01-07_UTA_at_CHI","CHI"
"Pau Gasol",TRUE,"26:18",5,13,0.385,1,1,1,2,2,1,2,4,6,2,0,0,1,2,13,-10,"2015-01-07_UTA_at_CHI","CHI"
"Kirk Hinrich",TRUE,"24:27",0,5,0,0,3,0,0,0,NA,0,1,1,1,0,1,0,4,0,-3,"2015-01-07_UTA_at_CHI","CHI"
"Taj Gibson",FALSE,"30:17",6,10,0.6,0,0,NA,3,4,0.75,5,1,6,1,1,0,1,1,15,-23,"2015-01-07_UTA_at_CHI","CHI"
"Aaron Brooks",FALSE,"23:37",3,11,0.273,2,5,0.4,4,4,1,0,4,4,2,0,0,2,3,12,-14,"2015-01-07_UTA_at_CHI","CHI"
"Nikola Mirotic",FALSE,"22:47",1,7,0.143,0,4,0,0,0,NA,0,1,1,1,0,1,2,2,2,-19,"2015-01-07_UTA_at_CHI","CHI"
"Tony Snell",FALSE,"12:12",2,3,0.667,1,1,1,0,0,NA,2,1,3,1,1,0,1,1,5,4,"2015-01-07_UTA_at_CHI","CHI"
"Cameron Bairstow",FALSE,"3:22",1,1,1,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,2,4,"2015-01-07_UTA_at_CHI","CHI"
"E'Twaun Moore",FALSE,"3:22",1,2,0.5,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,2,4,"2015-01-07_UTA_at_CHI","CHI"
"Nazr Mohammed",FALSE,"2:37",1,1,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,2,4,"2015-01-07_UTA_at_CHI","CHI"
"Jimmy Butler",TRUE,"36:15",2,12,0.167,1,5,0.2,5,7,0.714,1,3,4,2,3,1,4,3,10,-29,"2015-01-09_CHI_at_WAS","CHI"
"Pau Gasol",TRUE,"32:06",5,11,0.455,0,0,NA,2,4,0.5,3,10,13,1,0,2,1,1,12,-22,"2015-01-09_CHI_at_WAS","CHI"
"Derrick Rose",TRUE,"30:58",8,19,0.421,1,7,0.143,2,2,1,1,3,4,2,0,1,4,1,19,-21,"2015-01-09_CHI_at_WAS","CHI"
"Joakim Noah",TRUE,"26:46",1,5,0.2,0,0,NA,1,2,0.5,2,8,10,2,0,1,1,2,3,-15,"2015-01-09_CHI_at_WAS","CHI"
"Kirk Hinrich",TRUE,"20:59",1,4,0.25,1,2,0.5,0,0,NA,1,0,1,0,0,0,3,1,3,-10,"2015-01-09_CHI_at_WAS","CHI"
"Aaron Brooks",FALSE,"23:21",6,13,0.462,4,7,0.571,0,0,NA,1,2,3,4,0,0,3,4,16,2,"2015-01-09_CHI_at_WAS","CHI"
"Taj Gibson",FALSE,"23:01",1,5,0.2,0,0,NA,0,0,NA,1,2,3,2,1,2,0,0,2,1,"2015-01-09_CHI_at_WAS","CHI"
"Tony Snell",FALSE,"18:30",3,6,0.5,2,4,0.5,1,2,0.5,0,1,1,0,4,0,0,2,9,0,"2015-01-09_CHI_at_WAS","CHI"
"Nikola Mirotic",FALSE,"14:16",2,4,0.5,1,1,1,1,2,0.5,1,4,5,1,1,1,0,1,6,5,"2015-01-09_CHI_at_WAS","CHI"
"E'Twaun Moore",FALSE,"13:24",3,4,0.75,0,0,NA,0,0,NA,0,2,2,2,0,0,0,0,6,9,"2015-01-09_CHI_at_WAS","CHI"
"Cameron Bairstow",FALSE,"0:24",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"2015-01-09_CHI_at_WAS","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_CHI_at_WAS","CHI"
"Jimmy Butler",TRUE,"41:18",2,9,0.222,0,3,0,5,7,0.714,3,5,8,10,2,1,2,2,9,12,"2015-01-10_MIL_at_CHI","CHI"
"Pau Gasol",TRUE,"38:35",17,30,0.567,0,0,NA,12,13,0.923,8,10,18,3,1,0,3,3,46,5,"2015-01-10_MIL_at_CHI","CHI"
"Kirk Hinrich",TRUE,"34:39",7,13,0.538,2,5,0.4,0,0,NA,2,1,3,3,1,1,1,3,16,7,"2015-01-10_MIL_at_CHI","CHI"
"Tony Snell",TRUE,"31:31",1,7,0.143,0,4,0,0,0,NA,3,3,6,2,0,1,1,0,2,12,"2015-01-10_MIL_at_CHI","CHI"
"Joakim Noah",TRUE,"22:09",1,2,0.5,0,0,NA,0,0,NA,1,4,5,2,0,1,1,4,2,12,"2015-01-10_MIL_at_CHI","CHI"
"Taj Gibson",FALSE,"25:51",3,12,0.25,0,0,NA,0,0,NA,5,1,6,1,0,1,2,1,6,-4,"2015-01-10_MIL_at_CHI","CHI"
"Aaron Brooks",FALSE,"23:31",1,7,0.143,1,1,1,2,2,1,0,0,0,3,1,0,1,3,5,-7,"2015-01-10_MIL_at_CHI","CHI"
"Nikola Mirotic",FALSE,"13:01",2,6,0.333,1,4,0.25,2,2,1,0,5,5,0,0,0,1,1,7,0,"2015-01-10_MIL_at_CHI","CHI"
"E'Twaun Moore",FALSE,"9:25",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,2,3,"2015-01-10_MIL_at_CHI","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-10_MIL_at_CHI","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-10_MIL_at_CHI","CHI"
"Jimmy Butler",TRUE,"42:52",5,13,0.385,3,6,0.5,4,4,1,2,0,2,2,0,0,1,2,17,-6,"2015-01-12_ORL_at_CHI","CHI"
"Pau Gasol",TRUE,"34:46",10,16,0.625,0,1,0,8,10,0.8,0,14,14,1,1,2,4,1,28,-8,"2015-01-12_ORL_at_CHI","CHI"
"Joakim Noah",TRUE,"31:23",3,6,0.5,0,0,NA,0,2,0,2,5,7,4,0,1,3,6,6,-6,"2015-01-12_ORL_at_CHI","CHI"
"Derrick Rose",TRUE,"30:28",8,15,0.533,1,5,0.2,1,3,0.333,0,2,2,7,2,0,3,3,18,-2,"2015-01-12_ORL_at_CHI","CHI"
"Tony Snell",TRUE,"22:18",2,3,0.667,1,2,0.5,0,0,NA,2,3,5,3,1,0,0,1,5,-5,"2015-01-12_ORL_at_CHI","CHI"
"Kirk Hinrich",FALSE,"24:37",3,7,0.429,0,2,0,2,2,1,0,3,3,3,0,1,2,1,8,-7,"2015-01-12_ORL_at_CHI","CHI"
"Aaron Brooks",FALSE,"23:45",4,10,0.4,2,7,0.286,2,2,1,0,2,2,4,0,0,0,3,12,-1,"2015-01-12_ORL_at_CHI","CHI"
"Taj Gibson",FALSE,"18:45",4,7,0.571,0,0,NA,1,1,1,4,2,6,1,0,0,1,1,9,-2,"2015-01-12_ORL_at_CHI","CHI"
"Nikola Mirotic",FALSE,"11:06",2,7,0.286,1,4,0.25,6,9,0.667,1,1,2,0,2,1,0,2,11,2,"2015-01-12_ORL_at_CHI","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-12_ORL_at_CHI","CHI"
"E'Twaun Moore",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-12_ORL_at_CHI","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-12_ORL_at_CHI","CHI"
"Jimmy Butler",TRUE,"37:51",3,10,0.3,2,4,0.5,5,6,0.833,0,2,2,2,4,1,0,1,13,-8,"2015-01-14_WAS_at_CHI","CHI"
"Derrick Rose",TRUE,"36:03",12,22,0.545,6,9,0.667,2,3,0.667,0,2,2,5,0,0,3,2,32,-18,"2015-01-14_WAS_at_CHI","CHI"
"Pau Gasol",TRUE,"33:42",4,11,0.364,0,0,NA,5,7,0.714,2,6,8,3,0,0,3,4,13,-11,"2015-01-14_WAS_at_CHI","CHI"
"Tony Snell",TRUE,"32:37",3,9,0.333,1,5,0.2,0,0,NA,1,4,5,1,1,0,0,1,7,-9,"2015-01-14_WAS_at_CHI","CHI"
"Joakim Noah",TRUE,"13:25",1,1,1,0,0,NA,0,0,NA,1,2,3,2,0,1,1,2,2,-3,"2015-01-14_WAS_at_CHI","CHI"
"Taj Gibson",FALSE,"31:32",6,9,0.667,0,0,NA,0,0,NA,2,4,6,1,0,2,2,2,12,-2,"2015-01-14_WAS_at_CHI","CHI"
