"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Andre Drummond",TRUE,"34:05",3,5,0.6,0,0,NA,1,6,0.167,2,18,20,4,3,1,2,1,7,26,"2015-01-02_DET_at_NYK","DET"
"Kentavious Caldwell-Pope",TRUE,"31:53",5,9,0.556,2,5,0.4,0,0,NA,1,2,3,2,1,0,1,2,12,22,"2015-01-02_DET_at_NYK","DET"
"Brandon Jennings",TRUE,"24:54",11,17,0.647,4,8,0.5,3,4,0.75,1,2,3,3,2,0,2,1,29,17,"2015-01-02_DET_at_NYK","DET"
"Greg Monroe",TRUE,"22:25",5,11,0.455,0,0,NA,2,2,1,4,6,10,2,1,0,3,3,12,10,"2015-01-02_DET_at_NYK","DET"
"Kyle Singler",TRUE,"19:20",1,4,0.25,0,2,0,0,0,NA,0,0,0,2,0,0,0,3,2,13,"2015-01-02_DET_at_NYK","DET"
"Jodie Meeks",FALSE,"25:07",6,13,0.462,3,7,0.429,0,0,NA,0,1,1,1,2,0,1,0,15,5,"2015-01-02_DET_at_NYK","DET"
"D.J. Augustin",FALSE,"23:06",2,7,0.286,1,5,0.2,0,0,NA,0,1,1,9,0,1,5,0,5,-1,"2015-01-02_DET_at_NYK","DET"
"Jonas Jerebko",FALSE,"21:06",2,2,1,1,1,1,2,2,1,0,4,4,1,1,0,1,3,7,13,"2015-01-02_DET_at_NYK","DET"
"Caron Butler",FALSE,"16:07",2,4,0.5,1,3,0.333,0,0,NA,0,1,1,0,0,0,1,1,5,-6,"2015-01-02_DET_at_NYK","DET"
"Anthony Tolliver",FALSE,"9:30",1,3,0.333,1,2,0.5,0,0,NA,0,1,1,0,0,0,0,0,3,-3,"2015-01-02_DET_at_NYK","DET"
"Joel Anthony",FALSE,"8:54",0,1,0,0,0,NA,0,0,NA,1,2,3,0,0,1,0,1,0,-14,"2015-01-02_DET_at_NYK","DET"
"Cartier Martin",FALSE,"3:33",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,0,1,0,-2,"2015-01-02_DET_at_NYK","DET"
"Luigi Datome",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_DET_at_NYK","DET"
"Brandon Jennings",TRUE,"30:33",14,21,0.667,5,8,0.625,2,2,1,0,2,2,7,2,0,2,3,35,12,"2015-01-04_SAC_at_DET","DET"
"Andre Drummond",TRUE,"28:16",6,11,0.545,0,0,NA,3,5,0.6,4,10,14,1,0,2,0,4,15,17,"2015-01-04_SAC_at_DET","DET"
"Greg Monroe",TRUE,"26:59",6,10,0.6,0,0,NA,2,4,0.5,3,8,11,0,1,0,2,1,14,-2,"2015-01-04_SAC_at_DET","DET"
