"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Marc Gasol",TRUE,"35:24",7,13,0.538,0,0,NA,4,10,0.4,0,10,10,5,1,2,5,3,18,5,"2015-01-02_MEM_at_LAL","MEM"
"Mike Conley",TRUE,"32:21",5,13,0.385,3,5,0.6,6,8,0.75,1,5,6,9,2,1,2,1,19,4,"2015-01-02_MEM_at_LAL","MEM"
"Courtney Lee",TRUE,"30:08",5,9,0.556,2,2,1,2,2,1,1,0,1,0,1,0,1,1,14,5,"2015-01-02_MEM_at_LAL","MEM"
"Tony Allen",TRUE,"15:58",2,9,0.222,0,0,NA,1,2,0.5,4,1,5,2,2,0,0,0,5,0,"2015-01-02_MEM_at_LAL","MEM"
"Jon Leuer",TRUE,"15:34",3,5,0.6,0,0,NA,0,0,NA,1,4,5,0,0,0,0,4,6,-5,"2015-01-02_MEM_at_LAL","MEM"
"Tayshaun Prince",FALSE,"29:27",4,7,0.571,1,1,1,3,3,1,1,3,4,1,1,1,0,3,12,8,"2015-01-02_MEM_at_LAL","MEM"
"Quincy Pondexter",FALSE,"26:17",4,7,0.571,0,1,0,0,0,NA,2,0,2,2,0,0,1,1,8,1,"2015-01-02_MEM_at_LAL","MEM"
"Kosta Koufos",FALSE,"18:54",4,7,0.571,0,0,NA,1,2,0.5,3,6,9,1,0,0,2,1,9,4,"2015-01-02_MEM_at_LAL","MEM"
"Beno Udrih",FALSE,"15:39",6,8,0.75,0,1,0,4,4,1,0,1,1,3,0,0,1,0,16,-1,"2015-01-02_MEM_at_LAL","MEM"
"Vince Carter",FALSE,"14:38",0,5,0,0,4,0,0,0,NA,0,2,2,4,0,0,0,1,0,-3,"2015-01-02_MEM_at_LAL","MEM"
"Jarnell Stokes",FALSE,"5:41",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,-3,"2015-01-02_MEM_at_LAL","MEM"
"Nick Calathes",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_MEM_at_LAL","MEM"
"Jordan Adams",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_MEM_at_LAL","MEM"
"Marc Gasol",TRUE,"27:20",7,15,0.467,0,0,NA,4,4,1,1,4,5,2,0,3,1,0,18,-12,"2015-01-03_MEM_at_DEN","MEM"
"Mike Conley",TRUE,"25:28",4,11,0.364,0,1,0,0,0,NA,0,2,2,5,1,0,1,2,8,-13,"2015-01-03_MEM_at_DEN","MEM"
"Courtney Lee",TRUE,"23:45",3,5,0.6,1,2,0.5,0,0,NA,0,3,3,1,1,0,3,2,7,-11,"2015-01-03_MEM_at_DEN","MEM"
"Tony Allen",TRUE,"23:00",3,6,0.5,0,0,NA,0,1,0,1,1,2,1,3,2,1,3,6,-4,"2015-01-03_MEM_at_DEN","MEM"
"Jon Leuer",TRUE,"19:47",5,8,0.625,0,1,0,0,0,NA,2,5,7,4,1,0,0,2,10,-7,"2015-01-03_MEM_at_DEN","MEM"
"Kosta Koufos",FALSE,"25:18",3,4,0.75,0,0,NA,0,0,NA,1,8,9,1,0,1,0,0,6,-23,"2015-01-03_MEM_at_DEN","MEM"
"Nick Calathes",FALSE,"22:32",2,9,0.222,0,1,0,0,0,NA,0,2,2,5,0,1,1,2,4,-16,"2015-01-03_MEM_at_DEN","MEM"
"Tayshaun Prince",FALSE,"18:37",1,7,0.143,0,2,0,0,0,NA,1,2,3,0,0,0,2,0,2,-27,"2015-01-03_MEM_at_DEN","MEM"
"Jarnell Stokes",FALSE,"16:33",2,5,0.4,0,0,NA,3,5,0.6,2,1,3,0,0,1,0,6,7,-7,"2015-01-03_MEM_at_DEN","MEM"
"Quincy Pondexter",FALSE,"15:53",0,2,0,0,2,0,0,0,NA,0,0,0,1,0,0,0,2,0,-5,"2015-01-03_MEM_at_DEN","MEM"
"Vince Carter",FALSE,"15:24",2,8,0.25,0,4,0,1,1,1,0,0,0,0,0,0,2,1,5,-22,"2015-01-03_MEM_at_DEN","MEM"
"Jordan Adams",FALSE,"6:23",5,6,0.833,1,1,1,1,2,0.5,0,1,1,0,0,0,1,0,12,2,"2015-01-03_MEM_at_DEN","MEM"
"Beno Udrih",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-03_MEM_at_DEN","MEM"
"Marc Gasol",TRUE,"28:02",5,12,0.417,0,0,NA,4,5,0.8,1,7,8,4,1,2,4,1,14,26,"2015-01-05_NYK_at_MEM","MEM"
"Mike Conley",TRUE,"27:02",9,12,0.75,2,3,0.667,2,2,1,2,5,7,7,2,0,1,0,22,26,"2015-01-05_NYK_at_MEM","MEM"
"Courtney Lee",TRUE,"26:17",5,8,0.625,1,3,0.333,0,0,NA,0,2,2,1,0,0,1,0,11,23,"2015-01-05_NYK_at_MEM","MEM"
"Tony Allen",TRUE,"25:28",6,8,0.75,1,1,1,1,1,1,0,2,2,1,7,1,1,1,14,20,"2015-01-05_NYK_at_MEM","MEM"
"Jarnell Stokes",TRUE,"16:50",1,4,0.25,0,0,NA,1,2,0.5,1,0,1,0,0,0,2,4,3,2,"2015-01-05_NYK_at_MEM","MEM"
"Tayshaun Prince",FALSE,"23:06",4,7,0.571,0,0,NA,0,0,NA,0,4,4,4,2,0,1,1,8,21,"2015-01-05_NYK_at_MEM","MEM"
"Quincy Pondexter",FALSE,"20:59",4,5,0.8,0,1,0,0,0,NA,2,3,5,1,0,0,2,3,8,-2,"2015-01-05_NYK_at_MEM","MEM"
"Beno Udrih",FALSE,"15:28",2,7,0.286,1,3,0.333,2,3,0.667,0,1,1,3,1,0,1,0,7,-3,"2015-01-05_NYK_at_MEM","MEM"
"Jon Leuer",FALSE,"14:58",1,3,0.333,0,0,NA,1,2,0.5,1,6,7,3,0,0,3,0,3,-1,"2015-01-05_NYK_at_MEM","MEM"
"Kosta Koufos",FALSE,"14:28",2,5,0.4,0,0,NA,0,0,NA,1,4,5,0,0,0,1,1,4,-3,"2015-01-05_NYK_at_MEM","MEM"
"Vince Carter",FALSE,"12:00",2,4,0.5,2,2,1,0,0,NA,0,0,0,0,0,1,0,1,6,4,"2015-01-05_NYK_at_MEM","MEM"
"Jordan Adams",FALSE,"9:52",0,5,0,0,2,0,1,4,0.25,1,0,1,1,1,0,0,1,1,-2,"2015-01-05_NYK_at_MEM","MEM"
"Nick Calathes",FALSE,"5:30",2,2,1,0,0,NA,0,0,NA,2,0,2,0,0,1,0,2,4,-1,"2015-01-05_NYK_at_MEM","MEM"
"Mike Conley",TRUE,"34:17",7,15,0.467,2,5,0.4,1,1,1,2,7,9,6,3,0,5,3,17,-17,"2015-01-07_MEM_at_ATL","MEM"
"Marc Gasol",TRUE,"32:47",6,12,0.5,0,0,NA,4,4,1,1,6,7,3,2,2,3,5,16,-15,"2015-01-07_MEM_at_ATL","MEM"
"Courtney Lee",TRUE,"27:38",3,9,0.333,1,3,0.333,2,2,1,1,0,1,3,1,0,4,0,9,-12,"2015-01-07_MEM_at_ATL","MEM"
"Tony Allen",TRUE,"20:34",4,8,0.5,0,0,NA,0,0,NA,2,2,4,1,1,0,2,1,8,2,"2015-01-07_MEM_at_ATL","MEM"
"Jarnell Stokes",TRUE,"4:27",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,1,"2015-01-07_MEM_at_ATL","MEM"
"Tayshaun Prince",FALSE,"30:53",5,11,0.455,0,1,0,2,2,1,0,2,2,1,1,1,1,0,12,-4,"2015-01-07_MEM_at_ATL","MEM"
"Vince Carter",FALSE,"20:44",2,5,0.4,1,4,0.25,0,0,NA,0,1,1,1,0,1,2,1,5,-4,"2015-01-07_MEM_at_ATL","MEM"
"Beno Udrih",FALSE,"18:27",1,4,0.25,0,0,NA,2,2,1,0,3,3,2,2,0,2,2,4,4,"2015-01-07_MEM_at_ATL","MEM"
"Kosta Koufos",FALSE,"17:37",2,3,0.667,0,0,NA,0,0,NA,1,6,7,0,0,0,1,3,4,4,"2015-01-07_MEM_at_ATL","MEM"
"Nick Calathes",FALSE,"13:01",3,7,0.429,1,4,0.25,0,0,NA,0,1,1,2,0,0,0,1,7,2,"2015-01-07_MEM_at_ATL","MEM"
"Jon Leuer",FALSE,"10:16",2,4,0.5,0,0,NA,0,0,NA,0,2,2,1,0,0,1,5,4,-6,"2015-01-07_MEM_at_ATL","MEM"
"Quincy Pondexter",FALSE,"9:19",0,1,0,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,0,-5,"2015-01-07_MEM_at_ATL","MEM"
"Jordan Adams",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-07_MEM_at_ATL","MEM"
"Mike Conley",TRUE,"32:43",7,18,0.389,2,6,0.333,3,3,1,1,4,5,7,1,0,2,2,19,-8,"2015-01-09_MEM_at_NOP","MEM"
"Tony Allen",TRUE,"31:41",3,8,0.375,1,2,0.5,2,2,1,1,2,3,1,3,1,1,2,9,-1,"2015-01-09_MEM_at_NOP","MEM"
"Zach Randolph",TRUE,"30:53",4,9,0.444,0,0,NA,3,4,0.75,7,4,11,2,2,0,2,1,11,-9,"2015-01-09_MEM_at_NOP","MEM"
"Marc Gasol",TRUE,"28:52",8,13,0.615,0,0,NA,3,6,0.5,1,3,4,0,0,0,2,4,19,-15,"2015-01-09_MEM_at_NOP","MEM"
"Courtney Lee",TRUE,"27:41",2,7,0.286,0,1,0,0,0,NA,1,3,4,1,0,0,1,2,4,-13,"2015-01-09_MEM_at_NOP","MEM"
"Tayshaun Prince",FALSE,"24:37",2,7,0.286,2,2,1,0,0,NA,0,3,3,2,0,0,1,4,6,-10,"2015-01-09_MEM_at_NOP","MEM"
"Kosta Koufos",FALSE,"19:08",3,4,0.75,0,0,NA,3,3,1,1,6,7,1,1,2,1,1,9,4,"2015-01-09_MEM_at_NOP","MEM"
"Vince Carter",FALSE,"18:29",3,9,0.333,0,4,0,3,4,0.75,0,2,2,0,0,0,0,1,9,0,"2015-01-09_MEM_at_NOP","MEM"
"Beno Udrih",FALSE,"15:17",4,7,0.571,1,2,0.5,0,0,NA,0,1,1,1,0,0,0,1,9,-3,"2015-01-09_MEM_at_NOP","MEM"
"Jon Leuer",FALSE,"8:29",0,0,NA,0,0,NA,0,0,NA,1,3,4,1,0,1,0,0,0,0,"2015-01-09_MEM_at_NOP","MEM"
"Nick Calathes",FALSE,"2:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0,"2015-01-09_MEM_at_NOP","MEM"
"Jarnell Stokes",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_MEM_at_NOP","MEM"
