"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Serge Ibaka",TRUE,"31:49",6,10,0.6,1,4,0.25,0,0,NA,2,4,6,1,1,0,1,3,13,8,"2015-01-02_WAS_at_OKC","OKC"
"Kevin Durant",TRUE,"31:19",12,18,0.667,4,7,0.571,6,7,0.857,0,8,8,2,0,1,2,3,34,5,"2015-01-02_WAS_at_OKC","OKC"
"Russell Westbrook",TRUE,"29:58",8,23,0.348,0,3,0,6,7,0.857,0,3,3,6,2,0,2,5,22,-8,"2015-01-02_WAS_at_OKC","OKC"
"Andre Roberson",TRUE,"22:17",0,0,NA,0,0,NA,0,2,0,1,3,4,0,0,1,1,1,0,-12,"2015-01-02_WAS_at_OKC","OKC"
"Steven Adams",TRUE,"18:48",0,1,0,0,0,NA,0,0,NA,0,5,5,2,0,0,1,2,0,1,"2015-01-02_WAS_at_OKC","OKC"
"Reggie Jackson",FALSE,"28:06",4,10,0.4,1,2,0.5,0,0,NA,0,1,1,8,2,0,1,1,9,18,"2015-01-02_WAS_at_OKC","OKC"
"Kendrick Perkins",FALSE,"27:22",3,6,0.5,0,0,NA,0,1,0,1,3,4,1,1,1,1,4,6,9,"2015-01-02_WAS_at_OKC","OKC"
"Anthony Morrow",FALSE,"20:24",3,5,0.6,2,3,0.667,0,0,NA,0,0,0,0,0,0,1,1,8,12,"2015-01-02_WAS_at_OKC","OKC"
"Nick Collison",FALSE,"16:05",5,7,0.714,0,0,NA,0,0,NA,2,3,5,1,1,1,0,0,10,-1,"2015-01-02_WAS_at_OKC","OKC"
"Perry Jones",FALSE,"13:34",3,3,1,0,0,NA,1,2,0.5,0,1,1,0,1,0,0,0,7,3,"2015-01-02_WAS_at_OKC","OKC"
"Ish Smith",FALSE,"0:06",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,"2015-01-02_WAS_at_OKC","OKC"
"Jeremy Lamb",FALSE,"0:06",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"2015-01-02_WAS_at_OKC","OKC"
"Grant Jerrett",FALSE,"0:06",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"2015-01-02_WAS_at_OKC","OKC"
"Kevin Durant",TRUE,"31:50",3,16,0.188,1,4,0.25,7,11,0.636,0,10,10,3,2,0,2,2,14,-13,"2015-01-05_OKC_at_GSW","OKC"
"Serge Ibaka",TRUE,"30:52",2,7,0.286,0,2,0,0,0,NA,2,3,5,1,1,2,2,3,4,-8,"2015-01-05_OKC_at_GSW","OKC"
"Russell Westbrook",TRUE,"29:27",5,21,0.238,1,5,0.2,11,14,0.786,4,3,7,5,1,0,2,2,22,-13,"2015-01-05_OKC_at_GSW","OKC"
"Steven Adams",TRUE,"20:41",4,6,0.667,0,0,NA,2,2,1,2,7,9,1,1,1,0,2,10,-10,"2015-01-05_OKC_at_GSW","OKC"
"Andre Roberson",TRUE,"20:19",2,5,0.4,0,3,0,0,0,NA,1,2,3,3,1,0,2,4,4,-2,"2015-01-05_OKC_at_GSW","OKC"
"Anthony Morrow",FALSE,"29:11",6,11,0.545,1,2,0.5,4,4,1,6,4,10,2,1,0,1,3,17,-23,"2015-01-05_OKC_at_GSW","OKC"
"Perry Jones",FALSE,"24:18",0,3,0,0,2,0,0,0,NA,1,2,3,0,1,0,0,2,0,-22,"2015-01-05_OKC_at_GSW","OKC"
"Reggie Jackson",FALSE,"21:19",3,9,0.333,2,4,0.5,0,0,NA,0,3,3,1,1,0,0,4,8,-11,"2015-01-05_OKC_at_GSW","OKC"
"Ish Smith",FALSE,"10:50",0,4,0,0,0,NA,0,0,NA,0,0,0,1,1,0,1,1,0,-11,"2015-01-05_OKC_at_GSW","OKC"
"Kendrick Perkins",FALSE,"8:04",2,5,0.4,0,1,0,2,3,0.667,3,3,6,0,0,1,0,0,6,-6,"2015-01-05_OKC_at_GSW","OKC"
"Grant Jerrett",FALSE,"6:49",2,6,0.333,0,2,0,0,0,NA,0,1,1,0,0,1,1,2,4,-7,"2015-01-05_OKC_at_GSW","OKC"
"Jeremy Lamb",FALSE,"6:20",1,5,0.2,0,3,0,0,0,NA,1,1,2,2,0,0,0,0,2,-4,"2015-01-05_OKC_at_GSW","OKC"
"Nick Collison",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-05_OKC_at_GSW","OKC"
"Serge Ibaka",TRUE,"32:39",5,10,0.5,1,2,0.5,0,0,NA,3,7,10,1,0,8,1,4,11,-8,"2015-01-07_OKC_at_SAC","OKC"
"Kevin Durant",TRUE,"32:34",8,20,0.4,3,7,0.429,5,7,0.714,1,8,9,0,1,1,4,3,24,-17,"2015-01-07_OKC_at_SAC","OKC"
"Russell Westbrook",TRUE,"27:27",3,19,0.158,0,5,0,4,5,0.8,3,4,7,4,1,0,7,4,10,-23,"2015-01-07_OKC_at_SAC","OKC"
"Steven Adams",TRUE,"14:39",1,2,0.5,0,0,NA,1,2,0.5,4,1,5,1,0,1,1,3,3,-8,"2015-01-07_OKC_at_SAC","OKC"
"Andre Roberson",TRUE,"8:21",0,0,NA,0,0,NA,1,2,0.5,0,1,1,0,0,0,1,0,1,-13,"2015-01-07_OKC_at_SAC","OKC"
"Anthony Morrow",FALSE,"26:02",3,12,0.25,1,6,0.167,1,1,1,1,1,2,0,0,0,0,0,8,-12,"2015-01-07_OKC_at_SAC","OKC"
"Dion Waiters",FALSE,"22:19",1,9,0.111,0,3,0,2,2,1,0,2,2,1,1,1,0,0,4,2,"2015-01-07_OKC_at_SAC","OKC"
"Reggie Jackson",FALSE,"21:49",6,11,0.545,2,4,0.5,0,0,NA,2,3,5,4,0,0,2,0,14,5,"2015-01-07_OKC_at_SAC","OKC"
"Nick Collison",FALSE,"17:26",0,2,0,0,0,NA,2,2,1,1,2,3,3,0,0,5,5,2,-15,"2015-01-07_OKC_at_SAC","OKC"
"Perry Jones",FALSE,"16:11",1,3,0.333,1,2,0.5,0,0,NA,0,2,2,0,2,0,0,1,3,-6,"2015-01-07_OKC_at_SAC","OKC"
"Kendrick Perkins",FALSE,"13:03",0,0,NA,0,0,NA,0,2,0,0,7,7,2,2,1,2,5,0,-6,"2015-01-07_OKC_at_SAC","OKC"
"Jeremy Lamb",FALSE,"3:45",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,-2,"2015-01-07_OKC_at_SAC","OKC"
"Ish Smith",FALSE,"3:45",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,1,1,0,0,-2,"2015-01-07_OKC_at_SAC","OKC"
"Russell Westbrook",TRUE,"37:30",9,17,0.529,1,1,1,6,6,1,1,3,4,12,3,0,3,3,25,22,"2015-01-09_UTA_at_OKC","OKC"
"Kevin Durant",TRUE,"36:05",14,21,0.667,2,7,0.286,2,2,1,1,4,5,6,1,1,2,2,32,23,"2015-01-09_UTA_at_OKC","OKC"
"Serge Ibaka",TRUE,"32:22",5,14,0.357,2,3,0.667,0,0,NA,1,6,7,0,2,1,0,3,12,20,"2015-01-09_UTA_at_OKC","OKC"
"Steven Adams",TRUE,"22:21",1,3,0.333,0,0,NA,0,0,NA,2,2,4,0,0,1,2,2,2,10,"2015-01-09_UTA_at_OKC","OKC"
"Andre Roberson",TRUE,"14:20",1,4,0.25,0,1,0,0,0,NA,1,1,2,1,2,0,0,1,2,1,"2015-01-09_UTA_at_OKC","OKC"
"Dion Waiters",FALSE,"26:40",7,14,0.5,1,4,0.25,0,1,0,2,1,3,1,4,0,2,2,15,-2,"2015-01-09_UTA_at_OKC","OKC"
"Kendrick Perkins",FALSE,"25:16",2,4,0.5,0,0,NA,0,0,NA,1,6,7,1,0,1,3,2,4,-6,"2015-01-09_UTA_at_OKC","OKC"
"Anthony Morrow",FALSE,"16:11",1,6,0.167,0,3,0,0,0,NA,0,1,1,2,0,0,1,1,2,-14,"2015-01-09_UTA_at_OKC","OKC"
"Reggie Jackson",FALSE,"15:26",2,6,0.333,1,1,1,0,0,NA,0,3,3,0,0,0,1,0,5,-15,"2015-01-09_UTA_at_OKC","OKC"
"Nick Collison",FALSE,"13:49",0,2,0,0,1,0,0,0,NA,0,2,2,2,0,1,0,2,0,-14,"2015-01-09_UTA_at_OKC","OKC"
"Jeremy Lamb",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_UTA_at_OKC","OKC"
"Perry Jones",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_UTA_at_OKC","OKC"
"Ish Smith",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_UTA_at_OKC","OKC"
"Kevin Durant",TRUE,"40:11",8,12,0.667,4,6,0.667,4,4,1,3,7,10,1,0,3,4,1,24,-11,"2015-01-15_OKC_at_HOU","OKC"
"Russell Westbrook",TRUE,"37:47",6,13,0.462,1,3,0.333,3,4,0.75,3,5,8,8,5,0,8,5,16,-11,"2015-01-15_OKC_at_HOU","OKC"
"Serge Ibaka",TRUE,"32:46",4,11,0.364,2,4,0.5,3,3,1,0,7,7,3,0,1,0,2,13,-16,"2015-01-15_OKC_at_HOU","OKC"
"Steven Adams",TRUE,"15:00",1,3,0.333,0,0,NA,3,4,0.75,2,0,2,0,1,1,0,1,5,-20,"2015-01-15_OKC_at_HOU","OKC"
"Andre Roberson",TRUE,"8:01",0,4,0,0,2,0,0,0,NA,1,2,3,0,0,1,1,1,0,-12,"2015-01-15_OKC_at_HOU","OKC"
"Dion Waiters",FALSE,"31:28",6,16,0.375,2,5,0.4,2,4,0.5,0,1,1,2,0,2,0,4,16,-7,"2015-01-15_OKC_at_HOU","OKC"
"Reggie Jackson",FALSE,"25:15",7,12,0.583,1,3,0.333,1,3,0.333,0,6,6,6,1,1,1,1,16,0,"2015-01-15_OKC_at_HOU","OKC"
"Kendrick Perkins",FALSE,"19:35",2,4,0.5,0,0,NA,2,3,0.667,1,2,3,2,1,0,2,2,6,0,"2015-01-15_OKC_at_HOU","OKC"
"Anthony Morrow",FALSE,"18:11",0,3,0,0,3,0,2,3,0.667,0,0,0,0,0,0,0,1,2,8,"2015-01-15_OKC_at_HOU","OKC"
