"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Elfrid Payton",TRUE,"35:48",6,13,0.462,1,1,1,3,5,0.6,4,5,9,10,3,1,2,3,16,12,"2015-01-02_BRK_at_ORL","ORL"
"Tobias Harris",TRUE,"31:13",4,10,0.4,2,3,0.667,2,2,1,0,3,3,0,3,1,1,1,12,-21,"2015-01-02_BRK_at_ORL","ORL"
"Victor Oladipo",TRUE,"29:26",7,13,0.538,2,2,1,1,1,1,0,3,3,3,2,0,2,2,17,-21,"2015-01-02_BRK_at_ORL","ORL"
"Nikola Vucevic",TRUE,"27:36",4,10,0.4,0,0,NA,2,4,0.5,2,2,4,2,1,0,1,1,10,-12,"2015-01-02_BRK_at_ORL","ORL"
"Kyle O'Quinn",TRUE,"16:56",2,7,0.286,0,1,0,0,0,NA,1,3,4,1,0,0,2,1,4,-2,"2015-01-02_BRK_at_ORL","ORL"
"Evan Fournier",FALSE,"28:26",4,11,0.364,2,5,0.4,2,4,0.5,0,1,1,4,0,0,2,1,12,5,"2015-01-02_BRK_at_ORL","ORL"
"Channing Frye",FALSE,"25:13",4,8,0.5,3,6,0.5,0,0,NA,0,4,4,0,2,0,0,3,11,5,"2015-01-02_BRK_at_ORL","ORL"
"Devyn Marble",FALSE,"20:35",1,4,0.25,0,1,0,0,0,NA,0,4,4,1,1,0,0,1,2,15,"2015-01-02_BRK_at_ORL","ORL"
"Ben Gordon",FALSE,"19:29",5,9,0.556,1,3,0.333,3,4,0.75,0,4,4,0,1,0,1,4,14,13,"2015-01-02_BRK_at_ORL","ORL"
"Dewayne Dedmon",FALSE,"5:18",0,3,0,0,0,NA,0,0,NA,1,0,1,1,0,1,0,1,0,-4,"2015-01-02_BRK_at_ORL","ORL"
"Andrew Nicholson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_BRK_at_ORL","ORL"
"Willie Green",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_BRK_at_ORL","ORL"
"Luke Ridnour",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_BRK_at_ORL","ORL"
"Tobias Harris",TRUE,"39:57",8,15,0.533,0,2,0,2,3,0.667,5,6,11,0,1,1,1,4,18,-3,"2015-01-03_CHO_at_ORL","ORL"
"Nikola Vucevic",TRUE,"35:23",8,16,0.5,0,0,NA,4,4,1,2,8,10,2,1,2,0,5,20,3,"2015-01-03_CHO_at_ORL","ORL"
"Elfrid Payton",TRUE,"35:01",3,9,0.333,0,0,NA,1,1,1,1,2,3,7,2,0,1,0,7,-10,"2015-01-03_CHO_at_ORL","ORL"
"Victor Oladipo",TRUE,"32:22",6,14,0.429,1,4,0.25,8,8,1,0,4,4,5,4,0,1,3,21,7,"2015-01-03_CHO_at_ORL","ORL"
"Kyle O'Quinn",TRUE,"20:20",1,6,0.167,1,1,1,0,0,NA,0,2,2,0,0,0,1,3,3,-20,"2015-01-03_CHO_at_ORL","ORL"
"Evan Fournier",FALSE,"28:20",4,15,0.267,1,7,0.143,0,0,NA,1,4,5,1,1,0,2,4,9,-2,"2015-01-03_CHO_at_ORL","ORL"
"Luke Ridnour",FALSE,"12:59",1,5,0.2,0,1,0,2,2,1,1,1,2,3,0,0,0,0,4,2,"2015-01-03_CHO_at_ORL","ORL"
"Channing Frye",FALSE,"12:40",0,2,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,2,0,-6,"2015-01-03_CHO_at_ORL","ORL"
"Ben Gordon",FALSE,"11:18",1,3,0.333,1,2,0.5,2,2,1,0,1,1,0,0,0,0,1,5,1,"2015-01-03_CHO_at_ORL","ORL"
"Devyn Marble",FALSE,"6:42",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,0,-11,"2015-01-03_CHO_at_ORL","ORL"
"Dewayne Dedmon",FALSE,"4:58",1,2,0.5,0,0,NA,1,1,1,2,2,4,0,0,0,0,2,3,-1,"2015-01-03_CHO_at_ORL","ORL"
"Andrew Nicholson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-03_CHO_at_ORL","ORL"
"Willie Green",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-03_CHO_at_ORL","ORL"
"Victor Oladipo",TRUE,"35:46",7,13,0.538,0,1,0,3,4,0.75,0,1,1,6,3,0,0,2,17,-1,"2015-01-07_ORL_at_DEN","ORL"
"Nikola Vucevic",TRUE,"34:04",8,18,0.444,0,0,NA,4,6,0.667,3,8,11,2,1,0,1,5,20,1,"2015-01-07_ORL_at_DEN","ORL"
"Tobias Harris",TRUE,"32:32",5,13,0.385,2,3,0.667,0,1,0,1,5,6,1,1,2,4,2,12,7,"2015-01-07_ORL_at_DEN","ORL"
"Elfrid Payton",TRUE,"30:34",1,6,0.167,0,0,NA,0,0,NA,1,7,8,6,3,0,1,3,2,4,"2015-01-07_ORL_at_DEN","ORL"
"Kyle O'Quinn",TRUE,"15:06",2,5,0.4,0,1,0,1,1,1,0,3,3,1,1,0,2,2,5,-2,"2015-01-07_ORL_at_DEN","ORL"
"Andrew Nicholson",FALSE,"20:38",4,10,0.4,3,4,0.75,0,0,NA,2,2,4,1,1,0,0,0,11,12,"2015-01-07_ORL_at_DEN","ORL"
"Channing Frye",FALSE,"19:25",0,5,0,0,4,0,0,0,NA,0,1,1,1,0,0,1,3,0,-13,"2015-01-07_ORL_at_DEN","ORL"
"Evan Fournier",FALSE,"18:28",4,8,0.5,2,5,0.4,4,4,1,2,1,3,1,0,0,2,2,14,-6,"2015-01-07_ORL_at_DEN","ORL"
"Luke Ridnour",FALSE,"14:44",1,3,0.333,1,1,1,0,0,NA,0,2,2,0,0,0,2,2,3,-3,"2015-01-07_ORL_at_DEN","ORL"
"Ben Gordon",FALSE,"13:46",2,6,0.333,0,3,0,0,0,NA,0,1,1,2,1,0,1,2,4,-10,"2015-01-07_ORL_at_DEN","ORL"
"Dewayne Dedmon",FALSE,"4:57",1,1,1,0,0,NA,0,0,NA,1,1,2,0,0,0,0,1,2,-4,"2015-01-07_ORL_at_DEN","ORL"
"Devyn Marble",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-07_ORL_at_DEN","ORL"
"Willie Green",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-07_ORL_at_DEN","ORL"
"Tobias Harris",TRUE,"35:24",6,16,0.375,1,3,0.333,2,2,1,0,4,4,3,1,1,2,1,15,-13,"2015-01-09_ORL_at_LAL","ORL"
"Victor Oladipo",TRUE,"34:33",5,10,0.5,0,0,NA,7,10,0.7,1,1,2,3,2,0,3,3,17,-15,"2015-01-09_ORL_at_LAL","ORL"
"Nikola Vucevic",TRUE,"27:45",6,12,0.5,0,0,NA,2,2,1,2,9,11,1,1,0,1,2,14,-18,"2015-01-09_ORL_at_LAL","ORL"
"Kyle O'Quinn",TRUE,"27:45",0,4,0,0,1,0,0,0,NA,0,7,7,3,1,2,1,3,0,-9,"2015-01-09_ORL_at_LAL","ORL"
"Elfrid Payton",TRUE,"21:26",1,4,0.25,0,0,NA,0,0,NA,0,2,2,2,1,2,1,3,2,-15,"2015-01-09_ORL_at_LAL","ORL"
"Luke Ridnour",FALSE,"25:14",5,10,0.5,2,3,0.667,0,0,NA,0,1,1,1,0,0,2,4,12,-5,"2015-01-09_ORL_at_LAL","ORL"
"Evan Fournier",FALSE,"18:50",3,7,0.429,0,1,0,5,5,1,0,0,0,2,0,0,0,1,11,-2,"2015-01-09_ORL_at_LAL","ORL"
"Channing Frye",FALSE,"18:08",2,4,0.5,2,3,0.667,0,0,NA,0,2,2,3,1,0,2,4,6,-9,"2015-01-09_ORL_at_LAL","ORL"
"Andrew Nicholson",FALSE,"17:21",2,6,0.333,1,3,0.333,0,2,0,0,2,2,0,0,2,1,5,5,4,"2015-01-09_ORL_at_LAL","ORL"
"Dewayne Dedmon",FALSE,"5:01",0,1,0,0,0,NA,0,0,NA,1,1,2,0,1,0,0,0,0,-2,"2015-01-09_ORL_at_LAL","ORL"
"Ben Gordon",FALSE,"4:26",0,1,0,0,0,NA,2,2,1,0,1,1,0,0,0,2,1,2,-1,"2015-01-09_ORL_at_LAL","ORL"
"Devyn Marble",FALSE,"4:07",0,1,0,0,0,NA,0,0,NA,0,2,2,1,0,0,0,0,0,0,"2015-01-09_ORL_at_LAL","ORL"
"Willie Green",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_ORL_at_LAL","ORL"
"Victor Oladipo",TRUE,"37:41",6,21,0.286,0,6,0,6,8,0.75,3,5,8,4,1,0,4,0,18,-6,"2015-01-10_ORL_at_POR","ORL"
"Nikola Vucevic",TRUE,"36:05",15,23,0.652,0,0,NA,4,6,0.667,8,8,16,2,0,0,5,4,34,-3,"2015-01-10_ORL_at_POR","ORL"
"Elfrid Payton",TRUE,"32:04",4,10,0.4,0,0,NA,1,2,0.5,3,2,5,4,0,0,1,3,9,-11,"2015-01-10_ORL_at_POR","ORL"
"Channing Frye",TRUE,"31:39",1,10,0.1,1,8,0.125,0,0,NA,0,8,8,3,2,0,1,1,3,-8,"2015-01-10_ORL_at_POR","ORL"
