"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Goran Dragic",TRUE,"35:27",3,13,0.231,1,6,0.167,3,5,0.6,2,8,10,4,3,1,3,3,10,19,"2015-01-02_PHI_at_PHO","PHO"
"Eric Bledsoe",TRUE,"30:34",6,14,0.429,3,5,0.6,2,2,1,1,4,5,8,1,0,0,1,17,9,"2015-01-02_PHI_at_PHO","PHO"
"P.J. Tucker",TRUE,"24:27",2,3,0.667,1,2,0.5,2,2,1,0,2,2,0,0,0,2,0,7,3,"2015-01-02_PHI_at_PHO","PHO"
"Markieff Morris",TRUE,"21:42",7,12,0.583,3,4,0.75,4,4,1,1,2,3,1,2,1,1,4,21,17,"2015-01-02_PHI_at_PHO","PHO"
"Alex Len",TRUE,"16:27",0,1,0,0,0,NA,0,0,NA,2,3,5,0,0,6,4,3,0,3,"2015-01-02_PHI_at_PHO","PHO"
"Marcus Morris",FALSE,"24:36",4,8,0.5,1,3,0.333,0,0,NA,2,3,5,3,0,0,3,2,9,3,"2015-01-02_PHI_at_PHO","PHO"
"Miles Plumlee",FALSE,"23:32",4,4,1,0,0,NA,0,0,NA,3,3,6,0,2,4,1,4,8,11,"2015-01-02_PHI_at_PHO","PHO"
"Isaiah Thomas",FALSE,"23:11",4,6,0.667,2,3,0.667,2,2,1,0,6,6,5,0,0,1,4,12,13,"2015-01-02_PHI_at_PHO","PHO"
"Gerald Green",FALSE,"21:59",9,15,0.6,3,7,0.429,0,0,NA,1,3,4,2,1,0,2,1,21,-1,"2015-01-02_PHI_at_PHO","PHO"
"T.J. Warren",FALSE,"11:04",2,4,0.5,0,1,0,0,0,NA,1,0,1,0,0,0,1,0,4,1,"2015-01-02_PHI_at_PHO","PHO"
"Zoran Dragic",FALSE,"2:41",1,3,0.333,0,1,0,1,1,1,0,1,1,1,0,0,0,1,3,2,"2015-01-02_PHI_at_PHO","PHO"
"Archie Goodwin",FALSE,"2:10",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,0,"2015-01-02_PHI_at_PHO","PHO"
"Shavlik Randolph",FALSE,"2:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,0,"2015-01-02_PHI_at_PHO","PHO"
"Eric Bledsoe",TRUE,"29:42",7,12,0.583,1,2,0.5,5,7,0.714,0,2,2,8,3,0,1,2,20,14,"2015-01-04_TOR_at_PHO","PHO"
