"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Darren Collison",TRUE,"39:16",8,15,0.533,1,2,0.5,4,4,1,0,4,4,6,0,0,2,0,21,15,"2015-01-01_SAC_at_MIN","SAC"
"Ben McLemore",TRUE,"37:55",6,9,0.667,1,2,0.5,1,2,0.5,1,3,4,2,0,0,2,3,14,11,"2015-01-01_SAC_at_MIN","SAC"
"Rudy Gay",TRUE,"32:37",7,12,0.583,0,0,NA,7,8,0.875,2,4,6,5,4,1,8,6,21,14,"2015-01-01_SAC_at_MIN","SAC"
"Derrick Williams",TRUE,"30:49",6,10,0.6,3,6,0.5,2,2,1,1,4,5,3,2,1,2,1,17,13,"2015-01-01_SAC_at_MIN","SAC"
"DeMarcus Cousins",TRUE,"26:44",8,14,0.571,0,0,NA,3,3,1,2,5,7,4,1,2,3,6,19,9,"2015-01-01_SAC_at_MIN","SAC"
"Carl Landry",FALSE,"27:03",1,4,0.25,0,0,NA,6,8,0.75,3,6,9,1,0,1,0,4,8,-9,"2015-01-01_SAC_at_MIN","SAC"
"Jason Thompson",FALSE,"23:43",3,3,1,0,0,NA,2,2,1,0,6,6,0,0,2,2,5,8,-11,"2015-01-01_SAC_at_MIN","SAC"
"Nik Stauskas",FALSE,"11:37",0,4,0,0,2,0,0,0,NA,0,0,0,1,0,0,1,0,0,-10,"2015-01-01_SAC_at_MIN","SAC"
"Ray McCallum",FALSE,"10:16",1,3,0.333,0,0,NA,0,0,NA,1,0,1,1,0,0,0,1,2,-17,"2015-01-01_SAC_at_MIN","SAC"
"Ryan Hollins",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-01_SAC_at_MIN","SAC"
"Reggie Evans",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-01_SAC_at_MIN","SAC"
"DeMarcus Cousins",TRUE,"40:21",5,17,0.294,0,1,0,8,11,0.727,3,12,15,4,2,1,6,3,18,-22,"2015-01-04_SAC_at_DET","SAC"
"Ben McLemore",TRUE,"39:32",2,11,0.182,0,6,0,7,7,1,0,0,0,4,1,0,1,2,11,-13,"2015-01-04_SAC_at_DET","SAC"
"Rudy Gay",TRUE,"35:56",5,16,0.313,0,3,0,2,2,1,0,5,5,3,1,0,3,1,12,-18,"2015-01-04_SAC_at_DET","SAC"
"Darren Collison",TRUE,"28:15",5,7,0.714,2,2,1,5,7,0.714,0,6,6,3,3,0,3,3,17,-10,"2015-01-04_SAC_at_DET","SAC"
"Jason Thompson",TRUE,"22:36",4,6,0.667,0,0,NA,1,1,1,0,7,7,0,0,3,0,1,9,2,"2015-01-04_SAC_at_DET","SAC"
"Derrick Williams",FALSE,"23:28",5,9,0.556,0,2,0,2,4,0.5,0,2,2,1,0,0,0,0,12,-8,"2015-01-04_SAC_at_DET","SAC"
"Ray McCallum",FALSE,"19:45",5,6,0.833,0,0,NA,0,0,NA,0,1,1,1,1,0,0,2,10,-9,"2015-01-04_SAC_at_DET","SAC"
"Nik Stauskas",FALSE,"16:09",1,2,0.5,1,1,1,0,0,NA,0,2,2,2,1,0,1,3,3,-10,"2015-01-04_SAC_at_DET","SAC"
"Carl Landry",FALSE,"13:58",0,1,0,0,0,NA,3,4,0.75,2,1,3,0,0,0,1,0,3,-7,"2015-01-04_SAC_at_DET","SAC"
"Omri Casspi",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-04_SAC_at_DET","SAC"
"Ryan Hollins",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-04_SAC_at_DET","SAC"
"Reggie Evans",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-04_SAC_at_DET","SAC"
"Darren Collison",TRUE,"38:21",9,19,0.474,5,10,0.5,1,1,1,0,1,1,7,2,0,3,1,24,25,"2015-01-07_OKC_at_SAC","SAC"
"DeMarcus Cousins",TRUE,"37:32",6,23,0.261,0,0,NA,11,13,0.846,4,11,15,4,1,3,6,2,23,18,"2015-01-07_OKC_at_SAC","SAC"
"Rudy Gay",TRUE,"35:03",9,19,0.474,3,3,1,7,8,0.875,4,5,9,1,1,0,2,3,28,27,"2015-01-07_OKC_at_SAC","SAC"
"Ben McLemore",TRUE,"34:16",5,9,0.556,1,2,0.5,0,0,NA,1,1,2,1,4,0,2,4,11,28,"2015-01-07_OKC_at_SAC","SAC"
"Jason Thompson",TRUE,"16:48",0,3,0,0,0,NA,2,4,0.5,2,6,8,1,0,1,1,3,2,20,"2015-01-07_OKC_at_SAC","SAC"
"Derrick Williams",FALSE,"26:50",1,4,0.25,1,2,0.5,1,2,0.5,1,5,6,1,1,0,1,0,4,-7,"2015-01-07_OKC_at_SAC","SAC"
"Carl Landry",FALSE,"18:35",5,6,0.833,0,0,NA,0,0,NA,0,4,4,0,0,0,0,1,10,4,"2015-01-07_OKC_at_SAC","SAC"
"Ray McCallum",FALSE,"15:20",1,5,0.2,0,1,0,0,0,NA,1,4,5,2,3,0,1,1,2,-1,"2015-01-07_OKC_at_SAC","SAC"
"Nik Stauskas",FALSE,"10:03",0,4,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,1,0,-8,"2015-01-07_OKC_at_SAC","SAC"
"Ryan Hollins",FALSE,"7:12",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,-1,"2015-01-07_OKC_at_SAC","SAC"
"Reggie Evans",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-07_OKC_at_SAC","SAC"
"Omri Casspi",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-07_OKC_at_SAC","SAC"
"DeMarcus Cousins",TRUE,"39:21",12,25,0.48,0,0,NA,8,9,0.889,6,7,13,4,3,4,7,4,32,-22,"2015-01-09_DEN_at_SAC","SAC"
"Rudy Gay",TRUE,"37:32",9,15,0.6,2,5,0.4,2,4,0.5,0,2,2,0,1,1,2,1,22,-17,"2015-01-09_DEN_at_SAC","SAC"
"Darren Collison",TRUE,"36:20",7,13,0.538,1,4,0.25,0,0,NA,0,2,2,7,1,0,1,4,15,-19,"2015-01-09_DEN_at_SAC","SAC"
"Ben McLemore",TRUE,"29:32",2,8,0.25,1,6,0.167,2,2,1,0,2,2,3,0,0,2,3,7,-4,"2015-01-09_DEN_at_SAC","SAC"
"Jason Thompson",TRUE,"27:39",3,5,0.6,0,0,NA,0,0,NA,1,3,4,1,0,0,0,2,6,-15,"2015-01-09_DEN_at_SAC","SAC"
"Nik Stauskas",FALSE,"19:48",4,6,0.667,2,4,0.5,3,3,1,0,1,1,0,0,0,0,2,13,12,"2015-01-09_DEN_at_SAC","SAC"
"Carl Landry",FALSE,"17:53",3,7,0.429,0,0,NA,0,0,NA,1,4,5,1,0,0,1,1,6,-7,"2015-01-09_DEN_at_SAC","SAC"
"Ray McCallum",FALSE,"16:32",0,4,0,0,0,NA,1,2,0.5,0,0,0,3,0,1,1,0,1,4,"2015-01-09_DEN_at_SAC","SAC"
"Derrick Williams",FALSE,"12:51",0,0,NA,0,0,NA,0,2,0,0,4,4,0,0,0,0,0,0,7,"2015-01-09_DEN_at_SAC","SAC"
"Ryan Hollins",FALSE,"2:32",2,3,0.667,0,0,NA,2,2,1,4,1,5,0,0,0,0,0,6,11,"2015-01-09_DEN_at_SAC","SAC"
"Reggie Evans",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_DEN_at_SAC","SAC"
"Omri Casspi",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_DEN_at_SAC","SAC"
"DeMarcus Cousins",TRUE,"35:05",11,23,0.478,0,0,NA,4,6,0.667,2,11,13,5,4,3,1,3,26,31,"2015-01-11_CLE_at_SAC","SAC"
"Rudy Gay",TRUE,"32:48",9,14,0.643,1,4,0.25,4,4,1,1,3,4,2,2,1,0,0,23,23,"2015-01-11_CLE_at_SAC","SAC"
"Darren Collison",TRUE,"32:42",6,10,0.6,2,3,0.667,2,2,1,0,2,2,7,0,0,0,2,16,25,"2015-01-11_CLE_at_SAC","SAC"
"Jason Thompson",TRUE,"31:40",3,8,0.375,0,0,NA,1,2,0.5,1,9,10,0,1,0,0,1,7,23,"2015-01-11_CLE_at_SAC","SAC"
"Ben McLemore",TRUE,"26:30",3,8,0.375,1,5,0.2,0,0,NA,1,3,4,3,1,0,0,1,7,27,"2015-01-11_CLE_at_SAC","SAC"
"Carl Landry",FALSE,"23:00",5,7,0.714,0,0,NA,1,1,1,1,3,4,0,0,0,0,2,11,-8,"2015-01-11_CLE_at_SAC","SAC"
"Ray McCallum",FALSE,"19:49",2,6,0.333,1,1,1,0,0,NA,0,2,2,3,0,0,2,1,5,-6,"2015-01-11_CLE_at_SAC","SAC"
"Nik Stauskas",FALSE,"16:59",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,1,1,0,-8,"2015-01-11_CLE_at_SAC","SAC"
"Derrick Williams",FALSE,"16:20",2,6,0.333,1,3,0.333,0,0,NA,0,3,3,0,0,0,0,0,5,-4,"2015-01-11_CLE_at_SAC","SAC"
"Ryan Hollins",FALSE,"5:07",1,2,0.5,0,0,NA,1,2,0.5,1,1,2,0,0,0,0,0,3,-8,"2015-01-11_CLE_at_SAC","SAC"
"Reggie Evans",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-11_CLE_at_SAC","SAC"
"Omri Casspi",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-11_CLE_at_SAC","SAC"
"Darren Collison",TRUE,"45:26",6,20,0.3,0,6,0,6,8,0.75,2,5,7,3,3,0,3,2,18,-7,"2015-01-13_DAL_at_SAC","SAC"
"DeMarcus Cousins",TRUE,"40:29",11,21,0.524,0,0,NA,10,10,1,3,13,16,9,2,1,9,6,32,4,"2015-01-13_DAL_at_SAC","SAC"
"Ben McLemore",TRUE,"38:40",2,8,0.25,0,5,0,4,4,1,0,1,1,4,0,0,3,3,8,-10,"2015-01-13_DAL_at_SAC","SAC"
"Jason Thompson",TRUE,"19:41",2,3,0.667,0,0,NA,2,4,0.5,2,5,7,1,0,1,1,4,6,-7,"2015-01-13_DAL_at_SAC","SAC"
"Rudy Gay",TRUE,"10:16",1,1,1,0,0,NA,2,2,1,0,2,2,2,0,0,0,0,4,1,"2015-01-13_DAL_at_SAC","SAC"
"Derrick Williams",FALSE,"36:16",5,12,0.417,0,2,0,2,4,0.5,1,9,10,2,2,0,1,2,12,-6,"2015-01-13_DAL_at_SAC","SAC"
"Carl Landry",FALSE,"30:51",7,10,0.7,0,0,NA,0,0,NA,2,8,10,0,0,0,0,3,14,-10,"2015-01-13_DAL_at_SAC","SAC"
"Ray McCallum",FALSE,"24:40",3,8,0.375,0,2,0,0,0,NA,2,3,5,1,0,0,2,3,6,8,"2015-01-13_DAL_at_SAC","SAC"
