"date","time","away","away_PTS","home","home_PTS","box_available","OT","notes","game_string"
"2015-01-01","8:00 pm","Denver Nuggets","101","Chicago Bulls","106",TRUE,NA,NA,"2015-01-01_DEN_at_CHI"
"2015-01-01","8:00 pm","Sacramento Kings","110","Minnesota Timberwolves","107",TRUE,NA,NA,"2015-01-01_SAC_at_MIN"
"2015-01-02","7:30 pm","Dallas Mavericks","119","Boston Celtics","101",TRUE,NA,NA,"2015-01-02_DAL_at_BOS"
"2015-01-02","7:00 pm","Cleveland Cavaliers","91","Charlotte Hornets","87",TRUE,NA,NA,"2015-01-02_CLE_at_CHO"
"2015-01-02","10:30 pm","Toronto Raptors","105","Golden State Warriors","126",TRUE,NA,NA,"2015-01-02_TOR_at_GSW"
"2015-01-02","10:30 pm","Memphis Grizzlies","109","Los Angeles Lakers","106",TRUE,NA,NA,"2015-01-02_MEM_at_LAL"
"2015-01-02","8:30 pm","Indiana Pacers","94","Milwaukee Bucks","91",TRUE,NA,NA,"2015-01-02_IND_at_MIL"
"2015-01-02","8:00 pm","Houston Rockets","83","New Orleans Pelicans","111",TRUE,NA,NA,"2015-01-02_HOU_at_NOP"
"2015-01-02","7:30 pm","Detroit Pistons","97","New York Knicks","81",TRUE,NA,NA,"2015-01-02_DET_at_NYK"
"2015-01-02","8:00 pm","Washington Wizards","102","Oklahoma City Thunder","109",TRUE,NA,NA,"2015-01-02_WAS_at_OKC"
"2015-01-02","7:00 pm","Brooklyn Nets","100","Orlando Magic","98",TRUE,NA,NA,"2015-01-02_BRK_at_ORL"
"2015-01-02","9:00 pm","Philadelphia 76ers","96","Phoenix Suns","112",TRUE,NA,NA,"2015-01-02_PHI_at_PHO"
"2015-01-02","9:00 pm","Atlanta Hawks","98","Utah Jazz","92",TRUE,NA,NA,"2015-01-02_ATL_at_UTA"
"2015-01-03","8:00 pm","Boston Celtics","104","Chicago Bulls","109",TRUE,"OT",NA,"2015-01-03_BOS_at_CHI"
