"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Paul Millsap",TRUE,"34:16",6,13,0.462,0,3,0,7,10,0.7,5,4,9,6,5,0,4,4,19,-14,"2016-01-03_ATL_at_NYK","ATL"
"Kent Bazemore",TRUE,"32:38",6,13,0.462,4,7,0.571,2,2,1,0,3,3,3,1,1,1,2,18,-9,"2016-01-03_ATL_at_NYK","ATL"
"Jeff Teague",TRUE,"29:34",3,12,0.25,0,2,0,3,3,1,0,1,1,3,1,0,2,2,9,-12,"2016-01-03_ATL_at_NYK","ATL"
"Kyle Korver",TRUE,"28:44",5,12,0.417,2,6,0.333,1,1,1,1,2,3,3,1,0,1,1,13,-13,"2016-01-03_ATL_at_NYK","ATL"
"Al Horford",TRUE,"28:39",5,8,0.625,1,3,0.333,2,2,1,0,3,3,2,0,1,1,1,13,-11,"2016-01-03_ATL_at_NYK","ATL"
"Thabo Sefolosha",FALSE,"21:39",2,4,0.5,0,1,0,0,0,NA,0,4,4,3,2,0,0,2,4,-1,"2016-01-03_ATL_at_NYK","ATL"
"Shelvin Mack",FALSE,"18:26",5,10,0.5,0,1,0,0,0,NA,1,0,1,5,1,0,3,1,10,-2,"2016-01-03_ATL_at_NYK","ATL"
"Edy Tavares",FALSE,"18:10",2,4,0.5,0,0,NA,0,2,0,1,3,4,0,0,3,1,0,4,0,"2016-01-03_ATL_at_NYK","ATL"
"Mike Scott",FALSE,"14:55",2,6,0.333,1,2,0.5,0,0,NA,0,3,3,0,0,0,1,0,5,-3,"2016-01-03_ATL_at_NYK","ATL"
"Lamar Patterson",FALSE,"9:59",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-7,"2016-01-03_ATL_at_NYK","ATL"
"Justin Holiday",FALSE,"3:00",1,1,1,0,0,NA,0,0,NA,0,1,1,1,0,0,1,0,2,2,"2016-01-03_ATL_at_NYK","ATL"
"Dennis Schroder",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-03_ATL_at_NYK","ATL"
"Mike Muscala",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-03_ATL_at_NYK","ATL"
"Paul Millsap",TRUE,"36:12",6,17,0.353,2,6,0.333,5,5,1,4,3,7,2,1,0,4,4,19,-3,"2016-01-05_NYK_at_ATL","ATL"
"Al Horford",TRUE,"33:15",6,13,0.462,1,3,0.333,0,2,0,6,4,10,8,0,2,0,3,13,-4,"2016-01-05_NYK_at_ATL","ATL"
"Kyle Korver",TRUE,"33:05",4,14,0.286,2,9,0.222,2,3,0.667,1,2,3,1,0,0,1,3,12,-5,"2016-01-05_NYK_at_ATL","ATL"
"Kent Bazemore",TRUE,"28:30",6,11,0.545,3,6,0.5,0,0,NA,0,5,5,1,1,0,1,4,15,-9,"2016-01-05_NYK_at_ATL","ATL"
"Jeff Teague",TRUE,"22:49",5,9,0.556,3,4,0.75,3,3,1,0,1,1,0,1,0,4,0,16,-6,"2016-01-05_NYK_at_ATL","ATL"
"Dennis Schroder",FALSE,"25:11",3,8,0.375,0,2,0,1,3,0.333,0,4,4,8,0,0,3,1,7,0,"2016-01-05_NYK_at_ATL","ATL"
"Thabo Sefolosha",FALSE,"22:22",2,5,0.4,1,3,0.333,0,1,0,1,4,5,1,0,0,0,3,5,-10,"2016-01-05_NYK_at_ATL","ATL"
"Mike Scott",FALSE,"13:36",2,4,0.5,2,3,0.667,0,0,NA,0,2,2,0,0,0,0,3,6,1,"2016-01-05_NYK_at_ATL","ATL"
"Edy Tavares",FALSE,"12:57",2,3,0.667,0,0,NA,1,2,0.5,1,2,3,0,0,2,0,2,5,-6,"2016-01-05_NYK_at_ATL","ATL"
"Tim Hardaway",FALSE,"12:03",1,3,0.333,1,3,0.333,0,0,NA,1,0,1,1,0,0,0,1,3,12,"2016-01-05_NYK_at_ATL","ATL"
"Shelvin Mack",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-05_NYK_at_ATL","ATL"
"Lamar Patterson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-05_NYK_at_ATL","ATL"
"Mike Muscala",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-05_NYK_at_ATL","ATL"
"Paul Millsap",TRUE,"24:54",7,11,0.636,0,1,0,4,4,1,2,4,6,4,2,0,1,2,18,5,"2016-01-07_ATL_at_PHI","ATL"
"Kent Bazemore",TRUE,"24:53",8,15,0.533,3,8,0.375,3,3,1,0,6,6,4,2,1,3,3,22,17,"2016-01-07_ATL_at_PHI","ATL"
"Al Horford",TRUE,"24:28",7,12,0.583,1,2,0.5,3,3,1,5,4,9,3,3,3,0,2,18,31,"2016-01-07_ATL_at_PHI","ATL"
"Jeff Teague",TRUE,"21:44",3,7,0.429,1,1,1,0,0,NA,0,1,1,4,1,0,3,1,7,-3,"2016-01-07_ATL_at_PHI","ATL"
"Kyle Korver",TRUE,"20:49",2,5,0.4,1,3,0.333,0,0,NA,0,4,4,2,2,0,1,1,5,-2,"2016-01-07_ATL_at_PHI","ATL"
"Mike Scott",FALSE,"23:06",5,11,0.455,1,5,0.2,0,2,0,0,3,3,2,0,1,0,0,11,23,"2016-01-07_ATL_at_PHI","ATL"
"Thabo Sefolosha",FALSE,"22:21",3,4,0.75,0,1,0,0,1,0,0,5,5,4,3,1,0,1,6,25,"2016-01-07_ATL_at_PHI","ATL"
"Dennis Schroder",FALSE,"18:55",5,7,0.714,2,3,0.667,2,2,1,1,3,4,6,2,0,4,4,14,33,"2016-01-07_ATL_at_PHI","ATL"
"Tim Hardaway",FALSE,"18:43",3,6,0.5,2,3,0.667,0,0,NA,0,2,2,3,1,0,1,1,8,18,"2016-01-07_ATL_at_PHI","ATL"
"Tiago Splitter",FALSE,"14:18",1,4,0.25,0,0,NA,2,2,1,4,0,4,0,1,0,0,4,4,-1,"2016-01-07_ATL_at_PHI","ATL"
"Mike Muscala",FALSE,"9:14",2,3,0.667,0,0,NA,0,0,NA,2,1,3,1,0,0,2,3,4,-2,"2016-01-07_ATL_at_PHI","ATL"
"Justin Holiday",FALSE,"9:14",0,2,0,0,2,0,1,2,0.5,0,0,0,1,1,0,1,0,1,-2,"2016-01-07_ATL_at_PHI","ATL"
"Shelvin Mack",FALSE,"7:21",3,5,0.6,2,3,0.667,0,0,NA,0,1,1,2,0,0,0,1,8,-2,"2016-01-07_ATL_at_PHI","ATL"
"Al Horford",TRUE,"36:18",15,21,0.714,1,3,0.333,2,2,1,3,7,10,6,1,4,0,2,33,22,"2016-01-09_CHI_at_ATL","ATL"
"Paul Millsap",TRUE,"31:58",8,16,0.5,0,2,0,2,2,1,1,7,8,3,2,6,2,3,18,4,"2016-01-09_CHI_at_ATL","ATL"
"Kyle Korver",TRUE,"31:08",5,8,0.625,3,6,0.5,0,0,NA,0,2,2,1,0,1,3,3,13,10,"2016-01-09_CHI_at_ATL","ATL"
"Kent Bazemore",TRUE,"27:13",3,9,0.333,1,2,0.5,2,2,1,1,3,4,3,2,0,1,4,9,11,"2016-01-09_CHI_at_ATL","ATL"
"Jeff Teague",TRUE,"25:29",5,9,0.556,1,1,1,1,2,0.5,1,1,2,6,1,0,3,0,12,1,"2016-01-09_CHI_at_ATL","ATL"
"Dennis Schroder",FALSE,"21:27",5,11,0.455,2,3,0.667,1,1,1,0,5,5,8,2,1,2,2,13,18,"2016-01-09_CHI_at_ATL","ATL"
"Mike Scott",FALSE,"17:39",6,7,0.857,2,3,0.667,0,0,NA,1,2,3,3,1,1,1,2,14,12,"2016-01-09_CHI_at_ATL","ATL"
"Tim Hardaway",FALSE,"16:22",1,4,0.25,0,2,0,0,0,NA,0,1,1,1,2,0,1,1,2,12,"2016-01-09_CHI_at_ATL","ATL"
"Tiago Splitter",FALSE,"15:22",1,6,0.167,0,1,0,2,2,1,1,1,2,2,1,0,0,2,4,-8,"2016-01-09_CHI_at_ATL","ATL"
"Justin Holiday",FALSE,"11:48",0,1,0,0,0,NA,0,2,0,0,2,2,0,3,0,1,3,0,-3,"2016-01-09_CHI_at_ATL","ATL"
"Mike Muscala",FALSE,"2:38",0,0,NA,0,0,NA,2,2,1,0,1,1,0,0,0,0,0,2,-2,"2016-01-09_CHI_at_ATL","ATL"
"Shelvin Mack",FALSE,"2:38",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,-2,"2016-01-09_CHI_at_ATL","ATL"
"Lamar Patterson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-09_CHI_at_ATL","ATL"
"Al Horford",TRUE,"27:34",1,4,0.25,0,1,0,0,0,NA,0,2,2,0,0,1,4,4,2,-30,"2016-01-13_ATL_at_CHO","ATL"
"Paul Millsap",TRUE,"27:11",7,12,0.583,1,2,0.5,5,5,1,1,4,5,2,0,1,2,4,20,-16,"2016-01-13_ATL_at_CHO","ATL"
