"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"LeBron James",TRUE,"29:13",11,18,0.611,4,7,0.571,3,4,0.75,0,5,5,3,2,0,0,2,29,28,"2016-01-02_ORL_at_CLE","CLE"
"Kevin Love",TRUE,"28:56",2,5,0.4,1,2,0.5,5,8,0.625,1,12,13,2,1,0,1,1,10,19,"2016-01-02_ORL_at_CLE","CLE"
"Tristan Thompson",TRUE,"28:51",4,6,0.667,0,0,NA,2,8,0.25,6,6,12,0,0,0,0,0,10,17,"2016-01-02_ORL_at_CLE","CLE"
"Kyrie Irving",TRUE,"21:26",4,12,0.333,0,4,0,5,7,0.714,1,1,2,5,0,0,1,1,13,16,"2016-01-02_ORL_at_CLE","CLE"
"J.R. Smith",TRUE,"19:42",1,7,0.143,1,5,0.2,0,0,NA,1,1,2,1,1,1,0,2,3,8,"2016-01-02_ORL_at_CLE","CLE"
"Iman Shumpert",FALSE,"21:27",1,3,0.333,1,2,0.5,0,0,NA,0,2,2,1,0,0,0,2,3,21,"2016-01-02_ORL_at_CLE","CLE"
"Richard Jefferson",FALSE,"18:47",2,5,0.4,2,4,0.5,0,3,0,0,0,0,1,1,0,0,3,6,-3,"2016-01-02_ORL_at_CLE","CLE"
"Matthew Dellavedova",FALSE,"18:46",1,6,0.167,1,5,0.2,0,0,NA,0,3,3,6,0,0,1,1,3,11,"2016-01-02_ORL_at_CLE","CLE"
"James Jones",FALSE,"18:25",3,6,0.5,1,4,0.25,3,3,1,2,1,3,1,0,0,0,0,10,8,"2016-01-02_ORL_at_CLE","CLE"
"Timofey Mozgov",FALSE,"12:57",2,4,0.5,0,0,NA,3,3,1,1,4,5,2,1,0,0,2,7,10,"2016-01-02_ORL_at_CLE","CLE"
"Mo Williams",FALSE,"7:48",2,6,0.333,1,4,0.25,3,3,1,0,1,1,1,0,0,0,1,8,-2,"2016-01-02_ORL_at_CLE","CLE"
"Jared Cunningham",FALSE,"6:51",1,3,0.333,0,0,NA,0,0,NA,0,2,2,0,0,0,1,1,2,-4,"2016-01-02_ORL_at_CLE","CLE"
"Anderson Varejao",FALSE,"6:51",0,1,0,0,0,NA,0,0,NA,0,3,3,1,0,0,0,1,0,-4,"2016-01-02_ORL_at_CLE","CLE"
"Kevin Love",TRUE,"33:07",4,11,0.364,2,5,0.4,4,4,1,4,5,9,2,2,3,1,3,14,14,"2016-01-04_TOR_at_CLE","CLE"
