"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Wesley Matthews",TRUE,"31:23",4,9,0.444,4,7,0.571,0,0,NA,0,4,4,1,0,0,0,1,12,-14,"2016-01-01_DAL_at_MIA","DAL"
"Chandler Parsons",TRUE,"27:05",2,8,0.25,0,3,0,0,0,NA,1,4,5,4,0,1,0,1,4,-15,"2016-01-01_DAL_at_MIA","DAL"
"Dirk Nowitzki",TRUE,"26:52",4,14,0.286,0,2,0,3,3,1,1,2,3,1,1,0,0,1,11,-11,"2016-01-01_DAL_at_MIA","DAL"
"J.J. Barea",TRUE,"26:04",3,9,0.333,0,5,0,0,0,NA,0,0,0,5,0,0,2,1,6,-14,"2016-01-01_DAL_at_MIA","DAL"
"Zaza Pachulia",TRUE,"25:02",5,9,0.556,0,0,NA,4,5,0.8,4,9,13,1,1,1,2,1,14,-15,"2016-01-01_DAL_at_MIA","DAL"
"Raymond Felton",FALSE,"21:56",1,4,0.25,0,1,0,2,2,1,1,2,3,5,0,0,0,0,4,-10,"2016-01-01_DAL_at_MIA","DAL"
"Charlie Villanueva",FALSE,"20:49",4,11,0.364,1,6,0.167,0,0,NA,0,2,2,0,0,0,2,2,9,-7,"2016-01-01_DAL_at_MIA","DAL"
"Deron Williams",FALSE,"20:28",3,9,0.333,2,5,0.4,1,2,0.5,0,1,1,5,0,0,0,1,9,-6,"2016-01-01_DAL_at_MIA","DAL"
"Dwight Powell",FALSE,"13:48",0,5,0,0,0,NA,1,2,0.5,5,0,5,0,1,0,0,2,1,-15,"2016-01-01_DAL_at_MIA","DAL"
"JaVale McGee",FALSE,"9:29",3,5,0.6,0,0,NA,0,0,NA,1,1,2,0,1,1,0,0,6,0,"2016-01-01_DAL_at_MIA","DAL"
"John Jenkins",FALSE,"8:09",3,4,0.75,0,1,0,0,0,NA,0,1,1,0,1,0,2,0,6,-6,"2016-01-01_DAL_at_MIA","DAL"
"Jeremy Evans",FALSE,"6:20",0,1,0,0,1,0,0,0,NA,0,1,1,0,1,0,0,0,0,-5,"2016-01-01_DAL_at_MIA","DAL"
"Devin Harris",FALSE,"2:35",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,-2,"2016-01-01_DAL_at_MIA","DAL"
"Wesley Matthews",TRUE,"35:18",7,13,0.538,4,10,0.4,0,0,NA,0,1,1,0,1,0,0,3,18,2,"2016-01-02_NOP_at_DAL","DAL"
"Zaza Pachulia",TRUE,"34:40",6,11,0.545,0,0,NA,2,2,1,2,7,9,2,4,1,4,2,14,-11,"2016-01-02_NOP_at_DAL","DAL"
"Chandler Parsons",TRUE,"34:13",2,6,0.333,1,2,0.5,1,2,0.5,0,1,1,3,2,0,1,3,6,-4,"2016-01-02_NOP_at_DAL","DAL"
