"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Klay Thompson",TRUE,"45:58",11,27,0.407,2,9,0.222,2,4,0.5,0,7,7,3,2,0,1,0,26,13,"2016-01-02_DEN_at_GSW","GSW"
"Draymond Green",TRUE,"43:50",10,16,0.625,5,9,0.556,4,6,0.667,4,13,17,14,4,1,3,4,29,17,"2016-01-02_DEN_at_GSW","GSW"
"Andre Iguodala",TRUE,"43:10",4,8,0.5,1,2,0.5,0,0,NA,0,3,3,6,1,0,0,1,9,4,"2016-01-02_DEN_at_GSW","GSW"
"Andrew Bogut",TRUE,"24:48",1,3,0.333,0,0,NA,0,0,NA,2,5,7,1,0,2,1,6,2,13,"2016-01-02_DEN_at_GSW","GSW"
"Stephen Curry",TRUE,"14:23",2,6,0.333,1,5,0.2,0,0,NA,0,1,1,4,2,0,2,1,5,12,"2016-01-02_DEN_at_GSW","GSW"
"Ian Clark",FALSE,"37:20",7,8,0.875,1,2,0.5,0,0,NA,0,1,1,1,0,0,3,2,15,-13,"2016-01-02_DEN_at_GSW","GSW"
"Shaun Livingston",FALSE,"25:14",3,5,0.6,0,0,NA,2,2,1,0,0,0,3,0,2,1,5,8,-12,"2016-01-02_DEN_at_GSW","GSW"
"Marreese Speights",FALSE,"18:02",3,9,0.333,0,1,0,2,3,0.667,3,5,8,0,0,0,2,1,8,-6,"2016-01-02_DEN_at_GSW","GSW"
"Jason Thompson",FALSE,"12:16",2,4,0.5,0,0,NA,5,8,0.625,0,3,3,2,0,0,0,2,9,-13,"2016-01-02_DEN_at_GSW","GSW"
"Brandon Rush",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-02_DEN_at_GSW","GSW"
