"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"George Hill",TRUE,"37:00",7,8,0.875,1,1,1,3,4,0.75,1,3,4,1,1,0,2,3,18,16,"2016-01-02_DET_at_IND","IND"
"Monta Ellis",TRUE,"33:39",5,14,0.357,1,3,0.333,3,3,1,0,3,3,3,1,2,0,1,14,14,"2016-01-02_DET_at_IND","IND"
"Paul George",TRUE,"32:36",9,18,0.5,4,7,0.571,10,12,0.833,1,13,14,3,1,0,7,3,32,16,"2016-01-02_DET_at_IND","IND"
"Lavoy Allen",TRUE,"21:02",1,3,0.333,0,0,NA,0,0,NA,2,5,7,0,1,0,0,1,2,14,"2016-01-02_DET_at_IND","IND"
"Ian Mahinmi",TRUE,"15:36",0,2,0,0,0,NA,1,2,0.5,1,3,4,0,1,0,0,2,1,-6,"2016-01-02_DET_at_IND","IND"
"C.J. Miles",FALSE,"25:38",3,8,0.375,1,5,0.2,1,2,0.5,0,0,0,0,1,2,1,1,8,-2,"2016-01-02_DET_at_IND","IND"
"Rodney Stuckey",FALSE,"25:21",1,4,0.25,0,1,0,1,2,0.5,0,3,3,2,0,0,0,3,3,-6,"2016-01-02_DET_at_IND","IND"
"Jordan Hill",FALSE,"22:05",4,7,0.571,0,0,NA,0,2,0,0,3,3,1,0,1,1,4,8,15,"2016-01-02_DET_at_IND","IND"
"Solomon Hill",FALSE,"16:44",2,4,0.5,0,1,0,0,0,NA,0,5,5,1,1,2,1,2,4,-4,"2016-01-02_DET_at_IND","IND"
"Myles Turner",FALSE,"10:19",1,5,0.2,0,0,NA,2,2,1,1,3,4,0,0,2,1,2,4,3,"2016-01-02_DET_at_IND","IND"
"Glenn Robinson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-02_DET_at_IND","IND"
"Chase Budinger",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-02_DET_at_IND","IND"
"Joe Young",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-02_DET_at_IND","IND"
"Paul George",TRUE,"41:30",12,29,0.414,5,13,0.385,3,4,0.75,2,5,7,2,2,0,1,3,32,11,"2016-01-04_IND_at_MIA","IND"
"Monta Ellis",TRUE,"41:03",8,17,0.471,1,3,0.333,0,1,0,1,2,3,9,0,0,1,2,17,5,"2016-01-04_IND_at_MIA","IND"
"Ian Mahinmi",TRUE,"32:41",4,5,0.8,0,0,NA,5,8,0.625,2,7,9,0,0,1,2,5,13,2,"2016-01-04_IND_at_MIA","IND"
"Lavoy Allen",TRUE,"23:15",1,2,0.5,0,0,NA,0,0,NA,2,0,2,1,0,0,0,5,2,12,"2016-01-04_IND_at_MIA","IND"
"C.J. Miles",TRUE,"7:14",2,5,0.4,2,5,0.4,1,1,1,0,1,1,0,1,0,1,1,7,4,"2016-01-04_IND_at_MIA","IND"
"Rodney Stuckey",FALSE,"29:58",3,11,0.273,0,2,0,6,7,0.857,1,4,5,3,0,0,1,3,12,-20,"2016-01-04_IND_at_MIA","IND"
"Chase Budinger",FALSE,"22:15",0,5,0,0,2,0,0,0,NA,1,4,5,0,0,1,1,0,0,-12,"2016-01-04_IND_at_MIA","IND"
"Jordan Hill",FALSE,"20:19",5,7,0.714,0,0,NA,0,0,NA,3,9,12,1,1,1,3,3,10,-5,"2016-01-04_IND_at_MIA","IND"
"Solomon Hill",FALSE,"17:55",1,5,0.2,0,2,0,2,2,1,1,0,1,0,0,0,0,4,4,-17,"2016-01-04_IND_at_MIA","IND"
"Joe Young",FALSE,"11:14",1,5,0.2,0,0,NA,1,2,0.5,1,5,6,2,0,0,0,0,3,-4,"2016-01-04_IND_at_MIA","IND"
"Glenn Robinson",FALSE,"10:50",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,9,"2016-01-04_IND_at_MIA","IND"
"Myles Turner",FALSE,"6:46",0,2,0,0,0,NA,0,0,NA,0,3,3,0,0,0,0,0,0,0,"2016-01-04_IND_at_MIA","IND"
"George Hill",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-04_IND_at_MIA","IND"
"Paul George",TRUE,"35:41",5,13,0.385,1,6,0.167,9,9,1,0,7,7,3,2,0,5,3,20,17,"2016-01-06_IND_at_ORL","IND"
"Monta Ellis",TRUE,"35:20",6,13,0.462,1,5,0.2,6,6,1,1,3,4,7,4,0,5,3,19,16,"2016-01-06_IND_at_ORL","IND"
"George Hill",TRUE,"33:39",5,9,0.556,3,3,1,3,3,1,0,3,3,3,1,0,0,2,16,14,"2016-01-06_IND_at_ORL","IND"
"Lavoy Allen",TRUE,"25:34",3,7,0.429,0,0,NA,0,0,NA,3,2,5,0,0,2,1,0,6,19,"2016-01-06_IND_at_ORL","IND"
"Ian Mahinmi",TRUE,"23:13",2,4,0.5,0,0,NA,4,6,0.667,2,10,12,3,0,1,0,4,8,22,"2016-01-06_IND_at_ORL","IND"
"Rodney Stuckey",FALSE,"27:01",2,6,0.333,0,1,0,2,2,1,0,1,1,3,2,1,2,0,6,-12,"2016-01-06_IND_at_ORL","IND"
"C.J. Miles",FALSE,"22:26",1,10,0.1,1,6,0.167,0,0,NA,0,1,1,0,2,0,1,3,3,-10,"2016-01-06_IND_at_ORL","IND"
"Myles Turner",FALSE,"12:31",3,3,1,0,0,NA,0,0,NA,1,4,5,0,0,1,1,1,6,-2,"2016-01-06_IND_at_ORL","IND"
"Glenn Robinson",FALSE,"12:19",2,5,0.4,0,1,0,1,3,0.333,0,1,1,0,0,0,1,1,5,-8,"2016-01-06_IND_at_ORL","IND"
"Jordan Hill",FALSE,"12:16",3,6,0.5,0,0,NA,0,0,NA,2,1,3,0,0,1,0,1,6,-11,"2016-01-06_IND_at_ORL","IND"
"Chase Budinger",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-06_IND_at_ORL","IND"
"Joe Young",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-06_IND_at_ORL","IND"
"Solomon Hill",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-06_IND_at_ORL","IND"
"George Hill",TRUE,"35:11",2,9,0.222,1,2,0.5,2,2,1,1,4,5,2,1,0,3,4,7,8,"2016-01-08_IND_at_NOP","IND"
"Monta Ellis",TRUE,"33:38",5,11,0.455,0,1,0,0,0,NA,1,3,4,8,1,1,6,3,10,-4,"2016-01-08_IND_at_NOP","IND"
"Paul George",TRUE,"32:04",3,13,0.231,1,7,0.143,6,7,0.857,0,7,7,4,3,0,4,3,13,10,"2016-01-08_IND_at_NOP","IND"
"Ian Mahinmi",TRUE,"24:32",7,12,0.583,0,0,NA,3,4,0.75,4,6,10,1,0,4,1,3,17,6,"2016-01-08_IND_at_NOP","IND"
"Lavoy Allen",TRUE,"19:34",3,3,1,0,0,NA,1,2,0.5,1,1,2,0,1,0,1,0,7,8,"2016-01-08_IND_at_NOP","IND"
"Rodney Stuckey",FALSE,"28:27",4,9,0.444,0,2,0,0,0,NA,2,5,7,4,0,0,3,0,8,1,"2016-01-08_IND_at_NOP","IND"
"C.J. Miles",FALSE,"28:20",6,12,0.5,3,8,0.375,0,0,NA,0,7,7,0,1,1,0,2,15,-5,"2016-01-08_IND_at_NOP","IND"
"Glenn Robinson",FALSE,"14:40",2,6,0.333,0,1,0,1,2,0.5,1,3,4,1,0,0,2,0,5,0,"2016-01-08_IND_at_NOP","IND"
"Jordan Hill",FALSE,"12:54",2,3,0.667,0,0,NA,0,0,NA,3,2,5,0,0,0,4,1,4,9,"2016-01-08_IND_at_NOP","IND"
"Myles Turner",FALSE,"10:40",2,3,0.667,0,0,NA,1,2,0.5,1,2,3,1,0,1,0,1,5,-8,"2016-01-08_IND_at_NOP","IND"
