"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Khris Middleton",TRUE,"35:59",4,11,0.364,3,5,0.6,2,3,0.667,1,3,4,5,0,0,4,0,13,-7,"2016-01-02_MIL_at_MIN","MIL"
"Jabari Parker",TRUE,"35:00",4,7,0.571,0,0,NA,4,4,1,1,5,6,1,0,0,1,4,12,-11,"2016-01-02_MIL_at_MIN","MIL"
"Michael Carter-Williams",TRUE,"34:50",1,7,0.143,0,0,NA,3,4,0.75,1,6,7,6,2,3,1,4,5,-5,"2016-01-02_MIL_at_MIN","MIL"
"Giannis Antetokounmpo",TRUE,"30:18",3,9,0.333,1,2,0.5,4,4,1,1,8,9,2,2,0,4,3,11,19,"2016-01-02_MIL_at_MIN","MIL"
"Greg Monroe",TRUE,"26:59",7,13,0.538,0,0,NA,5,5,1,4,6,10,3,2,0,0,1,19,2,"2016-01-02_MIL_at_MIN","MIL"
"Jerryd Bayless",FALSE,"32:05",4,13,0.308,3,6,0.5,2,2,1,1,4,5,2,0,0,2,1,13,18,"2016-01-02_MIL_at_MIN","MIL"
"John Henson",FALSE,"21:01",6,7,0.857,0,0,NA,3,6,0.5,2,2,4,1,0,1,1,1,15,8,"2016-01-02_MIL_at_MIN","MIL"
"Rashad Vaughn",FALSE,"15:49",2,5,0.4,1,3,0.333,0,0,NA,0,3,3,0,0,1,0,0,5,20,"2016-01-02_MIL_at_MIN","MIL"
"Johnny O'Bryant",FALSE,"5:12",1,1,1,0,0,NA,0,0,NA,0,0,0,0,1,0,0,2,2,8,"2016-01-02_MIL_at_MIN","MIL"
"O.J. Mayo",FALSE,"2:47",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-2,"2016-01-02_MIL_at_MIN","MIL"
"Chris Copeland",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-02_MIL_at_MIN","MIL"
"Miles Plumlee",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-02_MIL_at_MIN","MIL"
"Tyler Ennis",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-02_MIL_at_MIN","MIL"
"Khris Middleton",TRUE,"33:45",6,13,0.462,0,4,0,7,7,1,1,2,3,4,0,0,3,2,19,-13,"2016-01-04_SAS_at_MIL","MIL"
"Jabari Parker",TRUE,"31:45",5,14,0.357,0,1,0,4,4,1,4,4,8,3,0,1,0,1,14,-9,"2016-01-04_SAS_at_MIL","MIL"
"Michael Carter-Williams",TRUE,"31:26",6,10,0.6,1,1,1,3,6,0.5,0,4,4,6,1,1,0,3,16,-7,"2016-01-04_SAS_at_MIL","MIL"
"Giannis Antetokounmpo",TRUE,"29:35",5,9,0.556,0,2,0,1,2,0.5,2,2,4,2,1,1,2,2,11,-6,"2016-01-04_SAS_at_MIL","MIL"
"Greg Monroe",TRUE,"27:56",5,9,0.556,0,0,NA,5,8,0.625,2,6,8,2,2,1,2,1,15,-12,"2016-01-04_SAS_at_MIL","MIL"
"O.J. Mayo",FALSE,"24:03",0,4,0,0,0,NA,0,0,NA,0,0,0,1,1,0,2,1,0,-25,"2016-01-04_SAS_at_MIL","MIL"
"Rashad Vaughn",FALSE,"16:23",1,3,0.333,0,1,0,0,0,NA,0,2,2,2,0,0,3,1,2,-16,"2016-01-04_SAS_at_MIL","MIL"
"John Henson",FALSE,"14:03",4,5,0.8,0,0,NA,0,1,0,0,4,4,1,0,1,1,3,8,-10,"2016-01-04_SAS_at_MIL","MIL"
"Johnny O'Bryant",FALSE,"7:37",2,3,0.667,0,0,NA,1,2,0.5,0,1,1,0,1,0,0,2,5,-10,"2016-01-04_SAS_at_MIL","MIL"
"Jerryd Bayless",FALSE,"7:17",1,4,0.25,1,2,0.5,0,0,NA,1,0,1,0,0,0,1,1,3,-8,"2016-01-04_SAS_at_MIL","MIL"
"Miles Plumlee",FALSE,"6:01",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,2,-3,"2016-01-04_SAS_at_MIL","MIL"
"Tyler Ennis",FALSE,"5:06",0,1,0,0,0,NA,0,0,NA,0,0,0,2,0,0,0,1,0,-3,"2016-01-04_SAS_at_MIL","MIL"
"Chris Copeland",FALSE,"5:03",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,-3,"2016-01-04_SAS_at_MIL","MIL"
"Khris Middleton",TRUE,"38:12",10,21,0.476,5,10,0.5,1,1,1,0,4,4,7,1,0,2,4,26,-13,"2016-01-05_MIL_at_CHI","MIL"
