"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"C.J. McCollum",TRUE,"32:44",10,17,0.588,2,4,0.5,3,5,0.6,0,3,3,7,0,0,5,5,25,5,"2016-01-03_POR_at_DEN","POR"
"Allen Crabbe",TRUE,"31:37",6,14,0.429,2,5,0.4,0,0,NA,0,3,3,2,2,0,1,3,14,8,"2016-01-03_POR_at_DEN","POR"
"Noah Vonleh",TRUE,"25:54",2,6,0.333,0,2,0,1,2,0.5,2,6,8,2,0,1,0,6,5,1,"2016-01-03_POR_at_DEN","POR"
"Al-Farouq Aminu",TRUE,"22:03",5,8,0.625,3,4,0.75,1,1,1,0,3,3,1,0,0,0,4,14,-5,"2016-01-03_POR_at_DEN","POR"
"Mason Plumlee",TRUE,"21:36",1,2,0.5,0,0,NA,4,5,0.8,0,0,0,2,0,1,0,4,6,-4,"2016-01-03_POR_at_DEN","POR"
"Ed Davis",FALSE,"26:16",2,2,1,0,0,NA,1,4,0.25,2,7,9,2,2,1,0,4,5,9,"2016-01-03_POR_at_DEN","POR"
"Gerald Henderson",FALSE,"24:40",6,14,0.429,1,2,0.5,6,8,0.75,1,3,4,2,0,0,0,0,19,11,"2016-01-03_POR_at_DEN","POR"
"Meyers Leonard",FALSE,"22:14",2,5,0.4,0,1,0,3,3,1,0,4,4,3,0,0,1,4,7,6,"2016-01-03_POR_at_DEN","POR"
"Maurice Harkless",FALSE,"17:40",3,6,0.5,1,4,0.25,3,4,0.75,0,2,2,0,0,0,1,4,10,-2,"2016-01-03_POR_at_DEN","POR"
"Tim Frazier",FALSE,"15:16",3,4,0.75,1,1,1,0,0,NA,2,3,5,2,0,0,2,0,7,1,"2016-01-03_POR_at_DEN","POR"
"Luis Montero",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-03_POR_at_DEN","POR"
"Chris Kaman",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-03_POR_at_DEN","POR"
"Pat Connaughton",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-03_POR_at_DEN","POR"
"C.J. McCollum",TRUE,"38:33",6,18,0.333,1,7,0.143,3,5,0.6,0,2,2,4,1,0,3,4,16,-2,"2016-01-04_MEM_at_POR","POR"
"Damian Lillard",TRUE,"35:45",4,14,0.286,2,10,0.2,7,7,1,0,3,3,7,1,0,7,3,17,-12,"2016-01-04_MEM_at_POR","POR"
"Al-Farouq Aminu",TRUE,"33:34",5,11,0.455,2,6,0.333,3,3,1,3,11,14,0,1,0,2,3,15,7,"2016-01-04_MEM_at_POR","POR"
"Mason Plumlee",TRUE,"22:55",1,6,0.167,0,0,NA,1,4,0.25,1,2,3,0,2,0,1,2,3,1,"2016-01-04_MEM_at_POR","POR"
"Noah Vonleh",TRUE,"12:37",1,3,0.333,0,0,NA,0,0,NA,3,3,6,0,0,1,1,2,2,0,"2016-01-04_MEM_at_POR","POR"
"Allen Crabbe",FALSE,"31:43",4,7,0.571,1,2,0.5,0,0,NA,0,6,6,0,1,0,1,1,9,-13,"2016-01-04_MEM_at_POR","POR"
"Maurice Harkless",FALSE,"20:12",1,2,0.5,0,1,0,0,2,0,0,2,2,3,1,1,0,0,2,-5,"2016-01-04_MEM_at_POR","POR"
"Meyers Leonard",FALSE,"16:21",2,3,0.667,1,1,1,0,0,NA,0,5,5,0,0,0,2,1,5,-3,"2016-01-04_MEM_at_POR","POR"
"Gerald Henderson",FALSE,"13:07",3,6,0.5,0,1,0,1,1,1,0,0,0,0,0,0,0,1,7,-19,"2016-01-04_MEM_at_POR","POR"
"Ed Davis",FALSE,"13:04",1,2,0.5,0,0,NA,0,2,0,0,1,1,0,0,2,2,2,2,-19,"2016-01-04_MEM_at_POR","POR"
"Pat Connaughton",FALSE,"1:05",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,0,"2016-01-04_MEM_at_POR","POR"
