"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Rodney Hood",TRUE,"43:37",10,20,0.5,5,10,0.5,7,8,0.875,1,7,8,0,1,1,2,4,32,7,"2016-01-02_MEM_at_UTA","UTA"
"Gordon Hayward",TRUE,"42:28",5,10,0.5,1,4,0.25,3,4,0.75,0,5,5,4,1,0,2,2,14,-2,"2016-01-02_MEM_at_UTA","UTA"
"Jeff Withey",TRUE,"32:04",5,9,0.556,0,0,NA,2,4,0.5,3,7,10,2,1,4,3,6,12,-4,"2016-01-02_MEM_at_UTA","UTA"
"Raul Neto",TRUE,"19:30",1,7,0.143,0,3,0,0,0,NA,0,1,1,2,0,0,1,1,2,-6,"2016-01-02_MEM_at_UTA","UTA"
"Trey Lyles",TRUE,"18:51",2,2,1,1,1,1,2,2,1,0,3,3,1,0,0,2,0,7,-7,"2016-01-02_MEM_at_UTA","UTA"
"Trevor Booker",FALSE,"35:07",0,1,0,0,0,NA,4,6,0.667,4,7,11,3,0,2,2,4,4,1,"2016-01-02_MEM_at_UTA","UTA"
"Trey Burke",FALSE,"32:11",3,13,0.231,0,3,0,3,4,0.75,0,2,2,2,1,0,2,0,9,8,"2016-01-02_MEM_at_UTA","UTA"
"Tibor Pleiss",FALSE,"17:08",3,4,0.75,0,0,NA,0,0,NA,1,5,6,1,0,0,2,5,6,11,"2016-01-02_MEM_at_UTA","UTA"
"Joe Ingles",FALSE,"15:40",1,6,0.167,1,5,0.2,0,0,NA,0,0,0,1,0,0,0,1,3,16,"2016-01-02_MEM_at_UTA","UTA"
"Chris Johnson",FALSE,"8:23",1,3,0.333,1,1,1,0,0,NA,0,2,2,1,0,0,0,1,3,1,"2016-01-02_MEM_at_UTA","UTA"
"Derrick Favors",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-02_MEM_at_UTA","UTA"
