"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Wilson Chandler",TRUE,"37:15",8,16,0.5,3,8,0.375,2,3,0.667,1,3,4,2,2,1,3,2,21,-4,"2017-01-02_DEN_at_GSW","DEN"
"Danilo Gallinari",TRUE,"32:04",7,15,0.467,2,7,0.286,3,4,0.75,1,7,8,4,2,0,1,3,19,-9,"2017-01-02_DEN_at_GSW","DEN"
"Gary Harris",TRUE,"31:09",5,12,0.417,0,3,0,1,2,0.5,3,1,4,3,2,0,0,3,11,-10,"2017-01-02_DEN_at_GSW","DEN"
"Emmanuel Mudiay",TRUE,"30:40",4,11,0.364,0,3,0,0,0,NA,0,2,2,4,1,0,1,2,8,-8,"2017-01-02_DEN_at_GSW","DEN"
"Nikola Jokic",TRUE,"24:48",8,17,0.471,1,2,0.5,4,4,1,8,5,13,5,1,0,2,2,21,-5,"2017-01-02_DEN_at_GSW","DEN"
"Will Barton",FALSE,"26:46",6,11,0.545,2,5,0.4,0,0,NA,2,5,7,4,0,0,2,2,14,4,"2017-01-02_DEN_at_GSW","DEN"
"Jusuf Nurkic",FALSE,"21:07",6,8,0.75,0,0,NA,3,4,0.75,0,6,6,4,1,1,1,3,15,-4,"2017-01-02_DEN_at_GSW","DEN"
"Jamal Murray",FALSE,"18:51",2,7,0.286,1,5,0.2,0,0,NA,1,3,4,3,1,0,0,0,5,-4,"2017-01-02_DEN_at_GSW","DEN"
"Jameer Nelson",FALSE,"17:20",2,4,0.5,0,2,0,1,1,1,0,0,0,4,0,0,4,4,5,0,"2017-01-02_DEN_at_GSW","DEN"
"Juan Hernangomez",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-02_DEN_at_GSW","DEN"
"Malik Beasley",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-02_DEN_at_GSW","DEN"
"Mike Miller",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-02_DEN_at_GSW","DEN"
"Alonzo Gee",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-02_DEN_at_GSW","DEN"
"Danilo Gallinari",TRUE,"32:45",8,12,0.667,4,6,0.667,4,4,1,0,4,4,3,0,1,1,1,24,2,"2017-01-03_SAC_at_DEN","DEN"
"Gary Harris",TRUE,"31:59",6,11,0.545,3,4,0.75,0,0,NA,1,0,1,3,1,0,0,0,15,0,"2017-01-03_SAC_at_DEN","DEN"
"Wilson Chandler",TRUE,"30:28",3,10,0.3,2,7,0.286,2,2,1,0,3,3,2,1,0,0,4,10,-21,"2017-01-03_SAC_at_DEN","DEN"
"Nikola Jokic",TRUE,"28:23",7,11,0.636,1,2,0.5,3,3,1,1,5,6,5,1,1,1,3,18,-20,"2017-01-03_SAC_at_DEN","DEN"
"Emmanuel Mudiay",TRUE,"27:33",2,8,0.25,1,5,0.2,0,0,NA,1,1,2,6,0,0,1,1,5,2,"2017-01-03_SAC_at_DEN","DEN"
"Jameer Nelson",FALSE,"19:16",2,7,0.286,2,5,0.4,0,0,NA,0,1,1,4,0,0,3,2,6,-14,"2017-01-03_SAC_at_DEN","DEN"
"Jusuf Nurkic",FALSE,"18:26",6,8,0.75,0,0,NA,4,4,1,1,5,6,4,1,1,2,1,16,8,"2017-01-03_SAC_at_DEN","DEN"
"Darrell Arthur",FALSE,"18:21",4,6,0.667,4,5,0.8,0,0,NA,0,3,3,0,0,1,2,3,12,10,"2017-01-03_SAC_at_DEN","DEN"
"Will Barton",FALSE,"16:01",1,3,0.333,1,1,1,0,0,NA,0,4,4,0,1,0,2,1,3,-7,"2017-01-03_SAC_at_DEN","DEN"
