"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Gorgui Dieng",TRUE,"37:37",5,13,0.385,0,0,NA,2,2,1,2,7,9,2,2,0,1,5,12,-14,"2017-01-01_POR_at_MIN","MIN"
"Andrew Wiggins",TRUE,"37:34",10,20,0.5,1,3,0.333,3,7,0.429,3,2,5,1,1,0,5,1,24,-17,"2017-01-01_POR_at_MIN","MIN"
"Zach LaVine",TRUE,"35:40",5,12,0.417,2,5,0.4,1,3,0.333,1,2,3,1,1,0,2,3,13,-1,"2017-01-01_POR_at_MIN","MIN"
"Karl-Anthony Towns",TRUE,"33:37",3,15,0.2,0,6,0,5,5,1,4,9,13,6,1,1,3,2,11,-8,"2017-01-01_POR_at_MIN","MIN"
"Ricky Rubio",TRUE,"26:45",0,5,0,0,2,0,1,1,1,0,0,0,6,2,0,0,3,1,-18,"2017-01-01_POR_at_MIN","MIN"
"Shabazz Muhammad",FALSE,"22:42",5,11,0.455,2,4,0.5,0,0,NA,1,5,6,0,1,0,2,3,12,6,"2017-01-01_POR_at_MIN","MIN"
"Kris Dunn",FALSE,"21:15",5,7,0.714,1,1,1,0,0,NA,0,3,3,4,1,3,2,3,11,12,"2017-01-01_POR_at_MIN","MIN"
"Nemanja Bjelica",FALSE,"14:57",2,3,0.667,1,2,0.5,0,0,NA,0,2,2,1,1,0,1,4,5,2,"2017-01-01_POR_at_MIN","MIN"
"Cole Aldrich",FALSE,"9:48",0,1,0,0,0,NA,0,0,NA,2,4,6,0,1,1,0,1,0,8,"2017-01-01_POR_at_MIN","MIN"
"Tyus Jones",FALSE,"0:04",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"2017-01-01_POR_at_MIN","MIN"
"Adreian Payne",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-01_POR_at_MIN","MIN"
"Jordan Hill",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-01_POR_at_MIN","MIN"
"Brandon Rush",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-01_POR_at_MIN","MIN"
"Zach LaVine",TRUE,"40:26",11,20,0.55,3,8,0.375,3,4,0.75,0,4,4,1,1,1,3,3,28,7,"2017-01-03_MIN_at_PHI","MIN"
"Karl-Anthony Towns",TRUE,"37:27",9,22,0.409,1,6,0.167,4,4,1,6,10,16,5,0,2,3,2,23,-3,"2017-01-03_MIN_at_PHI","MIN"
"Andrew Wiggins",TRUE,"36:53",2,15,0.133,0,3,0,4,4,1,0,4,4,3,1,0,4,2,8,-2,"2017-01-03_MIN_at_PHI","MIN"
"Ricky Rubio",TRUE,"30:16",2,3,0.667,1,2,0.5,0,0,NA,1,2,3,5,2,0,3,2,5,-2,"2017-01-03_MIN_at_PHI","MIN"
"Gorgui Dieng",TRUE,"27:28",4,6,0.667,0,0,NA,2,2,1,1,7,8,2,1,2,1,4,10,-9,"2017-01-03_MIN_at_PHI","MIN"
"Nemanja Bjelica",FALSE,"22:58",2,6,0.333,1,4,0.25,2,2,1,0,3,3,0,1,0,0,2,7,9,"2017-01-03_MIN_at_PHI","MIN"
"Shabazz Muhammad",FALSE,"18:41",3,6,0.5,1,1,1,3,4,0.75,1,4,5,0,1,0,2,2,10,-9,"2017-01-03_MIN_at_PHI","MIN"
"Kris Dunn",FALSE,"17:44",0,2,0,0,0,NA,0,0,NA,0,2,2,3,0,0,1,5,0,0,"2017-01-03_MIN_at_PHI","MIN"
"Cole Aldrich",FALSE,"8:07",0,2,0,0,0,NA,0,0,NA,0,2,2,1,0,1,0,2,0,-1,"2017-01-03_MIN_at_PHI","MIN"
"Adreian Payne",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-03_MIN_at_PHI","MIN"
"Tyus Jones",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-03_MIN_at_PHI","MIN"
"Brandon Rush",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-03_MIN_at_PHI","MIN"
"Jordan Hill",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-03_MIN_at_PHI","MIN"
"Gorgui Dieng",TRUE,"39:33",6,12,0.5,1,1,1,2,2,1,3,8,11,2,2,0,1,1,15,0,"2017-01-06_MIN_at_WAS","MIN"
"Andrew Wiggins",TRUE,"39:22",16,30,0.533,1,3,0.333,8,10,0.8,1,0,1,2,2,0,2,2,41,-4,"2017-01-06_MIN_at_WAS","MIN"
"Karl-Anthony Towns",TRUE,"37:50",7,17,0.412,0,2,0,4,5,0.8,4,6,10,5,1,1,3,3,18,-3,"2017-01-06_MIN_at_WAS","MIN"
"Zach LaVine",TRUE,"37:01",3,14,0.214,2,6,0.333,0,0,NA,0,5,5,3,0,0,1,3,8,-18,"2017-01-06_MIN_at_WAS","MIN"
"Ricky Rubio",TRUE,"34:48",2,3,0.667,0,0,NA,0,0,NA,1,4,5,7,1,0,3,3,4,-3,"2017-01-06_MIN_at_WAS","MIN"
"Brandon Rush",FALSE,"19:37",4,4,1,2,2,1,0,0,NA,1,0,1,0,0,1,0,0,10,8,"2017-01-06_MIN_at_WAS","MIN"
"Kris Dunn",FALSE,"13:12",0,1,0,0,0,NA,0,0,NA,0,0,0,3,0,0,0,2,0,-4,"2017-01-06_MIN_at_WAS","MIN"
"Nemanja Bjelica",FALSE,"10:58",2,5,0.4,1,4,0.25,0,0,NA,0,1,1,0,0,0,0,0,5,-6,"2017-01-06_MIN_at_WAS","MIN"
"Cole Aldrich",FALSE,"7:39",2,2,1,0,0,NA,0,0,NA,2,2,4,0,0,0,0,1,4,-5,"2017-01-06_MIN_at_WAS","MIN"
"Tyus Jones",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-06_MIN_at_WAS","MIN"
"Adreian Payne",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-06_MIN_at_WAS","MIN"
"Jordan Hill",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-06_MIN_at_WAS","MIN"
"John Lucas III",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-06_MIN_at_WAS","MIN"
"Karl-Anthony Towns",TRUE,"40:35",5,13,0.385,1,2,0.5,7,8,0.875,6,9,15,1,0,0,2,4,18,2,"2017-01-07_UTA_at_MIN","MIN"
"Gorgui Dieng",TRUE,"40:05",4,11,0.364,1,2,0.5,2,2,1,1,7,8,4,0,1,1,2,11,-1,"2017-01-07_UTA_at_MIN","MIN"
"Andrew Wiggins",TRUE,"38:19",6,19,0.316,1,3,0.333,3,7,0.429,4,1,5,4,0,1,5,4,16,-1,"2017-01-07_UTA_at_MIN","MIN"
"Zach LaVine",TRUE,"38:18",10,21,0.476,3,9,0.333,1,1,1,3,6,9,4,1,0,2,2,24,-8,"2017-01-07_UTA_at_MIN","MIN"
"Ricky Rubio",TRUE,"33:58",5,7,0.714,0,1,0,2,3,0.667,0,3,3,7,1,0,2,4,12,0,"2017-01-07_UTA_at_MIN","MIN"
"Shabazz Muhammad",FALSE,"17:43",2,3,0.667,1,2,0.5,0,0,NA,0,3,3,0,0,0,0,1,5,1,"2017-01-07_UTA_at_MIN","MIN"
"Kris Dunn",FALSE,"14:02",1,3,0.333,0,1,0,0,0,NA,0,2,2,1,1,1,1,1,2,-2,"2017-01-07_UTA_at_MIN","MIN"
"Nemanja Bjelica",FALSE,"11:27",2,2,1,0,0,NA,0,0,NA,0,1,1,1,0,0,1,1,4,-6,"2017-01-07_UTA_at_MIN","MIN"
"Cole Aldrich",FALSE,"3:54",0,1,0,0,0,NA,0,0,NA,0,2,2,1,0,0,1,2,0,1,"2017-01-07_UTA_at_MIN","MIN"
