"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Jaylen Brown",TRUE,"39:36",11,23,0.478,2,9,0.222,1,2,0.5,1,5,6,0,2,0,3,5,25,-5,"2017-10-17_BOS_at_CLE","BOS"
"Kyrie Irving",TRUE,"39:21",8,17,0.471,4,9,0.444,2,2,1,2,2,4,10,3,0,2,4,22,-1,"2017-10-17_BOS_at_CLE","BOS"
"Jayson Tatum",TRUE,"36:32",5,12,0.417,1,2,0.5,3,3,1,4,6,10,3,0,0,1,4,14,6,"2017-10-17_BOS_at_CLE","BOS"
"Al Horford",TRUE,"32:07",2,7,0.286,0,2,0,5,7,0.714,0,7,7,5,0,1,0,2,9,8,"2017-10-17_BOS_at_CLE","BOS"
"Gordon Hayward",TRUE,"5:15",1,2,0.5,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,2,3,"2017-10-17_BOS_at_CLE","BOS"
"Marcus Smart",FALSE,"35:03",5,16,0.313,0,4,0,2,3,0.667,0,9,9,3,2,2,2,2,12,-8,"2017-10-17_BOS_at_CLE","BOS"
"Terry Rozier",FALSE,"19:32",2,6,0.333,1,3,0.333,4,4,1,0,3,3,2,4,0,0,0,9,4,"2017-10-17_BOS_at_CLE","BOS"
"Aron Baynes",FALSE,"19:06",2,2,1,0,0,NA,2,4,0.5,2,3,5,1,0,1,2,5,6,-14,"2017-10-17_BOS_at_CLE","BOS"
"Semi Ojeleye",FALSE,"8:39",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-10,"2017-10-17_BOS_at_CLE","BOS"
"Shane Larkin",FALSE,"4:49",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,2,"2017-10-17_BOS_at_CLE","BOS"
"Daniel Theis",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-17_BOS_at_CLE","BOS"
