"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Trevor Ariza",TRUE,"37:39",3,9,0.333,2,5,0.4,0,0,NA,1,5,6,5,2,0,1,2,8,-8,"2017-10-17_HOU_at_GSW","HOU"
"James Harden",TRUE,"36:24",10,23,0.435,4,9,0.444,3,4,0.75,1,5,6,11,1,0,3,2,27,1,"2017-10-17_HOU_at_GSW","HOU"
"Ryan Anderson",TRUE,"33:17",5,12,0.417,3,8,0.375,0,0,NA,3,5,8,1,1,1,0,3,13,8,"2017-10-17_HOU_at_GSW","HOU"
"Chris Paul",TRUE,"33:04",2,9,0.222,0,4,0,0,0,NA,1,7,8,10,2,1,1,4,4,-13,"2017-10-17_HOU_at_GSW","HOU"
"Clint Capela",TRUE,"18:10",6,10,0.6,0,0,NA,0,1,0,1,3,4,0,1,1,2,0,12,-23,"2017-10-17_HOU_at_GSW","HOU"
"Eric Gordon",FALSE,"29:23",9,16,0.563,0,6,0,6,8,0.75,0,1,1,1,1,2,2,1,24,16,"2017-10-17_HOU_at_GSW","HOU"
"P.J. Tucker",FALSE,"28:40",6,9,0.667,4,6,0.667,4,6,0.667,1,5,6,0,1,0,1,3,20,20,"2017-10-17_HOU_at_GSW","HOU"
"Luc Mbah a Moute",FALSE,"23:23",6,9,0.667,2,3,0.667,0,0,NA,2,2,4,0,0,0,2,1,14,4,"2017-10-17_HOU_at_GSW","HOU"
"Nene Hilario",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-17_HOU_at_GSW","HOU"
"Bobby Brown",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-17_HOU_at_GSW","HOU"
"Zhou Qi",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-17_HOU_at_GSW","HOU"
"Demetrius Jackson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-17_HOU_at_GSW","HOU"
"Tarik Black",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-17_HOU_at_GSW","HOU"
"James Harden",TRUE,"37:46",8,21,0.381,4,14,0.286,7,8,0.875,2,1,3,9,2,0,2,1,27,1,"2017-10-18_HOU_at_SAC","HOU"
"Eric Gordon",TRUE,"34:49",7,23,0.304,4,13,0.308,7,8,0.875,1,3,4,3,0,0,3,2,25,14,"2017-10-18_HOU_at_SAC","HOU"
"Trevor Ariza",TRUE,"32:26",0,6,0,0,5,0,2,2,1,0,2,2,2,0,0,0,1,2,-6,"2017-10-18_HOU_at_SAC","HOU"
"Clint Capela",TRUE,"28:20",10,12,0.833,0,0,NA,2,2,1,5,12,17,1,3,1,2,2,22,9,"2017-10-18_HOU_at_SAC","HOU"
"Ryan Anderson",TRUE,"25:41",2,7,0.286,2,7,0.286,4,4,1,1,4,5,0,0,0,0,1,10,7,"2017-10-18_HOU_at_SAC","HOU"
"P.J. Tucker",FALSE,"29:06",2,3,0.667,2,3,0.667,0,0,NA,2,0,2,1,0,1,3,4,6,-1,"2017-10-18_HOU_at_SAC","HOU"
