"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Blake Griffin",TRUE,"33:52",12,23,0.522,3,6,0.5,2,2,1,2,10,12,3,2,0,4,2,29,20,"2017-10-19_LAC_at_LAL","LAC"
"Danilo Gallinari",TRUE,"33:03",3,13,0.231,2,6,0.333,3,4,0.75,0,5,5,3,2,1,0,2,11,19,"2017-10-19_LAC_at_LAL","LAC"
"DeAndre Jordan",TRUE,"31:40",5,10,0.5,0,0,NA,4,4,1,9,15,24,1,1,0,1,3,14,11,"2017-10-19_LAC_at_LAL","LAC"
"Patrick Beverley",TRUE,"24:07",4,12,0.333,2,5,0.4,0,0,NA,3,0,3,1,2,1,1,3,10,20,"2017-10-19_LAC_at_LAL","LAC"
"Milos Teodosic",TRUE,"21:27",2,9,0.222,2,6,0.333,0,0,NA,0,1,1,6,0,1,2,2,6,12,"2017-10-19_LAC_at_LAL","LAC"
"Austin Rivers",FALSE,"26:26",1,11,0.091,0,3,0,0,0,NA,0,0,0,2,2,0,1,2,2,-5,"2017-10-19_LAC_at_LAL","LAC"
"Lou Williams",FALSE,"24:41",5,12,0.417,1,4,0.25,1,1,1,1,2,3,6,2,0,2,1,12,13,"2017-10-19_LAC_at_LAL","LAC"
"Wesley Johnson",FALSE,"19:49",4,7,0.571,1,2,0.5,0,0,NA,1,4,5,1,1,0,0,1,9,5,"2017-10-19_LAC_at_LAL","LAC"
"Willie Reed",FALSE,"13:03",3,6,0.5,0,0,NA,2,2,1,1,4,5,0,0,0,1,2,8,8,"2017-10-19_LAC_at_LAL","LAC"
"Sam Dekker",FALSE,"5:11",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-14,"2017-10-19_LAC_at_LAL","LAC"
"Sindarius Thornwell",FALSE,"3:24",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,1,2,3,-6,"2017-10-19_LAC_at_LAL","LAC"
"Montrezl Harrell",FALSE,"3:17",2,3,0.667,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,4,-3,"2017-10-19_LAC_at_LAL","LAC"
"Brice Johnson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-19_LAC_at_LAL","LAC"
"Danilo Gallinari",TRUE,"29:54",4,14,0.286,3,8,0.375,1,1,1,1,7,8,1,0,0,2,2,12,24,"2017-10-21_PHO_at_LAC","LAC"
"DeAndre Jordan",TRUE,"27:41",3,5,0.6,0,0,NA,0,0,NA,3,10,13,0,0,0,0,3,6,21,"2017-10-21_PHO_at_LAC","LAC"
"Blake Griffin",TRUE,"27:31",7,13,0.538,3,5,0.6,12,14,0.857,1,7,8,4,1,1,3,2,29,15,"2017-10-21_PHO_at_LAC","LAC"
"Patrick Beverley",TRUE,"26:11",6,8,0.75,2,2,1,1,2,0.5,0,2,2,2,5,0,2,4,15,21,"2017-10-21_PHO_at_LAC","LAC"
