"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Brandon Ingram",TRUE,"30:31",3,15,0.2,0,1,0,6,7,0.857,0,5,5,4,0,0,1,1,12,-2,"2017-10-19_LAC_at_LAL","LAL"
"Larry Nance",TRUE,"29:30",7,11,0.636,0,0,NA,0,2,0,3,9,12,0,0,1,3,3,14,3,"2017-10-19_LAC_at_LAL","LAL"
"Lonzo Ball",TRUE,"29:21",1,6,0.167,1,3,0.333,0,2,0,0,9,9,4,1,1,2,1,3,-14,"2017-10-19_LAC_at_LAL","LAL"
"Brook Lopez",TRUE,"28:44",7,19,0.368,1,5,0.2,5,5,1,4,2,6,2,1,1,1,3,20,-1,"2017-10-19_LAC_at_LAL","LAL"
"Luol Deng",TRUE,"13:08",1,2,0.5,0,0,NA,0,0,NA,0,0,0,1,1,0,1,0,2,-7,"2017-10-19_LAC_at_LAL","LAL"
"Jordan Clarkson",FALSE,"22:31",7,16,0.438,2,3,0.667,2,3,0.667,0,2,2,2,2,0,3,0,18,-11,"2017-10-19_LAC_at_LAL","LAL"
"Kyle Kuzma",FALSE,"18:42",4,8,0.5,0,2,0,0,2,0,2,2,4,1,2,0,0,2,8,-17,"2017-10-19_LAC_at_LAL","LAL"
"Julius Randle",FALSE,"17:58",4,8,0.5,0,1,0,1,2,0.5,2,4,6,1,0,1,2,2,9,-25,"2017-10-19_LAC_at_LAL","LAL"
"Corey Brewer",FALSE,"16:26",1,2,0.5,0,1,0,0,0,NA,0,3,3,0,0,1,2,0,2,0,"2017-10-19_LAC_at_LAL","LAL"
"Alex Caruso",FALSE,"12:13",1,1,1,0,0,NA,0,0,NA,0,1,1,2,0,0,1,0,2,-10,"2017-10-19_LAC_at_LAL","LAL"
"Andrew Bogut",FALSE,"11:06",0,0,NA,0,0,NA,0,0,NA,0,2,2,1,1,2,3,3,0,-10,"2017-10-19_LAC_at_LAL","LAL"
"Tyler Ennis",FALSE,"9:50",1,3,0.333,0,0,NA,0,0,NA,1,1,2,3,0,0,0,0,2,14,"2017-10-19_LAC_at_LAL","LAL"
"Kentavious Caldwell-Pope",FALSE,"Player Suspended",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-19_LAC_at_LAL","LAL"
"Lonzo Ball",TRUE,"37:28",12,27,0.444,4,9,0.444,1,2,0.5,2,9,11,9,1,0,4,4,29,1,"2017-10-20_LAL_at_PHO","LAL"
"Brandon Ingram",TRUE,"36:43",9,14,0.643,3,4,0.75,4,6,0.667,0,2,2,1,1,1,2,6,25,8,"2017-10-20_LAL_at_PHO","LAL"
"Corey Brewer",TRUE,"33:26",2,6,0.333,0,0,NA,1,2,0.5,1,1,2,2,3,0,0,4,5,14,"2017-10-20_LAL_at_PHO","LAL"
"Brook Lopez",TRUE,"32:16",6,11,0.545,2,5,0.4,5,7,0.714,1,10,11,2,1,0,3,4,19,14,"2017-10-20_LAL_at_PHO","LAL"
"Larry Nance",TRUE,"21:51",5,10,0.5,0,1,0,4,4,1,1,5,6,1,2,2,3,4,14,11,"2017-10-20_LAL_at_PHO","LAL"
"Kyle Kuzma",FALSE,"28:24",6,7,0.857,1,2,0.5,2,3,0.667,0,3,3,2,0,0,0,0,15,-18,"2017-10-20_LAL_at_PHO","LAL"
"Jordan Clarkson",FALSE,"17:11",6,11,0.545,2,5,0.4,3,3,1,0,2,2,1,0,0,2,3,17,-7,"2017-10-20_LAL_at_PHO","LAL"
"Julius Randle",FALSE,"12:30",2,4,0.5,0,0,NA,4,6,0.667,0,1,1,1,0,0,3,3,8,-2,"2017-10-20_LAL_at_PHO","LAL"
"Andrew Bogut",FALSE,"7:19",0,1,0,0,0,NA,0,0,NA,0,3,3,1,0,0,1,2,0,-8,"2017-10-20_LAL_at_PHO","LAL"
"Alex Caruso",FALSE,"6:48",0,1,0,0,0,NA,0,0,NA,0,1,1,2,0,0,1,0,0,-3,"2017-10-20_LAL_at_PHO","LAL"
"Tyler Ennis",FALSE,"3:44",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,4,"2017-10-20_LAL_at_PHO","LAL"
"Josh Hart",FALSE,"2:20",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-4,"2017-10-20_LAL_at_PHO","LAL"
"Kentavious Caldwell-Pope",FALSE,"Player Suspended",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_LAL_at_PHO","LAL"
"Lonzo Ball",TRUE,"36:24",3,13,0.231,0,5,0,2,2,1,1,7,8,13,1,0,5,1,8,-24,"2017-10-22_NOP_at_LAL","LAL"
"Kentavious Caldwell-Pope",TRUE,"30:55",7,11,0.636,2,4,0.5,4,4,1,1,1,2,1,2,1,2,1,20,-19,"2017-10-22_NOP_at_LAL","LAL"
"Brandon Ingram",TRUE,"24:18",3,9,0.333,0,1,0,1,2,0.5,0,2,2,4,0,0,1,5,7,16,"2017-10-22_NOP_at_LAL","LAL"
"Brook Lopez",TRUE,"17:34",2,8,0.25,1,3,0.333,2,2,1,1,5,6,0,1,2,2,3,7,-9,"2017-10-22_NOP_at_LAL","LAL"
"Larry Nance",TRUE,"14:59",3,6,0.5,0,0,NA,0,0,NA,2,1,3,0,1,0,1,4,6,-10,"2017-10-22_NOP_at_LAL","LAL"
"Kyle Kuzma",FALSE,"30:26",7,13,0.538,2,6,0.333,4,4,1,1,5,6,2,1,0,2,3,20,2,"2017-10-22_NOP_at_LAL","LAL"
"Jordan Clarkson",FALSE,"25:32",10,18,0.556,3,6,0.5,1,1,1,0,0,0,5,0,0,2,0,24,4,"2017-10-22_NOP_at_LAL","LAL"
"Julius Randle",FALSE,"24:05",5,6,0.833,0,0,NA,1,3,0.333,1,1,2,1,1,2,2,4,11,2,"2017-10-22_NOP_at_LAL","LAL"
"Josh Hart",FALSE,"14:38",2,3,0.667,1,2,0.5,0,0,NA,2,2,4,1,0,0,0,1,5,21,"2017-10-22_NOP_at_LAL","LAL"
"Andrew Bogut",FALSE,"8:56",1,1,1,0,0,NA,0,0,NA,0,3,3,0,0,1,0,1,2,1,"2017-10-22_NOP_at_LAL","LAL"
"Corey Brewer",FALSE,"8:44",1,1,1,0,0,NA,0,2,0,0,2,2,0,0,0,0,0,2,-11,"2017-10-22_NOP_at_LAL","LAL"
"Tyler Ennis",FALSE,"3:29",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-8,"2017-10-22_NOP_at_LAL","LAL"
"Ivica Zubac",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-22_NOP_at_LAL","LAL"
"Kentavious Caldwell-Pope",TRUE,"41:34",5,13,0.385,3,8,0.375,1,1,1,0,6,6,5,2,0,3,4,14,7,"2017-10-25_WAS_at_LAL","LAL"
"Lonzo Ball",TRUE,"39:38",2,11,0.182,0,5,0,2,3,0.667,1,7,8,10,1,1,1,3,6,13,"2017-10-25_WAS_at_LAL","LAL"
"Brandon Ingram",TRUE,"39:00",8,16,0.5,0,3,0,3,3,1,2,8,10,3,1,1,4,4,19,9,"2017-10-25_WAS_at_LAL","LAL"
"Larry Nance",TRUE,"24:07",8,10,0.8,0,0,NA,2,3,0.667,3,7,10,0,2,0,2,3,18,-3,"2017-10-25_WAS_at_LAL","LAL"
"Brook Lopez",TRUE,"22:44",3,8,0.375,1,2,0.5,2,2,1,0,1,1,3,1,0,1,2,9,2,"2017-10-25_WAS_at_LAL","LAL"
"Kyle Kuzma",FALSE,"33:47",6,15,0.4,1,6,0.167,2,2,1,0,3,3,0,0,0,3,1,15,4,"2017-10-25_WAS_at_LAL","LAL"
"Julius Randle",FALSE,"19:29",5,7,0.714,1,1,1,0,0,NA,0,9,9,1,0,3,2,3,11,5,"2017-10-25_WAS_at_LAL","LAL"
"Jordan Clarkson",FALSE,"17:16",3,8,0.375,1,3,0.333,1,2,0.5,0,1,1,4,1,0,4,3,8,-9,"2017-10-25_WAS_at_LAL","LAL"
"Josh Hart",FALSE,"15:32",1,3,0.333,0,2,0,0,0,NA,0,5,5,0,1,0,0,1,2,-12,"2017-10-25_WAS_at_LAL","LAL"
"Corey Brewer",FALSE,"9:25",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,1,2,0,-3,"2017-10-25_WAS_at_LAL","LAL"
"Andrew Bogut",FALSE,"2:28",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,2,"2017-10-25_WAS_at_LAL","LAL"
"Tyler Ennis",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-25_WAS_at_LAL","LAL"
"Ivica Zubac",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-25_WAS_at_LAL","LAL"
"Lonzo Ball",TRUE,"31:30",2,7,0.286,1,4,0.25,0,0,NA,1,6,7,6,2,0,4,0,5,-15,"2017-10-27_TOR_at_LAL","LAL"
"Kentavious Caldwell-Pope",TRUE,"27:54",1,5,0.2,0,1,0,0,0,NA,0,7,7,2,0,0,0,3,2,-17,"2017-10-27_TOR_at_LAL","LAL"
"Brook Lopez",TRUE,"23:48",6,14,0.429,0,3,0,1,2,0.5,2,3,5,2,1,3,3,2,13,-21,"2017-10-27_TOR_at_LAL","LAL"
"Brandon Ingram",TRUE,"23:27",3,9,0.333,0,2,0,3,4,0.75,1,1,2,1,0,0,3,1,9,-15,"2017-10-27_TOR_at_LAL","LAL"
"Larry Nance",TRUE,"16:31",3,3,1,0,0,NA,1,2,0.5,0,2,2,1,1,0,1,4,7,-14,"2017-10-27_TOR_at_LAL","LAL"
"Kyle Kuzma",FALSE,"32:00",7,14,0.5,1,5,0.2,0,0,NA,2,8,10,1,0,0,4,2,15,3,"2017-10-27_TOR_at_LAL","LAL"
"Julius Randle",FALSE,"23:41",6,8,0.75,0,1,0,6,8,0.75,1,4,5,3,1,1,1,3,18,14,"2017-10-27_TOR_at_LAL","LAL"
"Corey Brewer",FALSE,"22:11",0,1,0,0,0,NA,3,4,0.75,1,2,3,3,0,1,0,2,3,2,"2017-10-27_TOR_at_LAL","LAL"
"Josh Hart",FALSE,"20:06",4,4,1,0,0,NA,1,2,0.5,0,4,4,0,2,1,0,3,9,8,"2017-10-27_TOR_at_LAL","LAL"
"Jordan Clarkson",FALSE,"13:52",4,11,0.364,1,6,0.167,2,2,1,1,1,2,0,0,0,4,2,11,4,"2017-10-27_TOR_at_LAL","LAL"
"Tyler Ennis",FALSE,"5:00",0,3,0,0,1,0,0,0,NA,0,2,2,1,0,0,1,0,0,6,"2017-10-27_TOR_at_LAL","LAL"
"Andrew Bogut",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-27_TOR_at_LAL","LAL"
"Ivica Zubac",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-27_TOR_at_LAL","LAL"
"Lonzo Ball",TRUE,"35:47",3,10,0.3,3,6,0.5,0,0,NA,1,1,2,4,2,0,5,2,9,-19,"2017-10-28_LAL_at_UTA","LAL"
"Brandon Ingram",TRUE,"33:51",7,14,0.5,1,2,0.5,1,4,0.25,0,1,1,2,4,1,4,2,16,-24,"2017-10-28_LAL_at_UTA","LAL"
"Larry Nance",TRUE,"31:43",1,3,0.333,0,1,0,3,4,0.75,5,5,10,2,2,1,3,4,5,-17,"2017-10-28_LAL_at_UTA","LAL"
"Kentavious Caldwell-Pope",TRUE,"28:06",2,11,0.182,0,5,0,3,5,0.6,0,3,3,1,2,0,2,1,7,-20,"2017-10-28_LAL_at_UTA","LAL"
"Brook Lopez",TRUE,"17:36",2,7,0.286,0,2,0,2,2,1,1,2,3,0,0,2,1,4,6,-10,"2017-10-28_LAL_at_UTA","LAL"
"Kyle Kuzma",FALSE,"22:16",4,10,0.4,1,3,0.333,0,0,NA,1,2,3,3,1,0,0,1,9,-3,"2017-10-28_LAL_at_UTA","LAL"
"Jordan Clarkson",FALSE,"20:06",7,12,0.583,0,1,0,1,1,1,1,3,4,2,0,0,0,1,15,2,"2017-10-28_LAL_at_UTA","LAL"
"Julius Randle",FALSE,"18:41",2,7,0.286,0,0,NA,2,2,1,3,4,7,2,0,0,0,4,6,3,"2017-10-28_LAL_at_UTA","LAL"
"Josh Hart",FALSE,"16:21",2,4,0.5,0,1,0,2,2,1,0,2,2,0,1,0,0,0,6,7,"2017-10-28_LAL_at_UTA","LAL"
"Andrew Bogut",FALSE,"5:44",0,0,NA,0,0,NA,0,0,NA,2,2,4,0,0,0,1,1,0,-3,"2017-10-28_LAL_at_UTA","LAL"
"Corey Brewer",FALSE,"5:22",1,3,0.333,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,2,5,"2017-10-28_LAL_at_UTA","LAL"
"Tyler Ennis",FALSE,"4:27",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,4,"2017-10-28_LAL_at_UTA","LAL"
"Ivica Zubac",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-28_LAL_at_UTA","LAL"
"Brandon Ingram",TRUE,"34:15",6,12,0.5,1,2,0.5,0,0,NA,0,5,5,6,4,1,5,1,13,17,"2017-10-31_DET_at_LAL","LAL"
"Kentavious Caldwell-Pope",TRUE,"27:57",4,10,0.4,2,5,0.4,3,4,0.75,0,6,6,2,1,0,2,2,13,12,"2017-10-31_DET_at_LAL","LAL"
"Lonzo Ball",TRUE,"27:46",6,13,0.462,1,3,0.333,0,0,NA,2,4,6,3,0,2,0,0,13,8,"2017-10-31_DET_at_LAL","LAL"
"Larry Nance",TRUE,"27:12",5,10,0.5,0,0,NA,4,4,1,3,9,12,2,3,0,1,0,14,12,"2017-10-31_DET_at_LAL","LAL"
