"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Dion Waiters",TRUE,"38:18",7,17,0.412,1,6,0.167,0,0,NA,0,0,0,4,2,1,3,1,15,-6,"2017-10-18_MIA_at_ORL","MIA"
"Hassan Whiteside",TRUE,"36:27",11,18,0.611,1,1,1,3,3,1,5,17,22,1,0,1,1,1,26,-5,"2017-10-18_MIA_at_ORL","MIA"
"Josh Richardson",TRUE,"35:09",4,9,0.444,2,7,0.286,0,0,NA,0,2,2,2,0,1,2,3,10,3,"2017-10-18_MIA_at_ORL","MIA"
"Goran Dragic",TRUE,"30:37",6,19,0.316,1,4,0.25,4,4,1,3,2,5,6,1,0,0,0,17,-9,"2017-10-18_MIA_at_ORL","MIA"
"Kelly Olynyk",TRUE,"20:47",3,7,0.429,1,2,0.5,3,3,1,0,5,5,3,0,0,0,4,10,-10,"2017-10-18_MIA_at_ORL","MIA"
"Justise Winslow",FALSE,"23:16",4,8,0.5,1,1,1,1,2,0.5,1,3,4,2,1,0,1,2,10,-13,"2017-10-18_MIA_at_ORL","MIA"
"Tyler Johnson",FALSE,"21:18",3,9,0.333,1,3,0.333,0,0,NA,0,2,2,1,0,0,1,2,7,1,"2017-10-18_MIA_at_ORL","MIA"
"James Johnson",FALSE,"18:43",5,9,0.556,0,2,0,1,4,0.25,2,2,4,8,1,1,4,5,11,6,"2017-10-18_MIA_at_ORL","MIA"
"Wayne Ellington",FALSE,"9:44",1,5,0.2,0,4,0,1,1,1,0,0,0,0,1,0,1,0,3,-5,"2017-10-18_MIA_at_ORL","MIA"
"Bam Adebayo",FALSE,"5:41",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,3,"2017-10-18_MIA_at_ORL","MIA"
"Udonis Haslem",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_MIA_at_ORL","MIA"
"Jordan Mickey",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_MIA_at_ORL","MIA"
"Matt Williams",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_MIA_at_ORL","MIA"
"Josh Richardson",TRUE,"37:34",4,8,0.5,3,5,0.6,1,2,0.5,1,7,8,4,0,1,3,3,12,4,"2017-10-21_IND_at_MIA","MIA"
"Dion Waiters",TRUE,"32:36",8,16,0.5,2,6,0.333,1,3,0.333,0,1,1,2,2,1,1,4,19,-1,"2017-10-21_IND_at_MIA","MIA"
"Goran Dragic",TRUE,"32:09",9,13,0.692,2,2,1,3,3,1,1,4,5,3,0,0,2,2,23,-1,"2017-10-21_IND_at_MIA","MIA"
"James Johnson",TRUE,"29:44",5,10,0.5,1,5,0.2,3,5,0.6,1,3,4,8,0,5,1,1,14,3,"2017-10-21_IND_at_MIA","MIA"
"Jordan Mickey",TRUE,"13:30",4,5,0.8,0,0,NA,0,1,0,1,5,6,0,0,0,1,2,8,6,"2017-10-21_IND_at_MIA","MIA"
"Kelly Olynyk",FALSE,"27:19",5,10,0.5,3,5,0.6,0,0,NA,1,8,9,4,2,1,2,3,13,-3,"2017-10-21_IND_at_MIA","MIA"
