"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Anthony Davis",TRUE,"40:14",9,23,0.391,1,2,0.5,14,17,0.824,7,11,18,0,0,1,5,5,33,-15,"2017-10-18_NOP_at_MEM","NOP"
"Jrue Holiday",TRUE,"38:30",2,11,0.182,0,3,0,0,0,NA,2,4,6,4,1,0,3,5,4,-2,"2017-10-18_NOP_at_MEM","NOP"
"DeMarcus Cousins",TRUE,"38:24",9,21,0.429,3,9,0.333,7,8,0.875,2,8,10,2,0,7,4,4,28,6,"2017-10-18_NOP_at_MEM","NOP"
"E'Twaun Moore",TRUE,"34:23",5,11,0.455,0,2,0,1,1,1,1,1,2,4,1,0,2,3,11,0,"2017-10-18_NOP_at_MEM","NOP"
"Dante Cunningham",TRUE,"25:51",2,4,0.5,1,3,0.333,2,3,0.667,3,6,9,0,1,1,0,1,7,-8,"2017-10-18_NOP_at_MEM","NOP"
"Ian Clark",FALSE,"21:05",1,3,0.333,1,3,0.333,0,0,NA,0,3,3,2,1,0,1,3,3,-13,"2017-10-18_NOP_at_MEM","NOP"
"Darius Miller",FALSE,"17:10",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,1,0,4,0,-12,"2017-10-18_NOP_at_MEM","NOP"
"Jordan Crawford",FALSE,"12:40",2,4,0.5,1,2,0.5,0,0,NA,1,0,1,3,0,0,2,4,5,-10,"2017-10-18_NOP_at_MEM","NOP"
"Tony Allen",FALSE,"10:53",0,1,0,0,0,NA,0,0,NA,0,2,2,0,0,2,1,2,0,-4,"2017-10-18_NOP_at_MEM","NOP"
"Cheick Diallo",FALSE,"0:50",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-2,"2017-10-18_NOP_at_MEM","NOP"
"Charles Cooke",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_NOP_at_MEM","NOP"
"Jalen Jones",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_NOP_at_MEM","NOP"
"Anthony Davis",TRUE,"40:07",15,21,0.714,3,4,0.75,2,5,0.4,5,10,15,5,3,1,4,1,35,-5,"2017-10-20_GSW_at_NOP","NOP"
"Jrue Holiday",TRUE,"34:37",5,17,0.294,2,6,0.333,1,2,0.5,1,6,7,3,1,0,2,4,13,-6,"2017-10-20_GSW_at_NOP","NOP"
"DeMarcus Cousins",TRUE,"32:36",11,23,0.478,3,8,0.375,10,13,0.769,4,10,14,5,3,1,7,5,35,7,"2017-10-20_GSW_at_NOP","NOP"
"Dante Cunningham",TRUE,"27:37",2,8,0.25,1,5,0.2,1,2,0.5,1,5,6,0,0,1,0,2,6,-12,"2017-10-20_GSW_at_NOP","NOP"
"E'Twaun Moore",TRUE,"26:30",0,5,0,0,3,0,0,0,NA,2,0,2,2,0,0,0,2,0,-8,"2017-10-20_GSW_at_NOP","NOP"
"Ian Clark",FALSE,"26:42",5,7,0.714,4,4,1,0,0,NA,0,1,1,3,1,0,0,2,14,-3,"2017-10-20_GSW_at_NOP","NOP"
"Jordan Crawford",FALSE,"24:39",5,10,0.5,3,3,1,0,0,NA,1,1,2,6,0,1,2,2,13,-2,"2017-10-20_GSW_at_NOP","NOP"
"Darius Miller",FALSE,"20:09",2,5,0.4,0,3,0,0,0,NA,0,2,2,2,0,0,1,1,4,-15,"2017-10-20_GSW_at_NOP","NOP"
"Tony Allen",FALSE,"6:53",0,2,0,0,0,NA,0,0,NA,2,0,2,0,0,0,1,0,0,4,"2017-10-20_GSW_at_NOP","NOP"
"Cheick Diallo",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_GSW_at_NOP","NOP"
"Jalen Jones",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_GSW_at_NOP","NOP"
"Charles Cooke",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_GSW_at_NOP","NOP"
"Anthony Davis",TRUE,"39:00",9,18,0.5,1,5,0.2,8,10,0.8,3,14,17,3,3,3,3,1,27,8,"2017-10-22_NOP_at_LAL","NOP"
"Jrue Holiday",TRUE,"38:10",6,11,0.545,0,3,0,2,2,1,1,4,5,6,4,0,4,4,14,4,"2017-10-22_NOP_at_LAL","NOP"
"DeMarcus Cousins",TRUE,"35:33",8,17,0.471,1,6,0.167,5,8,0.625,1,10,11,8,0,2,6,5,22,6,"2017-10-22_NOP_at_LAL","NOP"
"E'Twaun Moore",TRUE,"32:27",8,9,0.889,3,4,0.75,0,1,0,1,1,2,0,0,0,1,4,19,18,"2017-10-22_NOP_at_LAL","NOP"
"Dante Cunningham",TRUE,"26:26",3,6,0.5,0,1,0,0,0,NA,0,4,4,1,1,0,0,2,6,9,"2017-10-22_NOP_at_LAL","NOP"
"Jameer Nelson",FALSE,"24:07",2,4,0.5,1,3,0.333,0,0,NA,0,1,1,5,1,0,1,1,5,4,"2017-10-22_NOP_at_LAL","NOP"
"Ian Clark",FALSE,"23:32",6,9,0.667,2,5,0.4,0,0,NA,0,2,2,2,2,0,2,0,14,-16,"2017-10-22_NOP_at_LAL","NOP"
"Darius Miller",FALSE,"13:03",2,6,0.333,2,5,0.4,0,0,NA,0,0,0,0,1,0,1,0,6,3,"2017-10-22_NOP_at_LAL","NOP"
"Tony Allen",FALSE,"7:42",3,3,1,0,0,NA,0,0,NA,0,0,0,1,2,0,0,3,6,-1,"2017-10-22_NOP_at_LAL","NOP"
"Cheick Diallo",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-22_NOP_at_LAL","NOP"
"Jalen Jones",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-22_NOP_at_LAL","NOP"
"Charles Cooke",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-22_NOP_at_LAL","NOP"
"DeMarcus Cousins",TRUE,"38:57",12,23,0.522,3,10,0.3,12,17,0.706,2,11,13,3,1,3,8,4,39,6,"2017-10-24_NOP_at_POR","NOP"
"Jrue Holiday",TRUE,"35:00",5,14,0.357,1,4,0.25,3,3,1,0,5,5,7,1,1,3,3,14,-8,"2017-10-24_NOP_at_POR","NOP"
"Dante Cunningham",TRUE,"27:54",0,5,0,0,2,0,0,0,NA,1,4,5,0,1,0,0,3,0,-19,"2017-10-24_NOP_at_POR","NOP"
"E'Twaun Moore",TRUE,"27:50",3,5,0.6,2,3,0.667,0,0,NA,0,2,2,2,2,1,1,3,8,-4,"2017-10-24_NOP_at_POR","NOP"
"Anthony Davis",TRUE,"5:01",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,1,0,0,2,-1,"2017-10-24_NOP_at_POR","NOP"
"Jameer Nelson",FALSE,"30:34",3,9,0.333,2,6,0.333,2,2,1,0,2,2,2,0,0,2,1,10,-4,"2017-10-24_NOP_at_POR","NOP"
"Ian Clark",FALSE,"26:51",3,8,0.375,1,3,0.333,2,3,0.667,0,7,7,3,0,0,0,1,9,-5,"2017-10-24_NOP_at_POR","NOP"
"Darius Miller",FALSE,"20:04",1,2,0.5,0,1,0,3,3,1,0,2,2,0,0,0,1,3,5,-7,"2017-10-24_NOP_at_POR","NOP"
"Tony Allen",FALSE,"14:58",1,5,0.2,0,1,0,1,2,0.5,1,0,1,0,0,0,2,4,3,5,"2017-10-24_NOP_at_POR","NOP"
"Cheick Diallo",FALSE,"12:51",1,3,0.333,0,0,NA,1,2,0.5,0,4,4,0,0,1,0,4,3,-13,"2017-10-24_NOP_at_POR","NOP"
"Charles Cooke",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-24_NOP_at_POR","NOP"
"Jalen Jones",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-24_NOP_at_POR","NOP"
"DeMarcus Cousins",TRUE,"43:46",14,25,0.56,3,5,0.6,10,12,0.833,8,15,23,6,1,1,4,5,41,1,"2017-10-26_NOP_at_SAC","NOP"
"Jrue Holiday",TRUE,"40:36",7,13,0.538,2,4,0.5,4,5,0.8,0,4,4,7,0,1,3,4,20,14,"2017-10-26_NOP_at_SAC","NOP"
"E'Twaun Moore",TRUE,"38:12",5,12,0.417,2,5,0.4,0,0,NA,0,3,3,1,1,0,3,3,12,11,"2017-10-26_NOP_at_SAC","NOP"
"Dante Cunningham",TRUE,"34:28",2,8,0.25,2,6,0.333,0,2,0,1,3,4,1,1,0,0,3,6,13,"2017-10-26_NOP_at_SAC","NOP"
