"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Kristaps Porzingis",TRUE,"38:17",11,25,0.44,2,6,0.333,7,9,0.778,3,9,12,1,0,1,2,3,31,-17,"2017-10-19_NYK_at_OKC","NYK"
"Courtney Lee",TRUE,"31:27",4,9,0.444,1,2,0.5,0,0,NA,0,2,2,3,1,0,2,0,9,-22,"2017-10-19_NYK_at_OKC","NYK"
"Tim Hardaway",TRUE,"28:56",3,10,0.3,2,7,0.286,0,0,NA,0,0,0,1,0,0,2,5,8,-6,"2017-10-19_NYK_at_OKC","NYK"
"Enes Kanter",TRUE,"22:17",5,10,0.5,0,1,0,0,0,NA,2,5,7,1,3,0,4,1,10,-22,"2017-10-19_NYK_at_OKC","NYK"
"Ramon Sessions",TRUE,"20:38",1,3,0.333,1,2,0.5,0,0,NA,0,2,2,1,1,1,3,3,3,-23,"2017-10-19_NYK_at_OKC","NYK"
"Doug McDermott",FALSE,"23:49",2,5,0.4,0,1,0,0,0,NA,1,2,3,4,0,1,1,0,4,4,"2017-10-19_NYK_at_OKC","NYK"
"Ron Baker",FALSE,"22:38",1,3,0.333,1,2,0.5,3,8,0.375,0,2,2,4,3,0,4,1,6,4,"2017-10-19_NYK_at_OKC","NYK"
"Kyle O'Quinn",FALSE,"21:46",2,5,0.4,0,1,0,2,2,1,3,7,10,2,0,0,2,4,6,-1,"2017-10-19_NYK_at_OKC","NYK"
"Lance Thomas",FALSE,"15:30",1,4,0.25,0,2,0,0,0,NA,2,1,3,1,0,0,2,4,2,-23,"2017-10-19_NYK_at_OKC","NYK"
"Frank Ntilikina",FALSE,"7:32",0,2,0,0,0,NA,0,0,NA,0,0,0,1,0,0,1,2,0,-2,"2017-10-19_NYK_at_OKC","NYK"
"Willy Hernangomez",FALSE,"3:46",1,1,1,0,0,NA,1,1,1,0,0,0,0,0,1,2,0,3,0,"2017-10-19_NYK_at_OKC","NYK"
"Damyean Dotson",FALSE,"2:48",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"2017-10-19_NYK_at_OKC","NYK"
"Michael Beasley",FALSE,"0:36",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,3,"2017-10-19_NYK_at_OKC","NYK"
"Kristaps Porzingis",TRUE,"34:47",11,20,0.55,3,7,0.429,8,10,0.8,0,5,5,2,1,1,2,3,33,-5,"2017-10-21_DET_at_NYK","NYK"
"Tim Hardaway",TRUE,"34:32",4,16,0.25,3,10,0.3,3,3,1,1,0,1,2,0,0,2,2,14,-7,"2017-10-21_DET_at_NYK","NYK"
"Ramon Sessions",TRUE,"32:42",2,8,0.25,0,4,0,6,8,0.75,1,6,7,5,0,0,1,5,10,-11,"2017-10-21_DET_at_NYK","NYK"
"Courtney Lee",TRUE,"28:58",2,8,0.25,0,2,0,0,0,NA,0,2,2,1,2,0,3,2,4,-5,"2017-10-21_DET_at_NYK","NYK"
"Enes Kanter",TRUE,"23:42",7,10,0.7,0,0,NA,3,3,1,5,5,10,0,0,0,1,2,17,-9,"2017-10-21_DET_at_NYK","NYK"
"Doug McDermott",FALSE,"27:50",2,5,0.4,1,4,0.25,0,0,NA,1,2,3,1,1,1,0,2,5,1,"2017-10-21_DET_at_NYK","NYK"
"Kyle O'Quinn",FALSE,"24:18",6,7,0.857,0,0,NA,3,3,1,3,4,7,3,1,0,1,3,15,5,"2017-10-21_DET_at_NYK","NYK"
"Michael Beasley",FALSE,"17:53",2,6,0.333,0,2,0,2,4,0.5,1,3,4,1,1,0,1,1,6,4,"2017-10-21_DET_at_NYK","NYK"
"Ron Baker",FALSE,"15:18",1,1,1,1,1,1,0,0,NA,0,0,0,5,0,0,1,1,3,7,"2017-10-21_DET_at_NYK","NYK"
"Lance Thomas",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-21_DET_at_NYK","NYK"
"Willy Hernangomez",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-21_DET_at_NYK","NYK"
"Jarrett Jack",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-21_DET_at_NYK","NYK"
"Damyean Dotson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-21_DET_at_NYK","NYK"
"Courtney Lee",TRUE,"35:06",6,10,0.6,1,3,0.333,0,0,NA,0,2,2,3,1,0,1,2,13,-10,"2017-10-24_NYK_at_BOS","NYK"
"Kristaps Porzingis",TRUE,"31:41",3,14,0.214,0,2,0,6,9,0.667,1,4,5,0,0,0,2,1,12,-14,"2017-10-24_NYK_at_BOS","NYK"
"Enes Kanter",TRUE,"29:46",7,11,0.636,0,0,NA,2,3,0.667,9,10,19,0,0,1,3,2,16,-10,"2017-10-24_NYK_at_BOS","NYK"
"Tim Hardaway",TRUE,"27:56",2,11,0.182,0,5,0,2,4,0.5,0,3,3,1,0,0,1,0,6,-11,"2017-10-24_NYK_at_BOS","NYK"
"Ramon Sessions",TRUE,"25:39",4,8,0.5,0,0,NA,0,0,NA,0,1,1,7,3,0,3,2,8,-11,"2017-10-24_NYK_at_BOS","NYK"
"Jarrett Jack",FALSE,"17:37",2,5,0.4,0,0,NA,0,0,NA,0,2,2,2,0,0,0,2,4,-12,"2017-10-24_NYK_at_BOS","NYK"
"Doug McDermott",FALSE,"16:42",3,5,0.6,0,0,NA,0,0,NA,1,3,4,2,1,0,1,2,6,-7,"2017-10-24_NYK_at_BOS","NYK"
"Michael Beasley",FALSE,"13:30",2,6,0.333,0,1,0,2,2,1,0,3,3,2,0,0,2,1,6,-8,"2017-10-24_NYK_at_BOS","NYK"
"Willy Hernangomez",FALSE,"11:10",5,6,0.833,0,0,NA,2,3,0.667,0,1,1,0,2,0,0,3,12,-1,"2017-10-24_NYK_at_BOS","NYK"
"Lance Thomas",FALSE,"10:03",1,4,0.25,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,2,-5,"2017-10-24_NYK_at_BOS","NYK"
"Ron Baker",FALSE,"9:48",0,3,0,0,0,NA,2,2,1,0,0,0,2,1,0,1,1,2,-8,"2017-10-24_NYK_at_BOS","NYK"
"Kyle O'Quinn",FALSE,"6:18",1,2,0.5,0,0,NA,0,2,0,0,2,2,1,0,1,0,1,2,-10,"2017-10-24_NYK_at_BOS","NYK"
"Damyean Dotson",FALSE,"4:44",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,2,"2017-10-24_NYK_at_BOS","NYK"
"Tim Hardaway",TRUE,"36:44",4,12,0.333,1,5,0.2,2,3,0.667,1,2,3,2,0,0,1,2,11,14,"2017-10-27_BRK_at_NYK","NYK"
