"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Ben Simmons",TRUE,"34:40",7,14,0.5,0,0,NA,4,6,0.667,3,7,10,5,2,1,1,3,18,3,"2017-10-18_PHI_at_WAS","PHI"
"J.J. Redick",TRUE,"32:23",4,10,0.4,4,8,0.5,0,0,NA,0,2,2,4,1,0,2,4,12,17,"2017-10-18_PHI_at_WAS","PHI"
"Robert Covington",TRUE,"29:08",9,15,0.6,7,11,0.636,4,4,1,2,5,7,1,1,2,5,4,29,10,"2017-10-18_PHI_at_WAS","PHI"
"Jerryd Bayless",TRUE,"27:52",5,10,0.5,3,7,0.429,0,0,NA,0,3,3,3,1,0,2,4,13,11,"2017-10-18_PHI_at_WAS","PHI"
"Joel Embiid",TRUE,"26:57",7,15,0.467,0,4,0,4,4,1,1,12,13,3,0,1,4,2,18,1,"2017-10-18_PHI_at_WAS","PHI"
"Dario Saric",FALSE,"22:42",1,5,0.2,0,2,0,1,1,1,1,2,3,2,0,1,0,3,3,-9,"2017-10-18_PHI_at_WAS","PHI"
"Timothe Luwawu-Cabarrot",FALSE,"18:21",2,6,0.333,1,3,0.333,0,0,NA,1,1,2,2,1,0,0,2,5,-19,"2017-10-18_PHI_at_WAS","PHI"
"Markelle Fultz",FALSE,"17:54",5,9,0.556,0,0,NA,0,2,0,2,1,3,1,0,1,2,0,10,-18,"2017-10-18_PHI_at_WAS","PHI"
"Amir Johnson",FALSE,"15:08",2,7,0.286,0,0,NA,1,2,0.5,1,4,5,1,0,0,1,6,5,-7,"2017-10-18_PHI_at_WAS","PHI"
"T.J. McConnell",FALSE,"14:55",1,2,0.5,0,0,NA,0,0,NA,0,0,0,3,0,0,0,0,2,-14,"2017-10-18_PHI_at_WAS","PHI"
"Nik Stauskas",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_PHI_at_WAS","PHI"
"Justin Anderson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_PHI_at_WAS","PHI"
"Jahlil Okafor",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_PHI_at_WAS","PHI"
"Ben Simmons",TRUE,"36:54",4,11,0.364,0,0,NA,3,6,0.5,3,8,11,5,1,0,4,2,11,-7,"2017-10-20_BOS_at_PHI","PHI"
"J.J. Redick",TRUE,"35:53",7,16,0.438,4,7,0.571,1,1,1,0,0,0,4,0,0,0,1,19,-14,"2017-10-20_BOS_at_PHI","PHI"
"Jerryd Bayless",TRUE,"30:27",7,12,0.583,4,6,0.667,0,0,NA,0,1,1,1,1,0,0,4,18,-9,"2017-10-20_BOS_at_PHI","PHI"
"Joel Embiid",TRUE,"28:02",4,16,0.25,0,6,0,3,3,1,2,12,14,3,1,2,3,1,11,-4,"2017-10-20_BOS_at_PHI","PHI"
"Robert Covington",TRUE,"27:07",5,10,0.5,2,6,0.333,0,0,NA,2,0,2,2,0,1,2,5,12,-11,"2017-10-20_BOS_at_PHI","PHI"
"Dario Saric",FALSE,"23:41",4,10,0.4,0,4,0,1,2,0.5,4,6,10,2,0,1,6,5,9,2,"2017-10-20_BOS_at_PHI","PHI"
"Markelle Fultz",FALSE,"16:53",2,9,0.222,0,0,NA,2,2,1,1,2,3,1,1,0,0,4,6,-7,"2017-10-20_BOS_at_PHI","PHI"
"Timothe Luwawu-Cabarrot",FALSE,"14:17",1,4,0.25,0,2,0,0,0,NA,0,0,0,1,1,0,0,2,2,8,"2017-10-20_BOS_at_PHI","PHI"
"T.J. McConnell",FALSE,"12:19",1,2,0.5,0,1,0,2,2,1,1,3,4,0,2,0,1,5,4,-3,"2017-10-20_BOS_at_PHI","PHI"
"Amir Johnson",FALSE,"11:23",0,2,0,0,0,NA,0,0,NA,1,1,2,1,0,0,0,1,0,-1,"2017-10-20_BOS_at_PHI","PHI"
"Justin Anderson",FALSE,"3:04",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-4,"2017-10-20_BOS_at_PHI","PHI"
"Nik Stauskas",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_BOS_at_PHI","PHI"
"Jahlil Okafor",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_BOS_at_PHI","PHI"
