"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"LaMarcus Aldridge",TRUE,"38:49",9,21,0.429,1,2,0.5,6,7,0.857,5,5,10,4,0,2,3,2,25,15,"2017-10-18_MIN_at_SAS","SAS"
"Danny Green",TRUE,"32:42",7,16,0.438,3,7,0.429,0,0,NA,0,4,4,2,2,2,2,2,17,11,"2017-10-18_MIN_at_SAS","SAS"
"Kyle Anderson",TRUE,"29:41",5,9,0.556,1,1,1,1,2,0.5,0,9,9,1,0,1,0,1,12,1,"2017-10-18_MIN_at_SAS","SAS"
"Pau Gasol",TRUE,"28:48",3,8,0.375,1,3,0.333,0,0,NA,2,5,7,4,0,3,1,1,7,6,"2017-10-18_MIN_at_SAS","SAS"
"Dejounte Murray",TRUE,"25:24",7,8,0.875,0,0,NA,2,2,1,2,3,5,2,2,1,2,4,16,4,"2017-10-18_MIN_at_SAS","SAS"
"Rudy Gay",FALSE,"23:42",5,9,0.556,0,1,0,4,4,1,1,4,5,2,1,0,0,3,14,3,"2017-10-18_MIN_at_SAS","SAS"
"Patty Mills",FALSE,"22:26",1,4,0.25,1,2,0.5,0,0,NA,0,2,2,2,2,1,1,3,3,6,"2017-10-18_MIN_at_SAS","SAS"
"Manu Ginobili",FALSE,"20:48",2,7,0.286,1,4,0.25,4,4,1,0,3,3,4,1,1,1,2,9,6,"2017-10-18_MIN_at_SAS","SAS"
"Joffrey Lauvergne",FALSE,"12:54",2,6,0.333,0,0,NA,0,0,NA,2,1,3,1,0,0,1,0,4,0,"2017-10-18_MIN_at_SAS","SAS"
"Davis Bertans",FALSE,"4:16",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,0,0,-6,"2017-10-18_MIN_at_SAS","SAS"
"Brandon Paul",FALSE,"0:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-2,"2017-10-18_MIN_at_SAS","SAS"
"Bryn Forbes",FALSE,"0:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-2,"2017-10-18_MIN_at_SAS","SAS"
"Derrick White",FALSE,"0:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-2,"2017-10-18_MIN_at_SAS","SAS"
"LaMarcus Aldridge",TRUE,"32:46",12,24,0.5,0,2,0,4,4,1,5,5,10,3,1,2,1,2,28,13,"2017-10-21_SAS_at_CHI","SAS"
