"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"DeMar DeRozan",TRUE,"32:03",2,9,0.222,0,0,NA,7,8,0.875,1,5,6,5,2,1,5,1,11,-3,"2017-10-19_CHI_at_TOR","TOR"
"Kyle Lowry",TRUE,"31:20",4,7,0.571,1,3,0.333,3,3,1,0,4,4,9,1,0,4,1,12,1,"2017-10-19_CHI_at_TOR","TOR"
"Jonas Valanciunas",TRUE,"30:30",9,17,0.529,0,1,0,5,6,0.833,8,7,15,2,2,0,1,4,23,-2,"2017-10-19_CHI_at_TOR","TOR"
"Norman Powell",TRUE,"24:35",5,11,0.455,3,6,0.5,2,2,1,0,4,4,1,1,0,2,2,15,1,"2017-10-19_CHI_at_TOR","TOR"
"Serge Ibaka",TRUE,"24:14",3,8,0.375,2,4,0.5,0,0,NA,1,3,4,0,0,2,0,2,8,-4,"2017-10-19_CHI_at_TOR","TOR"
"Delon Wright",FALSE,"23:22",4,6,0.667,0,1,0,5,5,1,1,1,2,5,1,0,0,0,13,21,"2017-10-19_CHI_at_TOR","TOR"
"C.J. Miles",FALSE,"20:01",7,12,0.583,6,9,0.667,2,2,1,0,5,5,0,0,0,0,4,22,25,"2017-10-19_CHI_at_TOR","TOR"
"Jakob Poeltl",FALSE,"17:30",1,2,0.5,0,0,NA,0,0,NA,0,5,5,0,1,0,3,3,2,19,"2017-10-19_CHI_at_TOR","TOR"
"OG Anunoby",FALSE,"17:14",3,6,0.5,1,3,0.333,2,2,1,2,1,3,2,0,0,0,1,9,26,"2017-10-19_CHI_at_TOR","TOR"
"Fred VanVleet",FALSE,"12:59",1,5,0.2,0,2,0,0,0,NA,0,1,1,2,1,1,2,1,2,12,"2017-10-19_CHI_at_TOR","TOR"
"Pascal Siakam",FALSE,"4:58",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,-7,"2017-10-19_CHI_at_TOR","TOR"
"Alfonzo McKinnie",FALSE,"1:14",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-4,"2017-10-19_CHI_at_TOR","TOR"
"Lucas Nogueira",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-19_CHI_at_TOR","TOR"
"Kyle Lowry",TRUE,"28:06",6,12,0.5,4,10,0.4,1,2,0.5,0,5,5,5,0,0,1,3,17,17,"2017-10-21_PHI_at_TOR","TOR"
"DeMar DeRozan",TRUE,"26:42",8,12,0.667,0,1,0,14,16,0.875,0,3,3,3,0,0,1,3,30,26,"2017-10-21_PHI_at_TOR","TOR"
"Serge Ibaka",TRUE,"24:33",7,12,0.583,5,9,0.556,2,2,1,0,5,5,2,0,2,1,2,21,23,"2017-10-21_PHI_at_TOR","TOR"
"Norman Powell",TRUE,"17:20",0,3,0,0,1,0,2,2,1,1,1,2,2,0,1,2,4,2,14,"2017-10-21_PHI_at_TOR","TOR"
