"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"John Wall",TRUE,"37:09",10,28,0.357,0,3,0,8,9,0.889,2,3,5,8,0,2,2,2,28,19,"2017-10-18_PHI_at_WAS","WAS"
"Bradley Beal",TRUE,"35:37",6,17,0.353,1,4,0.25,12,16,0.75,2,4,6,4,3,1,2,2,25,12,"2017-10-18_PHI_at_WAS","WAS"
"Marcin Gortat",TRUE,"34:26",7,12,0.583,0,0,NA,2,3,0.667,5,12,17,1,0,3,1,3,16,16,"2017-10-18_PHI_at_WAS","WAS"
"Otto Porter",TRUE,"33:10",5,11,0.455,0,3,0,0,0,NA,2,6,8,0,3,1,0,3,10,14,"2017-10-18_PHI_at_WAS","WAS"
"Jason Smith",TRUE,"7:04",0,1,0,0,1,0,0,0,NA,1,0,1,0,0,0,0,1,0,4,"2017-10-18_PHI_at_WAS","WAS"
"Kelly Oubre",FALSE,"32:29",5,10,0.5,3,6,0.5,1,3,0.333,2,6,8,2,2,2,0,2,14,-4,"2017-10-18_PHI_at_WAS","WAS"
"Jodie Meeks",FALSE,"19:03",3,8,0.375,1,2,0.5,7,7,1,0,1,1,0,0,0,0,0,14,-4,"2017-10-18_PHI_at_WAS","WAS"
"Mike Scott",FALSE,"14:50",3,6,0.5,1,3,0.333,0,0,NA,0,2,2,0,0,0,1,0,7,-9,"2017-10-18_PHI_at_WAS","WAS"
"Ian Mahinmi",FALSE,"13:34",3,3,1,0,0,NA,0,0,NA,2,2,4,1,0,1,1,4,6,-11,"2017-10-18_PHI_at_WAS","WAS"
"Tim Frazier",FALSE,"12:38",0,1,0,0,0,NA,0,0,NA,0,0,0,5,0,0,2,3,0,-12,"2017-10-18_PHI_at_WAS","WAS"
"Tomas Satoransky",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_PHI_at_WAS","WAS"
"Carrick Felix",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_PHI_at_WAS","WAS"
"Chris McCullough",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_PHI_at_WAS","WAS"
"Otto Porter",TRUE,"37:50",11,19,0.579,2,4,0.5,4,4,1,2,7,9,3,4,1,1,2,28,6,"2017-10-20_DET_at_WAS","WAS"
"Kelly Oubre",TRUE,"35:55",1,5,0.2,0,2,0,2,2,1,1,6,7,0,2,0,1,3,4,10,"2017-10-20_DET_at_WAS","WAS"
"Bradley Beal",TRUE,"34:52",9,18,0.5,1,3,0.333,6,7,0.857,0,4,4,4,0,3,2,4,25,15,"2017-10-20_DET_at_WAS","WAS"
"Marcin Gortat",TRUE,"34:35",4,6,0.667,0,0,NA,2,4,0.5,2,7,9,1,1,0,0,5,10,3,"2017-10-20_DET_at_WAS","WAS"
"John Wall",TRUE,"33:34",8,12,0.667,1,3,0.333,9,11,0.818,0,3,3,10,1,2,8,1,26,4,"2017-10-20_DET_at_WAS","WAS"
"Mike Scott",FALSE,"20:42",3,4,0.75,0,0,NA,2,2,1,0,0,0,1,0,1,0,0,8,-10,"2017-10-20_DET_at_WAS","WAS"
"Jodie Meeks",FALSE,"15:02",2,5,0.4,2,3,0.667,3,3,1,0,1,1,0,1,0,1,0,9,-7,"2017-10-20_DET_at_WAS","WAS"
"Tim Frazier",FALSE,"14:26",0,3,0,0,2,0,0,0,NA,0,1,1,4,2,0,3,2,0,0,"2017-10-20_DET_at_WAS","WAS"
"Ian Mahinmi",FALSE,"13:04",2,3,0.667,0,0,NA,1,2,0.5,2,1,3,2,1,0,0,1,5,-1,"2017-10-20_DET_at_WAS","WAS"
"Michael Young",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_DET_at_WAS","WAS"
"Chris McCullough",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_DET_at_WAS","WAS"
"Tomas Satoransky",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_DET_at_WAS","WAS"
"Carrick Felix",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_DET_at_WAS","WAS"
"Kelly Oubre",TRUE,"37:38",5,10,0.5,2,5,0.4,2,2,1,0,4,4,1,2,1,1,2,14,12,"2017-10-23_WAS_at_DEN","WAS"
"Bradley Beal",TRUE,"35:14",8,17,0.471,1,5,0.2,3,3,1,1,4,5,2,1,0,2,1,20,5,"2017-10-23_WAS_at_DEN","WAS"
"John Wall",TRUE,"35:02",3,13,0.231,0,3,0,13,15,0.867,0,1,1,12,2,1,2,2,19,5,"2017-10-23_WAS_at_DEN","WAS"
"Otto Porter",TRUE,"32:05",6,13,0.462,3,6,0.5,2,2,1,2,8,10,3,4,1,1,2,17,12,"2017-10-23_WAS_at_DEN","WAS"
"Marcin Gortat",TRUE,"28:44",6,7,0.857,0,0,NA,1,1,1,2,3,5,2,1,0,4,6,13,0,"2017-10-23_WAS_at_DEN","WAS"
"Ian Mahinmi",FALSE,"18:33",2,6,0.333,0,0,NA,0,0,NA,4,4,8,0,1,0,2,5,4,5,"2017-10-23_WAS_at_DEN","WAS"
"Mike Scott",FALSE,"17:44",1,5,0.2,0,2,0,0,0,NA,0,1,1,1,0,0,2,2,2,-3,"2017-10-23_WAS_at_DEN","WAS"
"Jodie Meeks",FALSE,"15:52",1,7,0.143,1,6,0.167,2,2,1,0,1,1,0,0,0,1,0,5,-4,"2017-10-23_WAS_at_DEN","WAS"
"Tim Frazier",FALSE,"14:19",3,4,0.75,1,2,0.5,3,3,1,1,1,2,3,2,0,0,4,10,-4,"2017-10-23_WAS_at_DEN","WAS"
"Tomas Satoransky",FALSE,"4:49",2,2,1,1,1,1,0,0,NA,0,1,1,0,0,0,0,0,5,-3,"2017-10-23_WAS_at_DEN","WAS"
"Carrick Felix",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-23_WAS_at_DEN","WAS"
"Chris McCullough",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-23_WAS_at_DEN","WAS"
"Bradley Beal",TRUE,"43:31",11,23,0.478,2,7,0.286,4,6,0.667,1,5,6,2,3,1,4,1,28,-8,"2017-10-25_WAS_at_LAL","WAS"
"John Wall",TRUE,"40:32",7,22,0.318,1,5,0.2,3,4,0.75,0,3,3,9,1,0,4,1,18,-12,"2017-10-25_WAS_at_LAL","WAS"
"Kelly Oubre",TRUE,"38:51",4,10,0.4,1,4,0.25,0,0,NA,1,2,3,0,0,1,1,3,9,-10,"2017-10-25_WAS_at_LAL","WAS"
"Marcin Gortat",TRUE,"37:15",4,8,0.5,0,0,NA,3,6,0.5,1,13,14,1,0,1,1,3,11,-9,"2017-10-25_WAS_at_LAL","WAS"
"Otto Porter",TRUE,"35:36",6,11,0.545,0,2,0,0,0,NA,0,3,3,3,2,0,0,6,12,5,"2017-10-25_WAS_at_LAL","WAS"
"Mike Scott",FALSE,"25:28",2,10,0.2,0,2,0,0,1,0,0,8,8,0,1,0,0,2,4,-6,"2017-10-25_WAS_at_LAL","WAS"
"Jodie Meeks",FALSE,"15:57",3,5,0.6,2,4,0.5,3,4,0.75,0,2,2,0,3,0,1,1,11,7,"2017-10-25_WAS_at_LAL","WAS"
"Tim Frazier",FALSE,"12:28",0,1,0,0,0,NA,2,2,1,0,2,2,5,1,0,0,0,2,9,"2017-10-25_WAS_at_LAL","WAS"
"Ian Mahinmi",FALSE,"7:44",1,1,1,0,0,NA,0,0,NA,2,0,2,0,0,1,1,0,2,5,"2017-10-25_WAS_at_LAL","WAS"
"Jason Smith",FALSE,"7:38",1,4,0.25,0,2,0,0,0,NA,2,0,2,0,0,1,1,2,2,4,"2017-10-25_WAS_at_LAL","WAS"
"Tomas Satoransky",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-25_WAS_at_LAL","WAS"
