"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,4,4
"1968",14,1,1
"1969",14,4,4
"1970",17,4.5,2
"1971",17,4.5,5.5
"1972",17,4,4
"1973",17,2.5,2.5
"1974",18,3.25,1
"1975",18,3.25,3.5
"1976",22,1,1
"1977",22,2.2,3
"1978",22,1.4,2
"1979",22,2.2,1
"1980",23,2,2
"1981",23,3,3
"1982",23,2.8,2
"1983",23,2.8,2
"1984",23,3,3
"1985",23,3.4,3
"1986",23,3,2
"1987",23,1.8,1
"1988",25,2,1.5
"1989",27,1.42857142857143,1
"1990",27,1.57142857142857,2
"1991",27,2.28571428571429,2
"1992",27,1.85714285714286,2
"1993",27,1.42857142857143,1
"1994",27,1.71428571428571,2
"1995",29,3.42857142857143,4
"1996",29,1.85714285714286,1
"1997",29,1,1
"1999",29,2.42857142857143,2
"2000",29,1,1
"2001",29,1.71428571428571,1
"2002",29,1.57142857142857,1
"2003",29,1.57142857142857,1
"2004",30,1.625,1
"2005",30,2.125,2
"2006",30,2.5,1.5
"2007",30,1.75,1
"2008",30,2,2
"2009",30,1.375,1.5
"2010",30,1.5,1
"2012",30,2.125,1.5
"2013",30,1.5,1.5
"2014",30,2.125,1.5
"2015",30,3.125,1.5
"2016",30,2.25,2
