"year","slope"
"2014",-4.00891862868637
"1993",-2.37170824512628
"1988",-3.79473319220205
"1986",-4.13118223595458
"1967",-4.24264068711929
"2010",-2.29844668044685
"2008",-5.13141584471855
"2007",-3.47439614486153
"1990",-3.3203915431768
"1987",-3.48568501158668
"1985",-5.68037557443755
"1984",-2.32379000772445
"1983",-4.90577890519606
"1982",-4.90577890519606
"1981",-3.22748612183952
"1980",-2.19469056285087
"1979",-2.06559111797729
"1975",-5
"1974",-5.5
"1973",-2.5
"1972",-4
"2016",-5.9866518188383
"2001",-3.00416377715996
"1997",-1.42302494707576
"1996",-4.90153037326098
"1995",-6.16644143732835
"1992",-3.00416377715996
"1991",-4.11096095821889
"1971",-5.99999999999999
"1970",-7.49999999999999
"2015",-7.32295802840043
"2009",-3.04677815780164
"2005",-5.82629507369084
"2006",-5.9866518188383
"2004",-3.527848393244
"2002",-4.58530260724415
"2012",-3.36749164809655
"1976",-1.54919333848297
"1989",-3.00416377715996
"2013",-2.99332590941915
"2003",-2.21359436211787
"1999",-5.05964425626941
"2000",-1.73925271309261
"1968",-1.41421356237309
"1969",-2.82842712474621
"1994",-2.05548047910945
"1978",-2.58198889747161
"1977",-3.87298334620742
