"season.num","season","team","wins","win.pct","season.rank","year","diff.wins.prev","diff.pct.prev"
1,"1976-77","ATL",31,0.378048780487805,19,1977,NA,NA
2,"1977-78","ATL",41,0.5,13,1978,10,0.32258064516129
3,"1978-79","ATL",46,0.560975609756098,10,1979,5,0.121951219512195
4,"1979-80","ATL",50,0.609756097560976,6,1980,4,0.0869565217391303
5,"1980-81","ATL",31,0.378048780487805,18,1981,-19,-0.38
6,"1981-82","ATL",42,0.51219512195122,13,1982,11,0.354838709677419
7,"1982-83","ATL",43,0.524390243902439,13,1983,1,0.0238095238095238
8,"1983-84","ATL",40,0.48780487804878,13,1984,-3,-0.0697674418604652
9,"1984-85","ATL",34,0.414634146341463,17,1985,-6,-0.15
10,"1985-86","ATL",50,0.609756097560976,6,1986,16,0.470588235294118
11,"1986-87","ATL",57,0.695121951219512,3,1987,7,0.14
12,"1987-88","ATL",50,0.609756097560976,7,1988,-7,-0.12280701754386
13,"1988-89","ATL",52,0.634146341463415,5,1989,2,0.04
14,"1989-90","ATL",41,0.5,16,1990,-11,-0.211538461538462
15,"1990-91","ATL",43,0.524390243902439,13,1991,2,0.0487804878048781
16,"1991-92","ATL",38,0.463414634146341,17,1992,-5,-0.116279069767442
17,"1992-93","ATL",43,0.524390243902439,12,1993,5,0.131578947368421
18,"1993-94","ATL",57,0.695121951219512,3,1994,14,0.325581395348837
19,"1994-95","ATL",42,0.51219512195122,14,1995,-15,-0.263157894736842
20,"1995-96","ATL",46,0.560975609756098,11,1996,4,0.0952380952380953
21,"1996-97","ATL",56,0.682926829268293,7,1997,10,0.217391304347826
22,"1997-98","ATL",50,0.609756097560976,10,1998,-6,-0.107142857142857
23,"1998-99","ATL",31,0.62,7,1999,-19,0.0168
24,"1999-00","ATL",28,0.341463414634146,25,2000,-3,-0.449252557041699
25,"2000-01","ATL",25,0.304878048780488,25,2001,-3,-0.107142857142857
26,"2001-02","ATL",33,0.402439024390244,22,2002,8,0.32
27,"2002-03","ATL",35,0.426829268292683,22,2003,2,0.0606060606060605
28,"2003-04","ATL",28,0.341463414634146,25,2004,-7,-0.2
29,"2004-05","ATL",13,0.158536585365854,30,2005,-15,-0.535714285714286
30,"2005-06","ATL",26,0.317073170731707,27,2006,13,1
31,"2006-07","ATL",30,0.365853658536585,27,2007,4,0.153846153846154
32,"2007-08","ATL",37,0.451219512195122,19,2008,7,0.233333333333333
33,"2008-09","ATL",47,0.573170731707317,12,2009,10,0.27027027027027
34,"2009-10","ATL",53,0.646341463414634,6,2010,6,0.127659574468085
35,"2010-11","ATL",44,0.536585365853659,13,2011,-9,-0.169811320754717
36,"2011-12","ATL",40,0.606060606060606,8,2012,-4,0.129476584022039
37,"2012-13","ATL",44,0.536585365853659,14,2013,4,-0.114634146341463
38,"2013-14","ATL",38,0.463414634146341,18,2014,-6,-0.136363636363636
39,"2014-15","ATL",60,0.731707317073171,2,2015,22,0.578947368421053
40,"2015-16","ATL",48,0.585365853658537,7,2016,-12,-0.2
1,"1976-77","BOS",44,0.536585365853659,8,1977,NA,NA
2,"1977-78","BOS",32,0.390243902439024,17,1978,-12,-0.272727272727273
3,"1978-79","BOS",29,0.353658536585366,21,1979,-3,-0.0937500000000001
4,"1979-80","BOS",61,0.74390243902439,1,1980,32,1.10344827586207
5,"1980-81","BOS",62,0.75609756097561,1,1981,1,0.0163934426229508
6,"1981-82","BOS",63,0.768292682926829,1,1982,1,0.0161290322580645
7,"1982-83","BOS",56,0.682926829268293,3,1983,-7,-0.111111111111111
8,"1983-84","BOS",62,0.75609756097561,1,1984,6,0.107142857142857
9,"1984-85","BOS",63,0.768292682926829,1,1985,1,0.0161290322580645
10,"1985-86","BOS",67,0.817073170731707,1,1986,4,0.0634920634920634
11,"1986-87","BOS",59,0.719512195121951,2,1987,-8,-0.119402985074627
12,"1987-88","BOS",57,0.695121951219512,2,1988,-2,-0.0338983050847458
13,"1988-89","BOS",42,0.51219512195122,15,1989,-15,-0.263157894736842
14,"1989-90","BOS",52,0.634146341463415,9,1990,10,0.238095238095238
15,"1990-91","BOS",56,0.682926829268293,4,1991,4,0.076923076923077
16,"1991-92","BOS",51,0.621951219512195,7,1992,-5,-0.0892857142857144
17,"1992-93","BOS",48,0.585365853658537,9,1993,-3,-0.0588235294117648
18,"1993-94","BOS",32,0.390243902439024,19,1994,-16,-0.333333333333333
19,"1994-95","BOS",35,0.426829268292683,18,1995,3,0.0937499999999999
20,"1995-96","BOS",33,0.402439024390244,21,1996,-2,-0.0571428571428571
21,"1996-97","BOS",15,0.182926829268293,28,1997,-18,-0.545454545454546
22,"1997-98","BOS",36,0.439024390243902,20,1998,21,1.4
23,"1998-99","BOS",19,0.38,22,1999,-17,-0.134444444444444
24,"1999-00","BOS",35,0.426829268292683,19,2000,16,0.123234916559692
25,"2000-01","BOS",36,0.439024390243902,20,2001,1,0.0285714285714286
26,"2001-02","BOS",49,0.597560975609756,8,2002,13,0.361111111111111
27,"2002-03","BOS",44,0.536585365853659,13,2003,-5,-0.102040816326531
28,"2003-04","BOS",36,0.439024390243902,20,2004,-8,-0.181818181818182
