"w1","w2","w3","w4","w5","string","cats"
"water","chased","yesterday","quickly","yesterday","water chased yesterday quickly yesterday","mn tv sadv adv sadv"
"john","chased","yesterday","quickly","yesterday","john chased yesterday quickly yesterday","pn tv sadv adv sadv"
"water","barked","yesterday","quickly","yesterday","water barked yesterday quickly yesterday","mn itv sadv adv sadv"
"john","barked","yesterday","quickly","yesterday","john barked yesterday quickly yesterday","pn itv sadv adv sadv"
"yesterday","chased","water","quickly","yesterday","yesterday chased water quickly yesterday","sadv tv mn adv sadv"
"quickly","chased","water","quickly","yesterday","quickly chased water quickly yesterday","adv tv mn adv sadv"
"water","chased","water","quickly","yesterday","water chased water quickly yesterday","mn tv mn adv sadv"
"john","chased","water","quickly","yesterday","john chased water quickly yesterday","pn tv mn adv sadv"
"yesterday","chased","john","quickly","yesterday","yesterday chased john quickly yesterday","sadv tv pn adv sadv"
"quickly","chased","john","quickly","yesterday","quickly chased john quickly yesterday","adv tv pn adv sadv"
"water","chased","john","quickly","yesterday","water chased john quickly yesterday","mn tv pn adv sadv"
"john","chased","john","quickly","yesterday","john chased john quickly yesterday","pn tv pn adv sadv"
"water","yesterday","chased","quickly","yesterday","water yesterday chased quickly yesterday","mn sadv tv adv sadv"
"john","yesterday","chased","quickly","yesterday","john yesterday chased quickly yesterday","pn sadv tv adv sadv"
"water","quickly","chased","quickly","yesterday","water quickly chased quickly yesterday","mn adv tv adv sadv"
"john","quickly","chased","quickly","yesterday","john quickly chased quickly yesterday","pn adv tv adv sadv"
"the","dog","chased","quickly","yesterday","the dog chased quickly yesterday","d cn tv adv sadv"
"with","water","chased","quickly","yesterday","with water chased quickly yesterday","p mn tv adv sadv"
"yesterday","water","chased","quickly","yesterday","yesterday water chased quickly yesterday","sadv mn tv adv sadv"
"quickly","water","chased","quickly","yesterday","quickly water chased quickly yesterday","adv mn tv adv sadv"
"john","water","chased","quickly","yesterday","john water chased quickly yesterday","pn mn tv adv sadv"
"with","john","chased","quickly","yesterday","with john chased quickly yesterday","p pn tv adv sadv"
"yesterday","john","chased","quickly","yesterday","yesterday john chased quickly yesterday","sadv pn tv adv sadv"
"quickly","john","chased","quickly","yesterday","quickly john chased quickly yesterday","adv pn tv adv sadv"
"water","john","chased","quickly","yesterday","water john chased quickly yesterday","mn pn tv adv sadv"
"water","barked","chased","quickly","yesterday","water barked chased quickly yesterday","mn itv tv adv sadv"
"john","barked","chased","quickly","yesterday","john barked chased quickly yesterday","pn itv tv adv sadv"
"water","yesterday","barked","quickly","yesterday","water yesterday barked quickly yesterday","mn sadv itv adv sadv"
"john","yesterday","barked","quickly","yesterday","john yesterday barked quickly yesterday","pn sadv itv adv sadv"
"water","quickly","barked","quickly","yesterday","water quickly barked quickly yesterday","mn adv itv adv sadv"
"john","quickly","barked","quickly","yesterday","john quickly barked quickly yesterday","pn adv itv adv sadv"
"the","dog","barked","quickly","yesterday","the dog barked quickly yesterday","d cn itv adv sadv"
"with","water","barked","quickly","yesterday","with water barked quickly yesterday","p mn itv adv sadv"
"yesterday","water","barked","quickly","yesterday","yesterday water barked quickly yesterday","sadv mn itv adv sadv"
"quickly","water","barked","quickly","yesterday","quickly water barked quickly yesterday","adv mn itv adv sadv"
"john","water","barked","quickly","yesterday","john water barked quickly yesterday","pn mn itv adv sadv"
"with","john","barked","quickly","yesterday","with john barked quickly yesterday","p pn itv adv sadv"
"yesterday","john","barked","quickly","yesterday","yesterday john barked quickly yesterday","sadv pn itv adv sadv"
"quickly","john","barked","quickly","yesterday","quickly john barked quickly yesterday","adv pn itv adv sadv"
"water","john","barked","quickly","yesterday","water john barked quickly yesterday","mn pn itv adv sadv"
"water","chased","barked","quickly","yesterday","water chased barked quickly yesterday","mn tv itv adv sadv"
"john","chased","barked","quickly","yesterday","john chased barked quickly yesterday","pn tv itv adv sadv"
"yesterday","chased","the","dog","yesterday","yesterday chased the dog yesterday","sadv tv d cn sadv"
"quickly","chased","the","dog","yesterday","quickly chased the dog yesterday","adv tv d cn sadv"
"dog","chased","the","dog","yesterday","dog chased the dog yesterday","cn tv d cn sadv"
"water","chased","the","dog","yesterday","water chased the dog yesterday","mn tv d cn sadv"
"john","chased","the","dog","yesterday","john chased the dog yesterday","pn tv d cn sadv"
"dog","chased","the","water","yesterday","dog chased the water yesterday","cn tv d mn sadv"
"yesterday","chased","with","water","yesterday","yesterday chased with water yesterday","sadv tv p mn sadv"
"quickly","chased","with","water","yesterday","quickly chased with water yesterday","adv tv p mn sadv"
"water","chased","with","water","yesterday","water chased with water yesterday","mn tv p mn sadv"
"john","chased","with","water","yesterday","john chased with water yesterday","pn tv p mn sadv"
"yesterday","barked","with","water","yesterday","yesterday barked with water yesterday","sadv itv p mn sadv"
"quickly","barked","with","water","yesterday","quickly barked with water yesterday","adv itv p mn sadv"
"water","barked","with","water","yesterday","water barked with water yesterday","mn itv p mn sadv"
"john","barked","with","water","yesterday","john barked with water yesterday","pn itv p mn sadv"
"yesterday","chased","yesterday","water","yesterday","yesterday chased yesterday water yesterday","sadv tv sadv mn sadv"
"quickly","chased","yesterday","water","yesterday","quickly chased yesterday water yesterday","adv tv sadv mn sadv"
"water","chased","yesterday","water","yesterday","water chased yesterday water yesterday","mn tv sadv mn sadv"
"john","chased","yesterday","water","yesterday","john chased yesterday water yesterday","pn tv sadv mn sadv"
"yesterday","barked","yesterday","water","yesterday","yesterday barked yesterday water yesterday","sadv itv sadv mn sadv"
"quickly","barked","yesterday","water","yesterday","quickly barked yesterday water yesterday","adv itv sadv mn sadv"
"water","barked","yesterday","water","yesterday","water barked yesterday water yesterday","mn itv sadv mn sadv"
"john","barked","yesterday","water","yesterday","john barked yesterday water yesterday","pn itv sadv mn sadv"
"yesterday","chased","quickly","water","yesterday","yesterday chased quickly water yesterday","sadv tv adv mn sadv"
"quickly","chased","quickly","water","yesterday","quickly chased quickly water yesterday","adv tv adv mn sadv"
"water","chased","quickly","water","yesterday","water chased quickly water yesterday","mn tv adv mn sadv"
"john","chased","quickly","water","yesterday","john chased quickly water yesterday","pn tv adv mn sadv"
"yesterday","barked","quickly","water","yesterday","yesterday barked quickly water yesterday","sadv itv adv mn sadv"
"quickly","barked","quickly","water","yesterday","quickly barked quickly water yesterday","adv itv adv mn sadv"
"water","barked","quickly","water","yesterday","water barked quickly water yesterday","mn itv adv mn sadv"
"john","barked","quickly","water","yesterday","john barked quickly water yesterday","pn itv adv mn sadv"
"yesterday","chased","john","water","yesterday","yesterday chased john water yesterday","sadv tv pn mn sadv"
"quickly","chased","john","water","yesterday","quickly chased john water yesterday","adv tv pn mn sadv"
"water","chased","john","water","yesterday","water chased john water yesterday","mn tv pn mn sadv"
"john","chased","john","water","yesterday","john chased john water yesterday","pn tv pn mn sadv"
"quickly","yesterday","chased","water","yesterday","quickly yesterday chased water yesterday","adv sadv tv mn sadv"
"water","yesterday","chased","water","yesterday","water yesterday chased water yesterday","mn sadv tv mn sadv"
"john","yesterday","chased","water","yesterday","john yesterday chased water yesterday","pn sadv tv mn sadv"
"yesterday","quickly","chased","water","yesterday","yesterday quickly chased water yesterday","sadv adv tv mn sadv"
"water","quickly","chased","water","yesterday","water quickly chased water yesterday","mn adv tv mn sadv"
"john","quickly","chased","water","yesterday","john quickly chased water yesterday","pn adv tv mn sadv"
"the","dog","chased","water","yesterday","the dog chased water yesterday","d cn tv mn sadv"
"with","water","chased","water","yesterday","with water chased water yesterday","p mn tv mn sadv"
"yesterday","water","chased","water","yesterday","yesterday water chased water yesterday","sadv mn tv mn sadv"
"quickly","water","chased","water","yesterday","quickly water chased water yesterday","adv mn tv mn sadv"
"john","water","chased","water","yesterday","john water chased water yesterday","pn mn tv mn sadv"
"with","john","chased","water","yesterday","with john chased water yesterday","p pn tv mn sadv"
"yesterday","john","chased","water","yesterday","yesterday john chased water yesterday","sadv pn tv mn sadv"
"quickly","john","chased","water","yesterday","quickly john chased water yesterday","adv pn tv mn sadv"
"water","john","chased","water","yesterday","water john chased water yesterday","mn pn tv mn sadv"
"yesterday","barked","chased","water","yesterday","yesterday barked chased water yesterday","sadv itv tv mn sadv"
"quickly","barked","chased","water","yesterday","quickly barked chased water yesterday","adv itv tv mn sadv"
"water","barked","chased","water","yesterday","water barked chased water yesterday","mn itv tv mn sadv"
"john","barked","chased","water","yesterday","john barked chased water yesterday","pn itv tv mn sadv"
"dog","chased","the","john","yesterday","dog chased the john yesterday","cn tv d pn sadv"
"yesterday","chased","with","john","yesterday","yesterday chased with john yesterday","sadv tv p pn sadv"
"quickly","chased","with","john","yesterday","quickly chased with john yesterday","adv tv p pn sadv"
"water","chased","with","john","yesterday","water chased with john yesterday","mn tv p pn sadv"
"john","chased","with","john","yesterday","john chased with john yesterday","pn tv p pn sadv"
"yesterday","barked","with","john","yesterday","yesterday barked with john yesterday","sadv itv p pn sadv"
"quickly","barked","with","john","yesterday","quickly barked with john yesterday","adv itv p pn sadv"
"water","barked","with","john","yesterday","water barked with john yesterday","mn itv p pn sadv"
"john","barked","with","john","yesterday","john barked with john yesterday","pn itv p pn sadv"
"yesterday","chased","yesterday","john","yesterday","yesterday chased yesterday john yesterday","sadv tv sadv pn sadv"
"quickly","chased","yesterday","john","yesterday","quickly chased yesterday john yesterday","adv tv sadv pn sadv"
"water","chased","yesterday","john","yesterday","water chased yesterday john yesterday","mn tv sadv pn sadv"
"john","chased","yesterday","john","yesterday","john chased yesterday john yesterday","pn tv sadv pn sadv"
"yesterday","barked","yesterday","john","yesterday","yesterday barked yesterday john yesterday","sadv itv sadv pn sadv"
"quickly","barked","yesterday","john","yesterday","quickly barked yesterday john yesterday","adv itv sadv pn sadv"
"water","barked","yesterday","john","yesterday","water barked yesterday john yesterday","mn itv sadv pn sadv"
"john","barked","yesterday","john","yesterday","john barked yesterday john yesterday","pn itv sadv pn sadv"
"yesterday","chased","quickly","john","yesterday","yesterday chased quickly john yesterday","sadv tv adv pn sadv"
"quickly","chased","quickly","john","yesterday","quickly chased quickly john yesterday","adv tv adv pn sadv"
"water","chased","quickly","john","yesterday","water chased quickly john yesterday","mn tv adv pn sadv"
"john","chased","quickly","john","yesterday","john chased quickly john yesterday","pn tv adv pn sadv"
"yesterday","barked","quickly","john","yesterday","yesterday barked quickly john yesterday","sadv itv adv pn sadv"
"quickly","barked","quickly","john","yesterday","quickly barked quickly john yesterday","adv itv adv pn sadv"
"water","barked","quickly","john","yesterday","water barked quickly john yesterday","mn itv adv pn sadv"
"john","barked","quickly","john","yesterday","john barked quickly john yesterday","pn itv adv pn sadv"
"yesterday","chased","water","john","yesterday","yesterday chased water john yesterday","sadv tv mn pn sadv"
"quickly","chased","water","john","yesterday","quickly chased water john yesterday","adv tv mn pn sadv"
"water","chased","water","john","yesterday","water chased water john yesterday","mn tv mn pn sadv"
"john","chased","water","john","yesterday","john chased water john yesterday","pn tv mn pn sadv"
"quickly","yesterday","chased","john","yesterday","quickly yesterday chased john yesterday","adv sadv tv pn sadv"
"water","yesterday","chased","john","yesterday","water yesterday chased john yesterday","mn sadv tv pn sadv"
"john","yesterday","chased","john","yesterday","john yesterday chased john yesterday","pn sadv tv pn sadv"
"yesterday","quickly","chased","john","yesterday","yesterday quickly chased john yesterday","sadv adv tv pn sadv"
"water","quickly","chased","john","yesterday","water quickly chased john yesterday","mn adv tv pn sadv"
"john","quickly","chased","john","yesterday","john quickly chased john yesterday","pn adv tv pn sadv"
"the","dog","chased","john","yesterday","the dog chased john yesterday","d cn tv pn sadv"
"with","water","chased","john","yesterday","with water chased john yesterday","p mn tv pn sadv"
"yesterday","water","chased","john","yesterday","yesterday water chased john yesterday","sadv mn tv pn sadv"
"quickly","water","chased","john","yesterday","quickly water chased john yesterday","adv mn tv pn sadv"
"john","water","chased","john","yesterday","john water chased john yesterday","pn mn tv pn sadv"
"with","john","chased","john","yesterday","with john chased john yesterday","p pn tv pn sadv"
"yesterday","john","chased","john","yesterday","yesterday john chased john yesterday","sadv pn tv pn sadv"
"quickly","john","chased","john","yesterday","quickly john chased john yesterday","adv pn tv pn sadv"
"water","john","chased","john","yesterday","water john chased john yesterday","mn pn tv pn sadv"
"yesterday","barked","chased","john","yesterday","yesterday barked chased john yesterday","sadv itv tv pn sadv"
"quickly","barked","chased","john","yesterday","quickly barked chased john yesterday","adv itv tv pn sadv"
"water","barked","chased","john","yesterday","water barked chased john yesterday","mn itv tv pn sadv"
"john","barked","chased","john","yesterday","john barked chased john yesterday","pn itv tv pn sadv"
"water","quickly","yesterday","chased","yesterday","water quickly yesterday chased yesterday","mn adv sadv tv sadv"
"john","quickly","yesterday","chased","yesterday","john quickly yesterday chased yesterday","pn adv sadv tv sadv"
"the","dog","yesterday","chased","yesterday","the dog yesterday chased yesterday","d cn sadv tv sadv"
"with","water","yesterday","chased","yesterday","with water yesterday chased yesterday","p mn sadv tv sadv"
"yesterday","water","yesterday","chased","yesterday","yesterday water yesterday chased yesterday","sadv mn sadv tv sadv"
"quickly","water","yesterday","chased","yesterday","quickly water yesterday chased yesterday","adv mn sadv tv sadv"
"john","water","yesterday","chased","yesterday","john water yesterday chased yesterday","pn mn sadv tv sadv"
"with","john","yesterday","chased","yesterday","with john yesterday chased yesterday","p pn sadv tv sadv"
"yesterday","john","yesterday","chased","yesterday","yesterday john yesterday chased yesterday","sadv pn sadv tv sadv"
"quickly","john","yesterday","chased","yesterday","quickly john yesterday chased yesterday","adv pn sadv tv sadv"
"water","john","yesterday","chased","yesterday","water john yesterday chased yesterday","mn pn sadv tv sadv"
"water","chased","yesterday","chased","yesterday","water chased yesterday chased yesterday","mn tv sadv tv sadv"
"john","chased","yesterday","chased","yesterday","john chased yesterday chased yesterday","pn tv sadv tv sadv"
"water","barked","yesterday","chased","yesterday","water barked yesterday chased yesterday","mn itv sadv tv sadv"
"john","barked","yesterday","chased","yesterday","john barked yesterday chased yesterday","pn itv sadv tv sadv"
"water","yesterday","quickly","chased","yesterday","water yesterday quickly chased yesterday","mn sadv adv tv sadv"
"john","yesterday","quickly","chased","yesterday","john yesterday quickly chased yesterday","pn sadv adv tv sadv"
"the","dog","quickly","chased","yesterday","the dog quickly chased yesterday","d cn adv tv sadv"
"with","water","quickly","chased","yesterday","with water quickly chased yesterday","p mn adv tv sadv"
"yesterday","water","quickly","chased","yesterday","yesterday water quickly chased yesterday","sadv mn adv tv sadv"
"quickly","water","quickly","chased","yesterday","quickly water quickly chased yesterday","adv mn adv tv sadv"
"john","water","quickly","chased","yesterday","john water quickly chased yesterday","pn mn adv tv sadv"
"with","john","quickly","chased","yesterday","with john quickly chased yesterday","p pn adv tv sadv"
"yesterday","john","quickly","chased","yesterday","yesterday john quickly chased yesterday","sadv pn adv tv sadv"
"quickly","john","quickly","chased","yesterday","quickly john quickly chased yesterday","adv pn adv tv sadv"
"water","john","quickly","chased","yesterday","water john quickly chased yesterday","mn pn adv tv sadv"
"water","chased","quickly","chased","yesterday","water chased quickly chased yesterday","mn tv adv tv sadv"
"john","chased","quickly","chased","yesterday","john chased quickly chased yesterday","pn tv adv tv sadv"
"water","barked","quickly","chased","yesterday","water barked quickly chased yesterday","mn itv adv tv sadv"
"john","barked","quickly","chased","yesterday","john barked quickly chased yesterday","pn itv adv tv sadv"
"yesterday","the","dog","chased","yesterday","yesterday the dog chased yesterday","sadv d cn tv sadv"
"quickly","the","dog","chased","yesterday","quickly the dog chased yesterday","adv d cn tv sadv"
"dog","the","dog","chased","yesterday","dog the dog chased yesterday","cn d cn tv sadv"
"water","the","dog","chased","yesterday","water the dog chased yesterday","mn d cn tv sadv"
"john","the","dog","chased","yesterday","john the dog chased yesterday","pn d cn tv sadv"
"the","water","dog","chased","yesterday","the water dog chased yesterday","d mn cn tv sadv"
"dog","the","water","chased","yesterday","dog the water chased yesterday","cn d mn tv sadv"
"yesterday","with","water","chased","yesterday","yesterday with water chased yesterday","sadv p mn tv sadv"
"quickly","with","water","chased","yesterday","quickly with water chased yesterday","adv p mn tv sadv"
"water","with","water","chased","yesterday","water with water chased yesterday","mn p mn tv sadv"
"john","with","water","chased","yesterday","john with water chased yesterday","pn p mn tv sadv"
"quickly","yesterday","water","chased","yesterday","quickly yesterday water chased yesterday","adv sadv mn tv sadv"
"water","yesterday","water","chased","yesterday","water yesterday water chased yesterday","mn sadv mn tv sadv"
"john","yesterday","water","chased","yesterday","john yesterday water chased yesterday","pn sadv mn tv sadv"
"yesterday","quickly","water","chased","yesterday","yesterday quickly water chased yesterday","sadv adv mn tv sadv"
"water","quickly","water","chased","yesterday","water quickly water chased yesterday","mn adv mn tv sadv"
"john","quickly","water","chased","yesterday","john quickly water chased yesterday","pn adv mn tv sadv"
"the","dog","water","chased","yesterday","the dog water chased yesterday","d cn mn tv sadv"
"with","john","water","chased","yesterday","with john water chased yesterday","p pn mn tv sadv"
"yesterday","john","water","chased","yesterday","yesterday john water chased yesterday","sadv pn mn tv sadv"
"quickly","john","water","chased","yesterday","quickly john water chased yesterday","adv pn mn tv sadv"
"water","john","water","chased","yesterday","water john water chased yesterday","mn pn mn tv sadv"
"yesterday","chased","water","chased","yesterday","yesterday chased water chased yesterday","sadv tv mn tv sadv"
"quickly","chased","water","chased","yesterday","quickly chased water chased yesterday","adv tv mn tv sadv"
"water","chased","water","chased","yesterday","water chased water chased yesterday","mn tv mn tv sadv"
"john","chased","water","chased","yesterday","john chased water chased yesterday","pn tv mn tv sadv"
"dog","the","john","chased","yesterday","dog the john chased yesterday","cn d pn tv sadv"
"yesterday","with","john","chased","yesterday","yesterday with john chased yesterday","sadv p pn tv sadv"
"quickly","with","john","chased","yesterday","quickly with john chased yesterday","adv p pn tv sadv"
"water","with","john","chased","yesterday","water with john chased yesterday","mn p pn tv sadv"
"john","with","john","chased","yesterday","john with john chased yesterday","pn p pn tv sadv"
"quickly","yesterday","john","chased","yesterday","quickly yesterday john chased yesterday","adv sadv pn tv sadv"
"water","yesterday","john","chased","yesterday","water yesterday john chased yesterday","mn sadv pn tv sadv"
"john","yesterday","john","chased","yesterday","john yesterday john chased yesterday","pn sadv pn tv sadv"
"yesterday","quickly","john","chased","yesterday","yesterday quickly john chased yesterday","sadv adv pn tv sadv"
"water","quickly","john","chased","yesterday","water quickly john chased yesterday","mn adv pn tv sadv"
"john","quickly","john","chased","yesterday","john quickly john chased yesterday","pn adv pn tv sadv"
"the","dog","john","chased","yesterday","the dog john chased yesterday","d cn pn tv sadv"
"with","water","john","chased","yesterday","with water john chased yesterday","p mn pn tv sadv"
"yesterday","water","john","chased","yesterday","yesterday water john chased yesterday","sadv mn pn tv sadv"
"quickly","water","john","chased","yesterday","quickly water john chased yesterday","adv mn pn tv sadv"
"john","water","john","chased","yesterday","john water john chased yesterday","pn mn pn tv sadv"
"yesterday","chased","john","chased","yesterday","yesterday chased john chased yesterday","sadv tv pn tv sadv"
"quickly","chased","john","chased","yesterday","quickly chased john chased yesterday","adv tv pn tv sadv"
"water","chased","john","chased","yesterday","water chased john chased yesterday","mn tv pn tv sadv"
"john","chased","john","chased","yesterday","john chased john chased yesterday","pn tv pn tv sadv"
"water","yesterday","barked","chased","yesterday","water yesterday barked chased yesterday","mn sadv itv tv sadv"
"john","yesterday","barked","chased","yesterday","john yesterday barked chased yesterday","pn sadv itv tv sadv"
"water","quickly","barked","chased","yesterday","water quickly barked chased yesterday","mn adv itv tv sadv"
"john","quickly","barked","chased","yesterday","john quickly barked chased yesterday","pn adv itv tv sadv"
"the","dog","barked","chased","yesterday","the dog barked chased yesterday","d cn itv tv sadv"
"with","water","barked","chased","yesterday","with water barked chased yesterday","p mn itv tv sadv"
"yesterday","water","barked","chased","yesterday","yesterday water barked chased yesterday","sadv mn itv tv sadv"
"quickly","water","barked","chased","yesterday","quickly water barked chased yesterday","adv mn itv tv sadv"
"john","water","barked","chased","yesterday","john water barked chased yesterday","pn mn itv tv sadv"
"with","john","barked","chased","yesterday","with john barked chased yesterday","p pn itv tv sadv"
"yesterday","john","barked","chased","yesterday","yesterday john barked chased yesterday","sadv pn itv tv sadv"
"quickly","john","barked","chased","yesterday","quickly john barked chased yesterday","adv pn itv tv sadv"
"water","john","barked","chased","yesterday","water john barked chased yesterday","mn pn itv tv sadv"
"water","chased","barked","chased","yesterday","water chased barked chased yesterday","mn tv itv tv sadv"
"john","chased","barked","chased","yesterday","john chased barked chased yesterday","pn tv itv tv sadv"
"water","quickly","yesterday","barked","yesterday","water quickly yesterday barked yesterday","mn adv sadv itv sadv"
"john","quickly","yesterday","barked","yesterday","john quickly yesterday barked yesterday","pn adv sadv itv sadv"
"the","dog","yesterday","barked","yesterday","the dog yesterday barked yesterday","d cn sadv itv sadv"
"with","water","yesterday","barked","yesterday","with water yesterday barked yesterday","p mn sadv itv sadv"
"yesterday","water","yesterday","barked","yesterday","yesterday water yesterday barked yesterday","sadv mn sadv itv sadv"
"quickly","water","yesterday","barked","yesterday","quickly water yesterday barked yesterday","adv mn sadv itv sadv"
"john","water","yesterday","barked","yesterday","john water yesterday barked yesterday","pn mn sadv itv sadv"
"with","john","yesterday","barked","yesterday","with john yesterday barked yesterday","p pn sadv itv sadv"
"yesterday","john","yesterday","barked","yesterday","yesterday john yesterday barked yesterday","sadv pn sadv itv sadv"
"quickly","john","yesterday","barked","yesterday","quickly john yesterday barked yesterday","adv pn sadv itv sadv"
"water","john","yesterday","barked","yesterday","water john yesterday barked yesterday","mn pn sadv itv sadv"
"water","chased","yesterday","barked","yesterday","water chased yesterday barked yesterday","mn tv sadv itv sadv"
"john","chased","yesterday","barked","yesterday","john chased yesterday barked yesterday","pn tv sadv itv sadv"
"water","barked","yesterday","barked","yesterday","water barked yesterday barked yesterday","mn itv sadv itv sadv"
"john","barked","yesterday","barked","yesterday","john barked yesterday barked yesterday","pn itv sadv itv sadv"
"water","yesterday","quickly","barked","yesterday","water yesterday quickly barked yesterday","mn sadv adv itv sadv"
"john","yesterday","quickly","barked","yesterday","john yesterday quickly barked yesterday","pn sadv adv itv sadv"
"the","dog","quickly","barked","yesterday","the dog quickly barked yesterday","d cn adv itv sadv"
"with","water","quickly","barked","yesterday","with water quickly barked yesterday","p mn adv itv sadv"
"yesterday","water","quickly","barked","yesterday","yesterday water quickly barked yesterday","sadv mn adv itv sadv"
"quickly","water","quickly","barked","yesterday","quickly water quickly barked yesterday","adv mn adv itv sadv"
"john","water","quickly","barked","yesterday","john water quickly barked yesterday","pn mn adv itv sadv"
"with","john","quickly","barked","yesterday","with john quickly barked yesterday","p pn adv itv sadv"
