"workerid","language","response","rt","condition","modal"
"worker 1","english","Disagree",14603,"even","certain not"
"worker 2","English","Agree",12335,"even","certainly not"
"worker 3","English","Agree",20133,"even","might"
"worker 4","English","Disagree",13762,"even","certainly not"
"worker 5","vietnamese","Agree",36033,"even","might"
"worker 6","english","Disagree",26615,"even","certain not"
"worker 7","english","Agree",10811,"even","must not"
"worker 8","English","Disagree",30192,"even","certainly not"
"worker 9","English","Agree",20665,"even","possible"
"worker 10","English","Agree",8194,"even","certain not"
"worker 11","English","Disagree",36099,"even","certain not"
"worker 12","Enlgish","Disagree",19700,"even","certainly not"
"worker 13","English","Agree",16743,"even","must not"
"worker 14","English","Agree",21203,"even","might"
"worker 15","English","Agree",12204,"even","possible"
"worker 16","English","Agree",30984,"even","possible"
"worker 17","English","Agree",24091,"even","might"
"worker 18","English","Agree",11824,"even","might"
"worker 19","English","Agree",14973,"even","might"
"worker 20","English","Disagree",8605,"even","might"
"worker 21","English","Disagree",37568,"even","certain not"
"worker 22","English","Agree",12424,"even","certainly not"
"worker 23","English","Agree",46412,"even","possible"
"worker 24","English","Agree",7787,"even","might"
"worker 25","English","Disagree",25209,"even","must not"
"worker 26","English","Disagree",15974,"even","certainly not"
"worker 27","English","Disagree",29159,"even","certain not"
"worker 28","english","Agree",40998,"even","must not"
"worker 29","english","Agree",16249,"even","might"
"worker 30","English","Agree",16334,"even","certain not"
"worker 31","English","Agree",18914,"even","certainly not"
"worker 32","english","Agree",18465,"even","might"
"worker 33","English","Disagree",35144,"even","might"
"worker 34","English","Agree",12480,"even","might"
"worker 35","english","Disagree",10773,"even","certain not"
"worker 36","English","Disagree",24172,"even","must not"
"worker 37","english","Agree",35952,"even","certain not"
"worker 38","English","Agree",58379,"even","might"
"worker 39","English ","Agree",25988,"even","certainly not"
"worker 40","English","Disagree",20750,"even","must not"
"worker 41","english","Agree",31990,"even","might"
"worker 42","english","Disagree",18675,"even","possible"
"worker 43","English","Agree",16057,"even","certainly not"
"worker 44","English","Agree",9549,"even","possible"
"worker 45","english","Disagree",28782,"even","certainly not"
"worker 46","English","Disagree",24826,"even","certainly not"
"worker 47","english","Agree",10608,"even","possible"
"worker 48","English","Agree",13794,"even","certainly not"
"worker 49","English","Disagree",36673,"even","certainly not"
"worker 50","english","Agree",29487,"even","might"
"worker 51","English ","Disagree",55709,"even","possible"
"worker 52","english","Agree",16669,"even","possible"
"worker 53","English","Disagree",56008,"even","might"
"worker 54","English","Disagree",10714,"even","must not"
"worker 55","English","Agree",22005,"even","might"
"worker 56","English","Disagree",17180,"even","certainly not"
"worker 57","english","Agree",13897,"even","must not"
"worker 58","English","Agree",96164,"even","certain not"
"worker 59","English","Disagree",24031,"even","certainly not"
"worker 60","English","Agree",32805,"even","might"
"worker 61","English","Disagree",16157,"even","might"
"worker 62","English","Agree",15199,"even","certainly not"
"worker 63","english","Agree",14546,"even","must not"
"worker 64","English","Disagree",20517,"even","certainly not"
"worker 65","English","Disagree",14866,"even","might"
"worker 66","English","Agree",20686,"even","must not"
"worker 67","English","Agree",34628,"even","might"
"worker 68","English","Disagree",10616,"even","certain not"
"worker 69","English","Agree",22573,"even","possible"
"worker 70","english","Agree",13202,"even","possible"
"worker 71","English","Agree",23725,"even","certain not"
"worker 72","English","Disagree",20671,"even","might"
"worker 73","English","Agree",10111,"even","might"
"worker 74","English","Disagree",26670,"even","certain not"
"worker 75","english","Agree",22666,"even","possible"
"worker 76","English","Disagree",23638,"even","certain not"
"worker 77","English","Agree",17124,"even","possible"
"worker 78","English","Agree",15308,"even","certainly not"
"worker 79","english","Agree",15912,"even","must not"
"worker 80","English","Agree",14960,"even","possible"
"worker 81","English","Agree",8671,"even","might"
"worker 82","English","Disagree",14935,"even","might"
"worker 83","English","Disagree",31111,"even","might"
"worker 84","English","Disagree",8679,"even","certain not"
"worker 85","english","Disagree",24842,"even","certain not"
"worker 86","English","Agree",20632,"even","must not"
"worker 87","English","Agree",18118,"even","certain not"
"worker 88","English","Disagree",61504,"even","certainly not"
"worker 89","English","Agree",37405,"even","might"
"worker 90","English ","Agree",16894,"even","certainly not"
"worker 91","English","Agree",9864,"even","must not"
"worker 92","English","Agree",7699,"even","must not"
"worker 93","English","Disagree",9820,"even","certainly not"
"worker 94","english","Agree",22511,"even","possible"
"worker 95","English","Disagree",18097,"even","must not"
"worker 96","English","Agree",22140,"even","possible"
"worker 97","English","Agree",13057,"even","might"
"worker 98","English","Disagree",17633,"even","certain not"
"worker 99","English","Disagree",20290,"even","certain not"
"worker 100","English","Agree",15572,"even","might"
"worker 101","English","Agree",29536,"even","possible"
"worker 102","english","Disagree",21382,"even","must not"
"worker 103","English","Agree",15005,"even","might"
"worker 104","English","Agree",14286,"even","possible"
"worker 105","English","Agree",18275,"even","might"
"worker 106","English","Disagree",39399,"even","might"
"worker 107","English","Disagree",15235,"even","certain not"
"worker 108","english","Agree",22048,"even","possible"
"worker 109","English","Agree",13123,"even","might"
"worker 110","english","Disagree",23254,"even","might"
"worker 111","English","Agree",11832,"even","must not"
"worker 112","English","Agree",53506,"even","certainly not"
"worker 113","American English","Disagree",35710,"even","certain not"
"worker 114","English","Agree",18969,"even","possible"
"worker 115","English","Agree",26816,"even","possible"
"worker 116","English","Agree",19428,"even","possible"
"worker 117","ENGLISH","Disagree",25846,"even","certain not"
"worker 118","english","Agree",15064,"even","certainly not"
"worker 119","English","Disagree",19442,"even","possible"
"worker 120","English","Disagree",42673,"even","must not"
