"n_100","n_200","n_300","n_400","n_500","n_600","n_700","n_800","n_900","n_1000"
1,1,1,0.8425,0.998,0.855,1,0.83125,0.846666666666667,0.847
1,1,0.85,0.845,0.848,1,0.862857142857143,0.85,0.873333333333333,0.87
1,0.8,0.87,0.8625,0.868,0.841666666666667,0.86,0.86375,0.843333333333333,0.87
1,0.86,1,1,0.856,0.845,0.852857142857143,0.8575,0.873333333333333,0.85
1,0.82,1,0.9975,0.862,0.833333333333333,0.997142857142857,0.87125,0.858888888888889,0.851
1,1,1,0.87,0.86,0.856666666666667,0.87,0.83125,0.864444444444444,0.851
0.85,1,0.81,0.855,0.858,0.856666666666667,0.842857142857143,0.8475,1,0.86
1,0.84,0.863333333333333,0.8675,0.834,0.853333333333333,0.845714285714286,0.865,0.844444444444444,0.85
1,0.855,0.856666666666667,0.885,0.848,0.851666666666667,0.86,0.865,0.848888888888889,0.861
1,0.865,1,1,0.854,0.871666666666667,0.872857142857143,0.83,0.875555555555556,0.835
0.99,1,0.836666666666667,0.855,0.874,0.865,0.881428571428571,0.85125,0.86,0.852
1,1,1,0.8375,0.844,0.848333333333333,0.858571428571429,0.86875,0.842222222222222,0.852
1,0.875,1,0.88,0.876,0.851666666666667,0.837142857142857,0.845,0.861111111111111,0.843
1,0.87,0.853333333333333,0.8625,0.846,1,0.837142857142857,0.86125,0.854444444444444,0.872
1,1,0.85,0.8425,0.864,0.855,0.998571428571429,0.86,0.858888888888889,0.85
0.87,0.865,0.853333333333333,0.8875,1,0.846666666666667,0.857142857142857,0.84125,0.853333333333333,0.848
0.87,0.865,1,1,0.862,0.88,0.861428571428571,0.84875,0.865555555555556,0.853
0.8,0.925,1,0.86,0.842,0.883333333333333,0.868571428571429,0.83,0.843333333333333,0.851
1,1,0.87,0.9975,0.864,0.881666666666667,0.837142857142857,0.865,0.844444444444444,0.867
0.99,1,0.856666666666667,0.86,0.84,0.828333333333333,1,0.83875,0.835555555555556,0.84
1,0.84,0.85,1,0.996,0.868333333333333,0.998571428571429,0.8725,0.847777777777778,0.855
0.82,0.87,0.856666666666667,0.835,0.864,0.833333333333333,0.832857142857143,0.86,0.838888888888889,0.86
1,0.995,0.886666666666667,0.8525,0.842,0.885,0.848571428571429,0.86625,0.871111111111111,0.858
1,0.845,0.87,0.8575,0.878,0.86,0.851428571428571,0.845,0.841111111111111,0.863
0.87,1,0.853333333333333,0.845,0.812,0.848333333333333,0.851428571428571,0.86125,0.868888888888889,0.867
1,0.875,1,0.865,0.848,0.996666666666667,0.844285714285714,0.855,0.852222222222222,0.851
1,1,0.83,0.8325,0.858,0.87,0.831428571428571,0.855,0.856666666666667,0.845
1,1,0.823333333333333,0.8425,0.852,0.888333333333333,0.855714285714286,0.84875,0.846666666666667,0.857
1,1,0.87,0.855,0.86,0.866666666666667,0.85,0.84125,0.852222222222222,0.865
0.89,1,0.84,0.85,0.852,0.846666666666667,0.838571428571429,0.85,0.858888888888889,0.853
