"screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"oqven","1031346560",2017-11-15 01:31:39,"930609207367426049","RT @hooch000: @JustinTrudeau  #WhiteRabbit says theres hole in the Clinton Foundation. THE HAIR ON NECK UP? It means your fucked.  https://…",18,0,TRUE,"928764826087772160",TRUE,"928793718005440512",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"hooch000 JustinTrudeau","43806932 14260960",NA,"WhiteRabbit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"oqven","1031346560",2017-11-15 01:31:21,"930609130003410944","RT @colemanbracken: Who is on the board at Mayo Clinic where McStain had his ""surgery""? Gold star for anyone who can tell us! @Imperator_Re…",79,0,FALSE,NA,TRUE,"928755545795837957",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"colemanbracken","917259139981615104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lifecoachcathy","173119648",2017-11-15 01:30:56,"930609026051780608","RT @DiagonalDoug: 🚨THREAD🚨

The #McCainInstitute For International Leadership..

Is this #ClintonFoundation 2.0?

McCain works for somebody…",931,0,FALSE,NA,TRUE,"930097819855347719",NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"DiagonalDoug","2307195656",NA,"McCainInstitute ClintonFoundation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"oqven","1031346560",2017-11-15 01:30:07,"930608822422593536","RT @Avery1776: #FollowTheWhiteRabbit Media is silent about the 35 pending indictments in DC and 47 in VA Eastern District  #WhiteRabbit  Wh…",96,0,FALSE,NA,TRUE,"929458939812634624",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"Avery1776","784905447979352064",NA,"FollowTheWhiteRabbit WhiteRabbit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AlbertBustillo4","921226351075508226",2017-11-15 01:30:02,"930608801341779968","RT @DiagonalDoug: 🚨ALERT🚨

THIS IS WHAT THE LEFT &amp; #HOLLYWOOD R PROTECTING..

#PlannedParenthood is a front for the sale of human organs an…",45,0,FALSE,NA,TRUE,"930534068428705792",NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,NA,NA,"DiagonalDoug","2307195656",NA,"HOLLYWOOD PlannedParenthood",NA,NA,NA,NA,NA,NA,NA,NA,NA
"oqven","1031346560",2017-11-15 01:28:18,"930608362470952961","RT @DiagonalDoug: 🚨THREAD🚨

The #McCainInstitute For International Leadership..

Is this #ClintonFoundation 2.0?

McCain works for somebody…",931,0,FALSE,NA,TRUE,"930097819855347719",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"DiagonalDoug","2307195656",NA,"McCainInstitute ClintonFoundation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"WWCelebritiesDo","825422080275394561",2017-11-15 01:22:00,"930606780605898752","RT @DiagonalDoug: 🚨 @GQMagazine is trying to be relevant, these covers explain all I need to know about this publication.. 😒

Promoting ped…",23,0,FALSE,NA,TRUE,"930526622633156609",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"DiagonalDoug GQMagazine","2307195656 21701757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brenda06135","3401254649",2017-11-15 01:16:53,"930605490299695104","RT @DiagonalDoug: 🚨THREAD🚨

The #McCainInstitute For International Leadership..

Is this #ClintonFoundation 2.0?

McCain works for somebody…",931,0,FALSE,NA,TRUE,"930097819855347719",NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"DiagonalDoug","2307195656",NA,"McCainInstitute ClintonFoundation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAsunshinegal","39369267",2017-11-15 01:11:25,"930604113670283265","RT @colemanbracken: @GaiaElio @CondorRedux @CAsunshinegal @Magically_marie @TheRestinDane @wakkoJakko_80 @Gentle1111Chaos @blogJAM_net @Sha…",8,0,FALSE,NA,TRUE,"930591590862675968",NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,NA,NA,"colemanbracken GaiaElio CondorRedux CAsunshinegal Magically_marie TheRestinDane wakkoJakko_80 Gentle1111Chaos blogJAM_net","917259139981615104 843720445241294848 922163414390181889 39369267 880407012814802944 800808043747295232 899254034758021120 772838599024750594 92070584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LatinMass9876","469086244",2017-11-15 01:08:59,"930603501108961280","RT @DiagonalDoug: 🚨THREAD🚨

The #McCainInstitute For International Leadership..

Is this #ClintonFoundation 2.0?

McCain works for somebody…",931,0,FALSE,NA,TRUE,"930097819855347719",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"DiagonalDoug","2307195656",NA,"McCainInstitute ClintonFoundation",NA,NA,NA,NA,NA,NA,NA,NA,NA
