"screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"CalFireNews","9667812",2017-11-15 02:13:50,"930619821313605633","#WhiteRabbit When the men on the chessboard get up and tell you where to go
And you've just had some kind of mushro… https://t.co/1lD72W1jXl",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/930619821313605633",NA,NA,NA,"WhiteRabbit","NA NA NA NA NA NA NA NA NA NA NA NA 47.1167 -2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,NA
"suznu","787522603",2017-11-15 02:08:45,"930618544202625026","RT @a_fist_full: #QAnon #WhiteRabbit  https://t.co/7DZiNYCZsq",1,0,FALSE,NA,TRUE,"930617703521574912",NA,NA,NA,"und","Twitter for iPad",NA,NA,NA,NA,"reuters.com/article/us-usa…","https://www.reuters.com/article/us-usa-cyber-northkorea/u-s-government-shares-technical-details-on-north-korean-hacking-campaign-idUSKBN1DE2V4","a_fist_full","796534749749772288",NA,"QAnon WhiteRabbit","NA NA NA NA NA NA NA NA NA NA NA NA 47.1167 -2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,NA
"victoria2dcme","20291380",2017-11-15 02:05:27,"930617712300007424","Tucker: Hillary &amp; Lying https://t.co/HWPIrV2XaJ The Clinton lawyer on Uranium One is LYING! Obama/Clinton lied abou… https://t.co/I9mpJC4tfq",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"video.foxnews.com/v/564668952300… twitter.com/i/web/status/9…","http://video.foxnews.com/v/5646689523001/ https://twitter.com/i/web/status/930617712300007424",NA,NA,NA,NA,"NA NA NA NA NA NA NA NA NA NA NA NA 47.1167 -2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,NA
"a_fist_full","796534749749772288",2017-11-15 02:05:25,"930617703521574912","#QAnon #WhiteRabbit  https://t.co/7DZiNYCZsq",1,1,FALSE,NA,FALSE,NA,NA,NA,NA,"und","Twitter for iPhone",NA,NA,NA,NA,"reuters.com/article/us-usa…","https://www.reuters.com/article/us-usa-cyber-northkorea/u-s-government-shares-technical-details-on-north-korean-hacking-campaign-idUSKBN1DE2V4",NA,NA,NA,"QAnon WhiteRabbit","NA NA NA NA NA NA NA NA NA NA NA NA 47.1167 -2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,NA
"suznu","787522603",2017-11-15 01:59:34,"930616230930800641","RT @dandevinemusic: (1) #QAnon #WhiteRabbit #Breadcrumbs #CalmBeforeTheStorm *THREAD* thoughts on Q's NOV 13 post (see below) https://t.co/…",38,0,FALSE,NA,TRUE,"930275781497909248",NA,NA,NA,"en","Twitter for iPad",NA,NA,NA,NA,NA,NA,"dandevinemusic","1242178909",NA,"QAnon WhiteRabbit Breadcrumbs CalmBeforeTheStorm","NA NA NA NA NA NA NA NA NA NA NA NA 47.1167 -2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,NA
"TheBadDadder","826339456223498240",2017-11-15 01:53:12,"930614630417870848","RT @colemanbracken: It's happening. The tides are turning. #greatawakening #whiterabbit https://t.co/BkKq7ItgnD",1,0,TRUE,"930368687638564864",TRUE,"930614543423758336",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/Nigel_Farage/s…","https://twitter.com/Nigel_Farage/status/930368687638564864","colemanbracken","917259139981615104",NA,"greatawakening whiterabbit","NA NA NA NA NA NA NA NA NA NA NA NA 47.1167 -2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,NA
"colemanbracken","917259139981615104",2017-11-15 01:52:51,"930614543423758336","It's happening. The tides are turning. #greatawakening #whiterabbit https://t.co/BkKq7ItgnD",1,2,TRUE,"930368687638564864",FALSE,NA,NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,"twitter.com/Nigel_Farage/s…","https://twitter.com/Nigel_Farage/status/930368687638564864",NA,NA,NA,"greatawakening whiterabbit","NA NA NA NA NA NA NA NA NA NA NA NA 47.1167 -2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,NA
"oqven","1031346560",2017-11-15 01:31:39,"930609207367426049","RT @hooch000: @JustinTrudeau  #WhiteRabbit says theres hole in the Clinton Foundation. THE HAIR ON NECK UP? It means your fucked.  https://…",18,0,TRUE,"928764826087772160",TRUE,"928793718005440512",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"hooch000 JustinTrudeau","43806932 14260960",NA,"WhiteRabbit","NA NA NA NA NA NA NA NA NA NA NA NA 47.1167 -2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,NA
"oqven","1031346560",2017-11-15 01:30:07,"930608822422593536","RT @Avery1776: #FollowTheWhiteRabbit Media is silent about the 35 pending indictments in DC and 47 in VA Eastern District  #WhiteRabbit  Wh…",96,0,FALSE,NA,TRUE,"929458939812634624",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"Avery1776","784905447979352064",NA,"FollowTheWhiteRabbit WhiteRabbit","NA NA NA NA NA NA NA NA NA NA NA NA 47.1167 -2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,NA
"LaurelLammers","805431320448860160",2017-11-15 00:33:18,"930594521695518720","RT @dandevinemusic: (1) #QAnon #WhiteRabbit #Breadcrumbs #CalmBeforeTheStorm *THREAD* thoughts on Q's NOV 13 post (see below) https://t.co/…",38,0,FALSE,NA,TRUE,"930275781497909248",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"dandevinemusic","1242178909",NA,"QAnon WhiteRabbit Breadcrumbs CalmBeforeTheStorm","NA NA NA NA NA NA NA NA NA NA NA NA 47.1167 -2.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA",NA,NA,NA,NA,NA,NA,NA,NA
