"w1","w2","count"
"some","people",14
"far","more",13
"take","care",12
"african","american",11
"go","through",9
"united","states",9
"all","over",8
"cant","get",8
"law","enforcement",8
"small","business",8
"know","what",7
"make","them",7
"were","not",7
"get","rid",6
"reason","why",6
"will","make",6
"even","though",5
"long","time",5
"not","even",5
"same","thing",5
"dont","know",4
"make","great",4
"most","part",4
"new","york",4
"stand","up",4
"very","little",4
"will","never",4
"all","people",3
"example","some",3
"getting","rid",3
"give","him",3
"guns","away",3
"new","england",3
"not","going",3
"our","politicians",3
"people","dont",3
"people","under",3
"were","getting",3
"will","fight",3
"above","all",2
"all","sorts",2
"alone","will",2
"americans","were",2
"big","business",2
"bring","back",2
"business","owners",2
"cities","were",2
"demands","will",2
"didnt","know",2
"didnt","want",2
"doesnt","work",2
"dont","need",2
"dont","really",2
"every","day",2
"first","time",2
"get","through",2
"give","me",2
"imagine","what",2
"just","go",2
"long","before",2
"more","dangerous",2
"more","fun",2
"more","money",2
"never","had",2
"not","more",2
"our","story",2
"our","way",2
"people","like",2
"probably","not",2
"regulations","will",2
"two","cases",2
"us","all",2
"very","long",2
"wall","street",2
"was","small",2
"will","get",2
"will","help",2
"work","every",2
"years","after",2
"your","children",2
