"w1","w2","count"
"were","going",41
"very","very",21
"not","going",20
"our","country",20
"united","states",18
"american","people",16
"dont","think",14
"inner","cities",13
"theyre","not",12
"know","what",10
"very","good",10
"were","not",10
"dont","know",9
"little","bit",9
"white","house",9
"donald","trump",8
"let","me",8
"thats","what",8
"im","saying",7
"take","care",7
"was","just",7
"long","time",6
"north","korea",6
"tax","reform",6
"vice","president",6
"whats","going",6
"all","over",5
"believe","me",5
"came","out",5
"come","here",5
"dont","want",5
"general","kelly",5
"good","job",5
"middle","east",5
"other","countries",5
"our","great",5
"our","people",5
"president","thank",5
"theyre","doing",5
"were","doing",5
"american","steel",4
"bad","people",4
"dont","like",4
"get","up",4
"great","people",4
"rex","tillerson",4
"thats","not",4
"will","not",4
"youre","talking",4
"any","longer",3
"because","thats",3
"bit","more",3
"dont","mind",3
"eight","years",3
"gave","us",3
"general","mattis",3
"general","motors",3
"god","bless",3
"got","some",3
"great","job",3
"happen","anymore",3
"ive","already",3
"just","like",3
"me","because",3
"never","seen",3
"new","plant",3
"not","happy",3
"other","thing",3
"people","like",3
"replace","obamacare",3
"ronald","reagan",3
"say","im",3
"see","whats",3
"since","my",3
"since","ronald",3
"some","bad",3
"some","people",3
"stand","up",3
"very","big",3
"was","like",3
"washington","dc",3
"why","didnt",3
"will","never",3
"will","tell",3
"youre","going",3
"all","across",2
"already","begun",2
"already","starting",2
"american","pipelines",2
"annotated","transcript",2
"brief","summary",2
"dakota","access",2
"decisive","action",2
"didnt","say",2
"disaster","known",2
"fact","checked",2
"fashioned","way",2
"fiat","chrysler",2
"get","them",2
"go","back",2
"happen","any",2
"highlighted","statements",2
"him","now",2
"historic","tax",2
"information","please",2
"ive","done",2
"job","killing",2
"just","came",2
"just","heard",2
"last","night",2
"lets","take",2
"man","rex",2
"more","importantly",2
"more","information",2
"my","inauguration",2
"my","office",2
"my","promise",2
"not","giving",2
"not","just",2
"old","fashioned",2
"our","defense",2
"our","military",2
"our","nation",2
"people","running",2
"please","read",2
"said","wait",2
"seen","before",2
"southern","border",2
"statements","below",2
"states","military",2
"supreme","court",2
"taken","advantage",2
"talk","all",2
"thank","everybody",2
"thats","being",2
"then","were",2
"theyll","make",2
"thing","happened",2
"think","were",2
"turned","out",2
"was","only",2
"were","just",2
"weve","got",2
"why","did",2
