"w1","w2","count"
"were","going",63
"our","country",24
"very","very",21
"hillary","clinton",18
"inner","cities",18
"not","going",18
"united","states",18
"im","going",16
"american","people",15
"know","what",14
"donald","trump",11
"right","now",11
"take","care",11
"theyre","not",11
"african","american",10
"cant","get",10
"dont","know",10
"were","not",9
"let","me",8
"president","obama",8
"very","well",8
"white","house",8
"classified","information",7
"executive","order",7
"new","york",7
"other","side",7
"same","thing",7
"trade","deals",7
"all","over",6
"american","steel",6
"dont","talk",6
"great","people",6
"just","want",6
"lets","go",6
"long","before",6
"long","time",6
"never","seen",6
"were","doing",6
"whats","going",6
"ever","seen",5
"good","time",5
"really","really",5
"shes","going",5
"theyre","doing",5
"working","very",5
"youre","not",5
"believe","me",4
"big","league",4
"called","him",4
"know","whats",4
"law","enforcement",4
"never","going",4
"our","jobs",4
"pretty","good",4
"some","people",4
"thats","not",4
"wall","street",4
"well","take",4
"will","tell",4
"youre","going",4
"come","up",3
"coming","out",3
"cuban","people",3
"did","very",3
"dont","like",3
"every","day",3
"every","single",3
"him","hes",3
"ill","say",3
"ill","tell",3
"inner","city",3
"jobs","back",3
"just","left",3
"keep","our",3
"me","tell",3
"most","part",3
"my","opinion",3
"new","american",3
"not","too",3
"now","what",3
"our","citizens",3
"our","inner",3
"pacific","partnership",3
"people","like",3
"radical","islamic",3
"see","whats",3
"stand","up",3
"theyre","very",3
"think","hes",3
"trans","pacific",3
"very","big",3
"very","happy",3
"very","simple",3
"well","she",3
"were","bringing",3
"what","happens",3
"what","theyre",3
"what","were",3
"what","youre",3
"will","come",3
"will","never",3
"all","across",2
"anybody","else",2
"away","she",2
"back","were",2
"bringing","our",2
"come","here",2
"doing","very",2
"dont","need",2
"even","started",2
"every","time",2
"far","more",2
"fashioned","way",2
"federal","law",2
"give","me",2
"go","through",2
"great","great",2
"great","job",2
"greatest","people",2
"havent","even",2
"im","very",2
"job","killing",2
"just","announced",2
"just","had",2
"know","look",2
"last","week",2
"lets","see",2
"like","donald",2
"los","angeles",2
"me","right",2
"never","had",2
"now","hes",2
"now","thats",2
"number","two",2
"old","fashioned",2
"our","military",2
"people","give",2
"people","theyre",2
"politicians","dont",2
"probably","not",2
"put","new",2
"record","numbers",2
"seen","before",2
"she","gets",2
"special","interests",2
"strong","military",2
"supreme","court",2
"talk","all",2
"thats","just",2
"theyve","never",2
"time","im",2
"told","me",2
"turned","out",2
"two","cases",2
"us","all",2
"us","because",2
"very","badly",2
"was","honored",2
"well","go",2
"what","happened",2
"wow","thats",2
