"w1","w2","count"
"most","important",10
"human","nature",7
"political","correctness",7
"not","all",6
"explain","why",4
"too","far",4
"very","important",4
"very","little",4
"breaking","down",3
"difference","between",3
"get","ahead",3
"people","generally",3
"personality","traits",3
"social","scientists",3
"dont","think",2
"iq","tests",2
"less","clear",2
"less","satisfying",2
"makes","us",2
"more","money",2
"most","fundamental",2
"nature","once",2
"not","just",2
"often","require",2
"politically","correct",2
"self","reliance",2
"stress","reduction",2
"two","differences",2
"why","people",2
"will","inevitably",2
