"w1","w2","count"
"years","ago",8
"all","time",4
"dont","even",4
"good","job",4
"his","first",3
"were","not",3
"youre","going",3
"abraham","lincoln",2
"beautiful","new",2
"bit","more",2
"dont","know",2
"dont","want",2
"gave","me",2
"improve","our",2
"ive","done",2
"just","like",2
"let","us",2
"make","money",2
"most","people",2
"not","just",2
"old","fashioned",2
"our","children",2
"our","first",2
"thats","not",2
"turned","out",2
"under","our",2
"very","very",2
"whats","happening",2
"will","ever",2
"years","old",2
"youre","wrong",2
