"w1","w2","count"
"new","york",7
"four","years",5
"child","care",4
"turn","out",4
"youre","going",4
"didnt","work",3
"dont","know",3
"every","single",3
"same","thing",3
"take","your",3
"come","up",2
"every","day",2
"gave","me",2
"get","thats",2
"give","me",2
"great","great",2
"hands","will",2
"hes","right",2
"los","angeles",2
"make","them",2
"me","all",2
"old","fashioned",2
"our","most",2
"over","our",2
"see","her",2
"thats","not",2
"told","me",2
"turned","out",2
"us","all",2
"us","down",2
"very","very",2
"walk","down",2
"were","not",2
"what","our",2
"whats","happening",2
"working","together",2
"youre","not",2
