"w1","w2","count"
"above","all",5
"come","back",5
"never","seen",5
"will","make",5
"my","opinion",4
"will","follow",4
"all","sorts",3
"first","day",3
"him","up",3
"long","time",3
"not","even",3
"tell","me",3
"very","long",3
"what","happens",3
"will","come",3
"all","all",2
"certain","state",2
"come","up",2
"even","though",2
"every","day",2
"every","last",2
"every","time",2
"far","more",2
"five","years",2
"last","week",2
"let","me",2
"long","before",2
"most","part",2
"never","had",2
"once","more",2
"over","again",2
"over","our",2
"reason","why",2
"same","reason",2
"six","months",2
"surprised","me",2
"told","me",2
"very","simple",2
"well","go",2
"were","done",2
"were","not",2
"what","theyre",2
"what","youre",2
"will","never",2
"world","everything",2
