"w1","w2","count"
"very","very",21
"dont","know",9
"were","not",9
"new","york",8
"she","was",7
"same","thing",6
"dont","want",5
"press","conference",5
"set","up",5
"your","team",5
"youre","not",5
"few","weeks",4
"really","good",4
"thats","not",4
"what","will",4
"why","because",4
"bit","more",3
"come","up",3
"comes","out",3
"every","day",3
"give","us",3
"going","forward",3
"good","job",3
"just","like",3
"look","like",3
"think","will",3
"was","not",3
"after","another",2
"am","not",2
"done","wrong",2
"dont","see",2
"dont","understand",2
"ever","get",2
"every","night",2
"every","single",2
"few","days",2
"give","me",2
"go","out",2
"going","through",2
"great","great",2
"ive","done",2
"los","angeles",2
"me","thats",2
"might","add",2
"might","not",2
"months","later",2
"move","forward",2
"my","power",2
"not","because",2
"not","just",2
"old","fashioned",2
"said","give",2
"she","had",2
"should","take",2
"single","day",2
"told","me",2
"turned","out",2
"us","all",2
"us","more",2
"was","right",2
"well","need",2
"were","such",2
"your","understanding",2
"youre","going",2
"youve","had",2
