"w1","w2","count"
"were","going",50
"our","country",18
"take","care",10
"united","states",10
"all","over",9
"american","people",7
"inner","cities",7
"know","what",6
"not","going",6
"come","here",5
"donald","trump",5
"never","seen",5
"people","dont",5
"were","doing",5
"work","out",5
"youre","going",5
"american","steel",4
"great","people",4
"look","what",4
"oh","boy",4
"stand","up",4
"believe","me",3
"dont","know",3
"dont","like",3
"great","job",3
"know","where",3
"our","businesses",3
"right","here",3
"some","people",3
"tell","me",3
"theyre","all",3
"theyre","not",3
"were","not",3
"white","house",3
"will","build",3
"will","tell",3
"wonder","why",3
"all","across",2
"american","employees",2
"american","youth",2
"back","jobs",2
"because","ive",2
"bring","back",2
"business","tax",2
"come","out",2
"deal","because",2
"doing","well",2
"fashioned","way",2
"gave","me",2
"good","poll",2
"here","come",2
"job","killing",2
"killing","regulations",2
"let","me",2
"long","time",2
"mean","look",2
"movement","like",2
"not","my",2
"now","theyre",2
"old","days",2
"old","fashioned",2
"our","military",2
"our","taxes",2
"our","veterans",2
"people","like",2
"see","whats",2
"seen","before",2
"supreme","court",2
"talk","all",2
"thats","not",2
"theyre","doing",2
"think","hillary",2
"turned","out",2
"up","here",2
"very","big",2
"very","very",2
"were","also",2
"whats","going",2
"whats","happening",2
"will","never",2
"will","rise",2
