"w1","w2","count"
"were","not",9
"let","me",8
"very","strong",8
"did","not",7
"long","time",7
"long","before",6
"my","life",6
"very","difficult",6
"am","not",5
"my","opinion",5
"only","thing",5
"other","words",5
"set","up",5
"was","all",5
"why","should",5
"will","not",5
"any","longer",4
"what","happens",4
"all","fairness",3
"all","other",3
"almost","always",3
"am","going",3
"ask","me",3
"come","up",3
"every","day",3
"gave","us",3
"had","some",3
"most","part",3
"never","seen",3
"simple","question",3
"very","simple",3
"was","dealing",3
"was","not",3
"what","theyre",3
"what","will",3
"what","youre",3
"while","ago",3
"why","not",3
"will","never",3
"after","another",2
"back","down",2
"bad","thing",2
"came","along",2
"come","down",2
"could","not",2
"could","pass",2
"done","what",2
"dont","see",2
"either","because",2
"every","country",2
"every","time",2
"far","more",2
"few","words",2
"go","back",2
"goes","back",2
"great","credit",2
"here","again",2
"him","now",2
"last","night",2
"last","week",2
"might","add",2
"mind","q",2
"more","important",2
"most","respected",2
"my","whole",2
"never","had",2
"not","made",2
"not","talking",2
"our","great",2
"our","opponents",2
"picked","up",2
"q","what",2
"real","problem",2
"short","while",2
"single","day",2
"some","time",2
"take","my",2
"things","were",2
"told","me",2
"very","nicely",2
"very","short",2
"was","never",2
"well","go",2
"were","waiting",2
"what","am",2
"will","come",2
"will","result",2
"your","mind",2
"your","name",2
