"w1","w2","count"
"not","going",17
"united","states",17
"very","important",16
"will","not",16
"some","people",14
"were","not",14
"dont","think",13
"far","more",13
"other","people",13
"get","along",11
"know","what",11
"people","will",11
"set","up",11
"dont","know",10
"law","enforcement",10
"other","words",10
"go","through",9
"long","time",9
"take","care",9
"put","out",8
"same","thing",8
"was","very",8
"north","korea",7
"small","group",7
"thats","what",7
"could","get",6
"dont","want",6
"long","before",6
"more","important",6
"more","importantly",6
"not","all",6
"other","things",6
"very","difficult",6
"what","was",6
"will","say",6
"african","american",5
"all","other",5
"cant","make",5
"health","care",5
"most","part",5
"new","york",5
"other","countries",5
"will","never",5
"all","over",4
"because","people",4
"cant","get",4
"did","not",4
"had","great",4
"just","because",4
"just","like",4
"not","true",4
"people","get",4
"some","time",4
"street","journal",4
"wall","street",4
"without","using",4
"york","times",4
"almost","always",3
"every","day",3
"gang","members",3
"good","because",3
"let","him",3
"people","like",3
"people","out",3
"really","believe",3
"same","time",3
"should","take",3
"some","other",3
"stand","up",3
"very","different",3
"very","seriously",3
"was","not",3
"were","put",3
"what","will",3
"all","because",2
"already","happening",2
"any","longer",2
"bad","thing",2
"brought","up",2
"certainly","didnt",2
"could","not",2
"doing","what",2
"dont","need",2
"ever","get",2
"give","me",2
"give","them",2
"go","out",2
"going","through",2
"got","along",2
"harvard","law",2
"important","point",2
"just","think",2
"just","wait",2
"law","school",2
"low","level",2
"make","sense",2
"maybe","not",2
"more","productive",2
"most","basic",2
"never","had",2
"not","approve",2
"not","because",2
"not","just",2
"now","just",2
"other","places",2
"other","reasons",2
"people","got",2
"people","including",2
"people","take",2
"prime","minister",2
"probably","not",2
"start","screaming",2
"time","doing",2
"two","cases",2
"up","some",2
"us","all",2
"very","nicely",2
"very","similar",2
"was","done",2
"went","through",2
"were","very",2
"weve","had",2
"why","did",2
"why","didnt",2
"will","create",2
"will","move",2
"work","were",2
"yeah","sure",2
