"w1","w2","count"
"hillary","clinton",18
"inner","cities",18
"american","people",15
"donald","trump",11
"african","american",10
"president","obama",8
"white","house",8
"classified","information",7
"trade","deals",7
"american","steel",6
"dont","talk",6
"theyre","doing",5
"law","enforcement",4
"wall","street",4
"cuban","people",3
"ill","tell",3
"inner","city",3
"pacific","partnership",3
"radical","islamic",3
"so","im",3
"trans","pacific",3
"federal","law",2
"job","killing",2
"los","angeles",2
"people","so",2
"people","theyre",2
"politicians","dont",2
"so","happy",2
"strong","military",2
"supreme","court",2
"time","im",2
"wow","thats",2
