"w1","w2","count"
"american","people",16
"inner","cities",13
"little","bit",9
"white","house",9
"donald","trump",8
"im","saying",7
"north","korea",6
"tax","reform",6
"vice","president",6
"middle","east",5
"president","thank",5
"theyre","doing",5
"american","steel",4
"bad","people",4
"rex","tillerson",4
"youre","talking",4
"dont","mind",3
"god","bless",3
"happen","anymore",3
"replace","obamacare",3
"ronald","reagan",3
"washington","dc",3
"american","pipelines",2
"annotated","transcript",2
"brief","summary",2
"dakota","access",2
"decisive","action",2
"fiat","chrysler",2
"highlighted","statements",2
"historic","tax",2
"information","please",2
"job","killing",2
"people","running",2
"please","read",2
"southern","border",2
"statements","below",2
"supreme","court",2
