"w1","w2","count"
"take","care",10
"united","states",10
"american","people",7
"inner","cities",7
"donald","trump",5
"never","seen",5
"people","dont",5
"youre","going",5
"american","steel",4
"great","people",4
"oh","boy",4
"dont","know",3
"dont","like",3
"great","job",3
"many","people",3
"much","thank",3
"white","house",3
"will","build",3
"will","tell",3
"american","employees",2
"american","youth",2
"back","jobs",2
"bring","back",2
"business","tax",2
"fashioned","way",2
"good","poll",2
"job","killing",2
"just","one",2
"killing","regulations",2
"long","time",2
"many","many",2
"mean","look",2
"movement","like",2
"now","theyre",2
"old","days",2
"old","fashioned",2
"one","thing",2
"people","like",2
"see","whats",2
"supreme","court",2
"think","hillary",2
"whats","going",2
"whats","happening",2
"will","never",2
"will","rise",2
