"w1","w2","count"
"many","people",21
"take","care",12
"african","american",11
"united","states",9
"cant","get",8
"law","enforcement",8
"small","business",8
"get","rid",6
"one","thing",6
"will","make",6
"even","though",5
"long","time",5
"dont","know",4
"make","great",4
"new","york",4
"will","never",4
"getting","rid",3
"guns","away",3
"just","one",3
"many","different",3
"new","england",3
"one","example",3
"people","dont",3
"will","fight",3
"alone","will",2
"big","business",2
"bring","back",2
"business","owners",2
"demands","will",2
"didnt","know",2
"didnt","want",2
"doesnt","work",2
"dont","need",2
"dont","really",2
"every","day",2
"first","time",2
"just","go",2
"one","way",2
"people","like",2
"regulations","will",2
"two","cases",2
"wall","street",2
"will","get",2
"will","help",2
"work","every",2
