"w1","w2","count"
"long","term",16
"years","ago",11
"one","can",8
"will","happen",6
"great","deal",5
"let","us",5
"long","run",5
"new","york",5
"first","place",4
"short","term",4
"can","make",3
"dont","know",3
"dont","want",3
"find","ways",3
"just","like",3
"may","well",3
"people","generally",3
"someone","else",3
"something","else",3
"will","ever",3
"will","give",3
"can","go",2
"can","imagine",2
"can","still",2
"ever","get",2
"ever","since",2
"every","day",2
"everyone","else",2
"extended","families",2
"frustrate","many",2
"good","things",2
"historical","trends",2
"makes","us",2
"may","break",2
"much","progress",2
"much","time",2
"one","way",2
"thousand","years",2
"understand","something",2
"walking","distance",2
"way","around",2
"whole","world",2
"will","see",2
"will","soon",2
"within","walking",2
"world","will",2
