"w1","w2","count"
"hillary","clinton",18
"inner","cities",18
"united","states",18
"im","going",16
"american","people",15
"donald","trump",11
"right","now",11
"take","care",11
"african","american",10
"cant","get",10
"dont","know",10
"many","many",8
"president","obama",8
"white","house",8
"classified","information",7
"executive","order",7
"new","york",7
"trade","deals",7
"american","steel",6
"dont","talk",6
"great","people",6
"just","want",6
"lets","go",6
"long","time",6
"never","seen",6
"whats","going",6
"ever","seen",5
"good","time",5
"one","thing",5
"really","really",5
"shes","going",5
"big","league",4
"know","whats",4
"law","enforcement",4
"much","better",4
"never","going",4
"pretty","good",4
"wall","street",4
"well","take",4
"will","tell",4
"youre","going",4
"cuban","people",3
"dont","like",3
"every","day",3
"every","single",3
"ill","say",3
"ill","tell",3
"inner","city",3
"jobs","back",3
"just","left",3
"new","american",3
"number","one",3
"pacific","partnership",3
"people","like",3
"radical","islamic",3
"see","whats",3
"think","hes",3
"trans","pacific",3
"will","come",3
"will","never",3
"anybody","else",2
"dont","need",2
"even","started",2
"every","time",2
"fashioned","way",2
"federal","law",2
"great","great",2
"great","job",2
"greatest","people",2
"havent","even",2
"job","killing",2
"just","announced",2
"just","one",2
"know","look",2
"last","week",2
"lets","see",2
"like","donald",2
"los","angeles",2
"many","places",2
"now","hes",2
"now","thats",2
"number","two",2
"old","fashioned",2
"one","way",2
"people","give",2
"people","theyre",2
"politicians","dont",2
"put","new",2
"record","numbers",2
"special","interests",2
"strong","military",2
"supreme","court",2
"thats","just",2
"theyve","never",2
"time","im",2
"two","cases",2
"well","go",2
"wow","thats",2
