"w1","w2","count"
"of","the",78
"in","the",42
"to","the",31
"on","the",28
"by","the",20
"for","the",20
"and","the",18
"was","a",17
"that","was",16
"one","of",12
"during","the",11
"that","the",10
"and","they",9
"from","the",9
"it","is",9
"of","these",9
"the","country",9
"they","were",8
"as","the",7
"to","take",7
"and","by",6
"time","and",6
"i","hope",5
"the","time",5
"all","the",4
"and","their",4
"as","a",4
"as","an",4
"like","the",4
"of","my",4
"over","the",4
"the","government",4
"across","the",3
"and","other",3
"different","than",3
"government","and",3
"not","for",3
"to","a",3
"to","my",3
"was","no",3
"was","not",3
"and","is",2
"but","not",2
"federal","agencies",2
"from","a",2
"government","that",2
"hope","that",2
"its","own",2
"no","more",2
"so","that",2
"that","this",2
"the","record",2
"various","agencies",2
"was","also",2
"wrong","i",2
"your","question",2
