"w1","w2","count"
"of","the",380
"in","the",156
"it","is",127
"to","be",126
"to","the",126
"going","to",99
"will","be",96
"for","the",95
"that","the",77
"by","the",75
"the","power",72
"would","be",69
"on","the",66
"and","the",62
"is","a",62
"have","to",61
"is","not",57
"to","do",57
"we","have",55
"with","the",55
"in","a",53
"a","very",52
"of","a",50
"as","a",49
"that","is",46
"may","be",45
"there","is",44
"you","know",44
"some","of",43
"to","make",43
"be","a",41
"have","been",41
"it","would",40
"of","our",38
"want","to",38
"we","are",38
"to","have",37
"it","will",36
"they","are",36
"so","that",34
"to","a",34
"to","get",34
"if","the",33
"the","way",33
"can","be",32
"from","the",32
"that","they",32
"for","a",30
"people","who",30
"would","have",30
"have","a",29
"such","a",29
"the","most",29
"the","same",29
"are","not",28
"but","it",28
"that","are",27
"at","the",26
"do","not",26
"he","is",26
"he","was",26
"the","people",26
"this","is",26
"and","that",25
"has","been",25
"into","the",25
"a","long",24
"a","new",24
"about","the",24
"and","he",24
"but","the",24
"is","the",24
"should","be",24
"that","it",24
"that","we",24
"the","other",24
"the","world",24
"had","a",23
"is","that",23
"of","these",23
"one","of",23
"their","own",23
"but","we",22
"it","was",22
"of","people",22
"at","least",21
"because","they",21
"in","our",21
"in","this",21
"with","a",21
"and","it",20
"and","we",20
"on","a",20
"out","of",20
"was","a",20
"you","have",20
"a","lot",19
"able","to",19
"and","so",19
"because","of",19
"that","were",19
"the","american",19
"they","have",19
"they","will",19
"those","who",19
"through","the",19
"we","had",19
"will","have",19
"all","of",18
"be","able",18
"because","the",18
"he","has",18
"if","i",18
"is","to",18
"make","a",18
"order","to",18
"take","a",18
"the","united",18
"to","take",18
"to","use",18
"but","they",17
"do","you",17
"fact","that",17
"i","know",17
"in","many",17
"in","such",17
"look","at",17
"most","of",17
"must","be",17
"not","going",17
"not","the",17
"that","was",17
"the","press",17
"united","states",17
"a","good",16
"a","way",16
"a","whole",16
"and","then",16
"by","a",16
"in","order",16
"is","in",16
"lot","of",16
"of","it",16
"people","are",16
"that","he",16
"the","fact",16
"the","only",16
"the","public",16
"there","are",16
"to","give",16
"very","important",16
"who","are",16
"will","not",16
"about","it",15
"and","a",15
"as","the",15
"but","in",15
"during","the",15
"has","to",15
"if","he",15
"that","a",15
"that","you",15
"think","that",15
"to","go",15
"as","an",14
"as","well",14
"do","with",14
"if","they",14
"if","you",14
"important","to",14
"its","not",14
"many","of",14
"of","his",14
"part","of",14
"people","that",14
"president","no",14
"some","people",14
"that","have",14
