"w1","w2","count"
"of","the",25
"in","the",24
"we","will",22
"i","have",19
"will","be",19
"have","a",14
"to","be",14
"of","our",13
"we","have",13
"and","the",12
"by","the",12
"back","to",11
"a","great",10
"that","one",10
"to","the",10
"able","to",9
"from","the",9
"is","the",9
"this","is",9
"with","the",9
"and","we",8
"go","back",8
"some","of",8
"as","a",7
"for","the",7
"south","carolina",7
"as","long",6
"come","here",6
"long","as",6
"now","is",6
"of","american",6
"of","their",6
"on","the",6
"that","we",6
"the","american",6
"time","to",6
"to","go",6
"to","work",6
"we","are",6
"we","can",6
"we","must",6
"a","new",5
"as","the",5
"at","the",5
"is","a",5
"of","a",5
"our","nation",5
"out","of",5
"the","great",5
"the","time",5
"there","is",5
"to","make",5
"was","a",5
"years","later",5
"you","have",5
"all","of",4
"be","a",4
"in","america",4
"it","is",4
"of","this",4
"of","you",4
"that","will",4
"will","not",4
"and","every",3
"and","if",3
"believe","that",3
"but","we",3
"i","am",3
"is","no",3
"let","us",3
"like","a",3
"make","the",3
"many","of",3
"refuse","to",3
"signed","the",3
"stand","up",3
"that","i",3
"that","the",3
"that","their",3
"the","nation",3
"the","old",3
"there","are",3
"they","have",3
"this","nation",3
"we","stand",3
"will","have",3
"with","our",3
"would","be",3
"years","ago",3
"a","nation",2
"a","promise",2
"again","and",2
"and","a",2
"are","not",2
"as","we",2
"be","the",2
"for","many",2
"given","the",2
"go","to",2
"great","american",2
"have","also",2
"have","been",2
"hope","that",2
"i","go",2
"i","say",2
"i","still",2
"into","the",2
"is","an",2
"millions","of",2
"nation","to",2
"not","only",2
"now","this",2
"of","all",2
"on","this",2
"our","children",2
"promise","that",2
"rise","to",2
"see","it",2
"something","that",2
"stand","on",2
"still","have",2
"the","constitution",2
"the","moment",2
"the","south",2
"the","state",2
"they","were",2
"this","will",2
"to","stand",2
"to","take",2
"to","this",2
"today","in",2
"vote","and",2
"will","rise",2
"will","you",2
"with","a",2
"with","you",2
"you","be",2
