"w1","w2","count"
"going","to",66
"of","the",33
"to","be",25
"in","the",23
"we","have",22
"look","at",20
"of","our",19
"and","the",14
"for","the",14
"have","a",13
"and","we",12
"on","the",12
"we","should",12
"i","think",11
"its","a",11
"to","the",11
"and","i",10
"by","the",10
"have","the",10
"the","same",10
"the","way",9
"if","we",8
"people","and",8
"so","many",8
"to","take",8
"which","is",8
"some","of",7
"the","other",7
"to","do",7
"to","make",7
"want","to",7
"have","been",6
"if","you",6
"of","this",6
"that","we",6
"the","right",6
"to","have",6
"very","much",6
"we","can",6
"we","see",6
"about","it",5
"and","if",5
"and","our",5
"as","a",5
"for","those",5
"have","an",5
"like","they",5
"many","of",5
"of","these",5
"other","side",5
"that","i",5
"the","most",5
"this","is",5
"a","certain",4
"able","to",4
"and","that",4
"but","its",4
"but","the",4
"can","be",4
"for","a",4
"in","our",4
"is","that",4
"of","people",4
"one","of",4
"people","who",4
"that","have",4
"that","the",4
"to","get",4
"to","protect",4
"we","dont",4
"were","doing",4
"with","a",4
"with","the",4
"and","in",3
"and","more",3
"and","theres",3
"and","to",3
"anything","about",3
"are","just",3
"based","on",3
"be","able",3
"be","very",3
"but","i",3
"but","that",3
"dont","have",3
"i","dont",3
"in","a",3
"in","many",3
"in","terms",3
"in","this",3
"into","the",3
"its","not",3
"of","political",3
"of","that",3
"of","those",3
"part","of",3
"terms","of",3
"that","are",3
"that","is",3
"the","whole",3
"these","are",3
"to","our",3
"very","happy",3
"a","result",2
"about","a",2
"about","this",2
"agree","with",2
"also","have",2
"and","a",2
"and","create",2
"and","it",2
"and","ive",2
"and","other",2
"and","political",2
"as","much",2
"be","in",2
"believe","in",2
"but","our",2
"by","our",2
"does","not",2
"done","in",2
"employees","and",2
"for","this",2
"have","them",2
"im","also",2
"in","their",2
"in","these",2
"inclusive","and",2
"is","bad",2
"is","more",2
"is","we",2
"it","a",2
"it","has",2
"it","in",2
"means","the",2
"more","money",2
"more","we",2
"much","it",2
"much","more",2
"number","of",2
"of","a",2
"out","the",2
"result","of",2
"safety","and",2
"seen","in",2
"should","do",2
"side","is",2
"so","much",2
"the","freedom",2
"the","white",2
"they","do",2
"thing","to",2
"think","its",2
"those","who",2
"to","give",2
"to","new",2
"to","stop",2
"to","work",2
"up","and",2
"very","little",2
"want","a",2
"way","they",2
"we","cant",2
"we","havent",2
"we","talk",2
"were","seeing",2
"what","a",2
"what","the",2
"what","we",2
"what","were",2
"who","are",2
"you","cant",2
