"w1","w2","count"
"of","the",46
"in","the",38
"to","be",34
"for","the",23
"of","our",18
"we","should",14
"to","the",13
"in","a",12
"and","the",11
"on","the",11
"the","same",10
"to","our",10
"we","have",10
"and","i",9
"from","the",9
"many","of",9
"this","is",9
"with","a",9
"and","a",8
"as","a",8
"if","you",8
"one","of",8
"some","of",8
"the","most",8
"about","the",7
"but","its",7
"can","be",7
"have","been",7
"in","our",7
"need","to",7
"part","of",7
"that","i",7
"to","get",7
"to","have",7
"and","we",6
"but","the",6
"if","we",6
"is","the",6
"may","be",6
"of","a",6
"of","these",6
"of","those",6
"that","we",6
"those","that",6
"to","do",6
"we","can",6
"we","need",6
"which","is",6
"as","the",5
"for","a",5
"i","hope",5
"in","part",5
"of","their",5
"of","this",5
"rather","than",5
"that","are",5
"that","is",5
"that","the",5
"the","right",5
"to","take",5
"want","to",5
"ways","to",5
"with","the",5
"would","be",5
"and","that",4
"as","it",4
"as","we",4
"but","this",4
"but","we",4
"by","the",4
"have","a",4
"have","the",4
"i","dont",4
"i","think",4
"i","would",4
"in","this",4
"it","has",4
"it","in",4
"its","a",4
"of","being",4
"of","men",4
"out","the",4
"that","these",4
"the","other",4
"thinking","about",4
"to","make",4
"to","us",4
"we","dont",4
"you","want",4
"able","to",3
"about","a",3
"about","it",3
"and","it",3
"and","more",3
"and","our",3
"and","to",3
"are","a",3
"are","just",3
"at","an",3
"can","make",3
"clear","that",3
"dont","have",3
"dont","see",3
"each","of",3
"in","their",3
"is","that",3
"it","requires",3
"its","not",3
"just","as",3
"much","about",3
"much","more",3
"much","of",3
"needs","to",3
"now","the",3
"of","course",3
"on","their",3
"only","one",3
"respect","for",3
"set","of",3
"should","be",3
"that","can",3
"the","gap",3
"the","opposite",3
"them","to",3
"to","a",3
"to","an",3
"to","say",3
"to","solve",3
"to","this",3
"try","to",3
"trying","to",3
"we","see",3
"what","we",3
"with","many",3
"a","man",2
"a","variety",2
"am","not",2
"and","even",2
"and","generally",2
"and","help",2
"and","several",2
"and","why",2
"and","womens",2
"are","necessary",2
"are","to",2
"as","much",2
"as","part",2
"be","more",2
"because","it",2
"because","of",2
"being","a",2
"both","the",2
"but","i",2
"but","not",2
"but","our",2
"by","our",2
"change","the",2
"comes","to",2
"culture","of",2
"do","this",2
"does","not",2
"expected","to",2
"feel","like",2
"for","each",2
"for","this",2
"from","those",2
"going","to",2
"how","much",2
"in","life",2
"into","the",2
"is","generally",2
"it","a",2
"it","may",2
"its","clear",2
"lead","to",2
"make","it",2
"makes","us",2
"methods","of",2
"might","be",2
"more","often",2
"my","viewpoint",2
"not","just",2
"of","others",2
"of","that",2
"of","work",2
"often","a",2
"people","generally",2
"seems","to",2
"several","other",2
"showing","that",2
"so","many",2
"so","much",2
"that","dont",2
"that","im",2
"that","same",2
"that","some",2
"the","dominant",2
"the","primary",2
"the","public",2
"the","underlying",2
"the","whole",2
"then","the",2
"then","we",2
"things","we",2
"this","has",2
"this","may",2
"those","with",2
"throughout","the",2
"to","address",2
"to","develop",2
"to","express",2
"to","gain",2
"to","give",2
"to","look",2
"to","new",2
"to","reach",2
"to","stay",2
"to","work",2
"type","of",2
"useful","but",2
"variety","of",2
"very","much",2
"we","talk",2
"we","would",2
"what","the",2
"which","would",2
"while","i",2
"you","cant",2
